Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Current Investments,"Stores, Spares And Loose Tools",Equity Share Application Money,Intangible Assets,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,59.02,59.02,3861.46,3861.46,3920.48,713.63,0.0,22.7,1.11,737.44,158.95,8.0,750.17,9.19,926.31,5584.24,1941.17,35.5,0.0,1976.66,394.94,1104.47,83.21,3559.78,1099.81,71.14,16.99,227.6,608.8,2024.46,5584.24,468.01,1.56,0.0,0.0,0.0,394.94,0.49,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,59.02,59.02,3975.74,3975.74,4034.76,705.42,0.0,29.95,1.2,736.57,148.22,10.29,713.38,12.05,883.94,5655.27,1952.95,158.49,0.0,2111.44,498.11,943.88,83.76,3640.25,1140.37,92.74,62.78,172.03,547.11,2015.02,5655.27,502.76,0.9,0.01,0.0,0.0,498.11,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,59.02,59.02,3957.39,3957.39,4016.41,836.2,4.63,27.58,1.35,869.76,147.45,5.73,754.69,13.14,921.01,5807.17,299.88,157.94,1732.31,2190.12,567.82,713.47,467.97,3939.38,1130.85,95.1,21.09,14.49,606.25,1867.79,5807.17,407.29,2.56,0.0,0.0,0.0,567.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,59.02,59.02,4069.44,4069.44,4128.46,1145.9,0.0,31.23,1.32,1178.45,147.72,7.65,755.45,9.17,919.98,6226.89,298.64,132.85,1721.29,2152.78,581.94,759.2,494.4,4040.42,1116.21,107.02,47.99,22.47,892.77,2186.47,6226.89,385.58,1.29,0.0,0.0,0.0,581.94,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,59.02,59.02,4085.49,4085.49,4144.5,1713.63,16.75,89.35,1.7,1821.43,130.5,8.73,845.26,9.26,993.76,6959.7,298.71,179.81,1707.91,2186.43,811.21,750.24,586.61,4334.49,1141.52,100.93,60.76,36.79,1285.2,2625.2,6959.7,398.88,1.3,0.0,0.0,0.0,811.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,59.02,59.02,2400.69,2400.69,2459.71,1169.99,19.92,0.0,1.38,1191.28,155.76,4.15,633.25,0.41,793.57,4444.56,17.32,143.31,1168.14,1328.77,290.13,450.94,42.16,2111.99,957.81,61.3,33.84,5.1,1274.52,2332.56,4444.56,110.59,1.24,0.0,0.0,0.0,290.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,59.02,59.02,2385.63,2385.63,2444.65,1140.66,22.44,0.0,1.35,1164.46,152.93,1.37,602.87,8.49,765.67,4374.77,15.02,136.01,1155.46,1306.48,290.18,558.98,117.35,2273.0,1223.64,81.51,10.64,4.79,781.2,2101.78,4374.77,114.2,0.66,0.0,0.0,0.0,290.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,59.02,59.02,2409.14,2409.14,2468.16,1372.97,29.77,0.0,1.73,1404.47,78.41,3.91,402.4,0.64,485.36,4357.99,14.41,100.42,1143.0,1257.84,290.21,490.07,115.2,2153.33,1265.86,53.68,11.21,5.05,868.86,2204.66,4357.99,102.82,0.17,0.0,0.0,0.0,290.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,59.02,59.02,2552.41,2552.41,2611.43,865.58,34.66,103.11,1.88,1005.22,60.61,2.55,448.96,0.75,512.87,4129.52,13.11,41.34,1130.72,1185.17,339.72,535.51,140.19,2200.6,978.91,21.05,18.05,0.0,910.91,1928.92,4129.52,103.42,0.18,0.0,0.0,0.0,339.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,64.82,64.82,2696.53,2696.53,2761.35,852.01,45.31,126.37,1.71,1025.4,28.66,1.5,279.78,0.78,310.72,4097.47,15.22,61.54,1118.65,1195.41,375.63,499.34,152.96,2223.34,1063.27,45.44,39.6,0.0,725.81,1874.13,4097.47,125.38,0.51,0.0,0.0,0.0,375.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,68.38,68.38,3336.0,3336.0,3404.38,445.97,55.73,128.43,2.25,632.38,143.22,1.03,97.1,1.02,242.37,4279.13,14.11,19.67,1106.71,1140.48,324.32,577.03,252.36,2294.19,1045.79,98.22,217.81,0.0,623.12,1984.94,4279.13,128.59,0.66,0.0,0.0,0.0,324.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,68.65,68.65,3633.52,3633.52,3702.17,351.94,57.93,48.5,2.71,461.08,68.61,5.12,108.22,1.07,183.02,4346.27,1123.67,24.4,0.0,1148.07,365.16,686.21,375.66,2575.1,720.15,116.36,266.78,0.0,667.88,1771.17,4346.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
