Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,125.83,2.58,128.41,67.82,1.25,14.1,9.35,2.91,12.77,20.21,0.51,20.72,2.33,18.39,0.0,18.39,6.4,11.99,11.99,10.21,5.88,5.88,0.53,25.81,1.51,100.0,74.19
2015-09-30,119.96,2.59,122.55,62.87,5.25,12.3,8.43,3.23,12.78,17.68,0.12,17.81,2.24,15.57,0.0,15.57,4.91,10.66,10.66,10.21,5.23,5.23,0.53,25.81,1.51,100.0,74.19
2015-12-31,109.25,2.35,111.6,70.56,-15.37,13.37,8.69,3.34,13.29,17.73,0.17,17.9,1.99,15.91,0.0,15.91,4.07,11.83,11.83,10.21,5.8,5.8,0.0,0.0,0.0,0.0,0.0
2016-03-31,117.57,3.47,121.04,59.17,0.38,11.86,8.25,3.42,14.07,23.89,0.21,24.09,1.48,22.62,0.0,22.62,7.24,15.38,15.38,10.21,7.54,7.54,0.0,0.0,0.0,0.0,0.0
2016-06-30,107.83,0.84,108.67,53.06,1.97,10.99,9.82,3.44,12.31,17.1,0.25,17.35,1.57,15.78,0.0,15.78,4.81,10.96,10.96,10.21,5.37,5.37,0.0,0.0,0.0,0.0,0.0
2016-09-30,120.09,4.37,124.47,55.21,12.27,11.07,9.92,3.36,15.95,16.69,0.35,17.03,1.59,15.44,0.0,15.44,4.98,10.47,10.47,10.21,5.13,5.13,0.0,0.0,0.0,0.0,0.0
2016-12-31,132.49,3.88,136.37,72.41,-3.58,14.07,9.99,3.45,13.79,26.25,0.17,26.42,1.4,25.02,0.0,25.02,8.13,16.89,16.89,10.21,8.28,8.28,0.0,0.0,0.0,0.0,0.0
2017-03-31,131.13,0.0,131.13,81.61,-9.65,0.0,8.5,4.04,29.51,17.12,0.87,17.99,1.44,16.56,0.0,16.56,5.27,11.29,11.29,10.21,5.53,5.53,0.0,0.0,0.0,0.0,0.0
2017-06-30,159.52,0.0,159.52,78.89,2.7,0.0,10.46,3.92,44.21,19.34,0.53,19.87,1.19,18.68,0.0,18.68,6.1,12.58,12.58,10.2,6.17,6.17,0.0,0.0,0.0,0.0,0.0
2017-09-30,138.11,0.0,138.11,67.43,9.76,0.0,10.32,3.86,26.46,20.28,1.27,21.55,1.46,20.09,0.0,20.09,6.7,13.39,13.39,10.2,6.57,6.57,0.0,0.0,0.0,0.0,0.0
2017-12-31,153.13,0.0,153.13,83.18,2.0,0.0,10.06,3.9,31.16,22.82,1.05,23.87,1.11,22.76,0.0,22.76,7.77,14.99,14.99,10.2,7.35,7.35,0.0,0.0,0.0,0.0,0.0
2018-03-31,174.07,0.0,174.07,94.33,-4.05,0.0,11.15,3.99,32.24,36.41,0.34,36.75,2.52,34.22,0.0,34.22,10.93,23.3,23.3,10.2,11.42,11.42,0.0,0.0,0.0,0.0,0.0
2018-06-30,178.14,0.0,178.14,109.01,-19.16,0.0,12.61,5.55,38.75,31.38,0.02,31.4,3.94,27.47,0.0,27.47,9.8,17.67,17.67,10.2,8.66,8.66,0.0,0.0,0.0,0.0,0.0
2018-09-30,218.14,0.0,218.14,111.79,1.39,0.0,13.98,5.62,41.73,43.62,0.81,44.43,3.88,40.55,0.0,40.55,14.13,26.42,26.42,10.2,12.95,12.95,0.0,0.0,0.0,0.0,0.0
2018-12-31,212.67,0.0,212.67,124.59,-8.87,0.0,13.54,5.7,44.84,32.88,2.73,35.61,3.63,31.98,0.0,31.98,9.87,22.11,22.11,10.2,10.84,10.84,0.0,0.0,0.0,0.0,0.0
2019-03-31,237.45,0.0,237.45,135.97,5.75,0.0,12.65,6.46,44.71,31.91,1.61,33.52,3.32,30.2,0.0,30.2,12.65,17.55,17.55,10.2,8.61,8.58,0.0,0.0,0.0,0.0,0.0
2019-06-30,266.23,0.0,266.23,136.5,10.61,0.0,16.69,6.4,43.28,52.76,1.33,54.09,3.63,50.45,0.0,50.45,15.36,35.09,35.09,10.2,17.21,17.16,0.0,0.0,0.0,0.0,0.0
2019-09-30,234.97,0.0,234.97,114.72,0.15,0.0,16.96,6.51,45.44,51.2,0.89,52.1,2.59,49.5,0.0,49.5,-4.39,53.89,53.89,10.2,26.42,26.35,0.0,0.0,0.0,0.0,0.0
2019-12-31,256.91,0.0,256.91,114.46,0.16,0.0,19.04,6.8,50.68,65.77,2.17,67.94,2.13,65.8,32.84,98.65,21.56,77.09,77.09,10.2,37.79,37.69,0.0,0.0,0.0,0.0,0.0
2020-03-31,234.77,0.0,234.77,110.54,-2.64,0.0,16.96,7.2,42.32,60.38,2.62,63.0,1.89,61.11,0.0,61.11,11.9,49.21,49.21,10.2,24.13,24.06,0.0,0.0,0.0,0.0,0.0
2020-06-30,245.15,0.0,245.15,107.93,0.2,0.0,19.92,7.02,39.72,70.36,1.18,71.54,1.92,69.62,0.0,69.62,16.84,52.78,52.78,10.2,25.88,25.81,0.0,0.0,0.0,0.0,0.0
2020-09-30,291.27,0.0,291.27,120.36,3.56,0.0,21.3,7.21,50.78,88.05,2.71,90.75,1.62,89.14,0.0,89.14,23.66,65.47,65.47,10.21,32.08,32.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,323.89,0.0,323.89,127.71,-1.02,0.0,23.98,7.57,50.12,115.52,1.66,117.18,1.37,115.81,0.0,115.81,31.32,84.49,84.49,10.21,41.39,41.29,0.0,0.0,0.0,0.0,0.0
2021-03-31,382.13,0.0,382.13,177.95,-13.56,0.0,27.51,7.27,56.87,126.1,1.45,127.54,1.42,126.12,0.0,126.12,33.53,92.6,92.6,10.21,45.36,45.24,0.0,0.0,0.0,0.0,0.0
2021-06-30,391.81,0.0,391.81,212.84,-12.64,0.0,24.62,7.55,56.28,103.16,2.23,105.39,1.09,104.31,0.0,104.31,25.77,78.54,78.54,10.21,15.39,15.35,0.0,0.0,0.0,0.0,0.0
2021-09-30,348.69,0.0,348.69,188.36,1.03,0.0,22.15,7.7,61.69,67.76,4.18,71.94,1.0,70.94,0.0,70.94,16.85,54.09,54.09,10.21,10.59,10.55,0.0,0.0,0.0,0.0,0.0
2021-12-31,376.66,0.0,376.66,218.54,-10.13,0.0,21.16,7.9,80.5,58.69,4.57,63.26,1.0,62.26,0.0,62.26,16.38,45.88,45.88,10.21,8.98,8.97,0.0,0.0,0.0,0.0,0.0
2022-03-31,425.64,0.0,425.64,253.14,-15.6,0.0,20.2,11.6,94.34,61.96,3.42,65.38,0.75,64.63,0.0,64.63,18.21,46.42,46.42,10.21,9.09,9.07,0.0,0.0,0.0,0.0,0.0
2022-06-30,473.48,0.0,473.48,221.85,10.46,0.0,26.86,11.77,98.48,104.06,4.2,108.26,0.81,107.45,0.0,107.45,25.57,81.88,81.88,10.22,16.03,16.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,408.87,0.0,408.87,196.3,12.05,0.0,24.17,11.17,95.06,70.12,2.33,72.45,1.1,71.35,0.0,71.35,18.94,52.41,52.41,10.22,10.26,10.24,0.0,0.0,0.0,0.0,0.0
2022-12-31,388.52,0.0,388.52,206.58,-8.29,0.0,23.6,10.65,96.92,59.06,4.35,63.41,0.77,62.64,0.0,62.64,16.94,45.7,45.7,10.22,8.94,8.93,0.0,0.0,0.0,0.0,0.0
2023-03-31,411.67,0.0,411.67,231.26,-10.54,0.0,23.01,11.59,91.01,65.34,2.84,68.18,1.08,67.1,0.0,67.1,18.46,48.64,48.64,10.22,9.52,9.51,0.0,0.0,0.0,0.0,0.0
2023-06-30,409.79,0.0,409.79,213.2,13.36,0.0,25.11,12.18,84.14,61.8,5.48,67.28,0.89,66.39,0.0,66.39,16.62,49.77,49.77,10.22,9.74,9.72,0.0,0.0,0.0,0.0,0.0
2023-09-30,352.15,0.0,352.15,193.42,-2.19,0.0,23.12,12.53,89.52,35.75,2.35,38.1,1.67,36.43,0.0,36.43,9.19,27.24,27.24,10.22,5.33,5.32,0.0,0.0,0.0,0.0,0.0
2023-12-31,322.05,0.0,322.05,169.37,-0.67,0.0,23.26,16.78,70.48,42.83,4.62,47.45,1.12,46.33,0.0,46.33,12.9,33.43,33.43,10.22,6.54,6.53,0.0,0.0,0.0,0.0,0.0
2024-03-31,356.62,0.0,356.62,199.16,-18.09,0.0,23.65,17.43,83.03,51.44,2.61,54.05,0.71,53.34,0.0,53.34,14.89,38.45,38.45,10.22,7.52,7.51,0.0,0.0,0.0,0.0,0.0
2024-06-30,399.69,0.0,399.69,210.17,1.52,0.0,25.89,17.68,83.03,61.4,4.72,66.12,0.21,65.91,0.0,65.91,17.04,48.87,48.87,10.23,9.56,9.55,0.0,0.0,0.0,0.0,0.0
2024-09-30,414.89,0.0,414.89,216.14,10.39,0.0,26.75,18.01,88.08,55.52,9.16,64.68,0.35,64.33,0.0,64.33,16.87,47.46,47.46,10.24,9.28,9.27,0.0,0.0,0.0,0.0,0.0
2024-12-31,371.2,0.0,371.2,191.3,0.33,0.0,26.09,17.93,82.25,53.3,6.6,59.9,0.85,59.05,0.0,59.05,15.29,43.76,43.76,10.23,8.56,8.55,0.0,0.0,0.0,0.0,0.0
2025-03-31,386.05,0.0,386.05,216.77,-7.84,0.0,24.82,17.61,84.49,50.2,9.32,59.52,0.17,59.35,0.0,59.35,13.33,46.02,46.02,10.23,9.0,8.99,0.0,0.0,0.0,0.0,0.0
