Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,69.3,69.3,1061.76,1062.59,1131.89,26.01,15.8,0.0,41.81,302.8,488.47,96.81,99.14,987.22,2160.92,534.8,13.62,132.22,0.0,680.64,97.12,40.6,0.0,818.36,90.17,618.7,383.21,163.07,76.89,10.52,1342.56,2160.92,345.24,4.05,9.0,3.04,0.19,50.89,97.12,90.17,0.83,384.23,0.24,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,69.33,69.33,1222.64,1223.47,1292.8,33.57,14.38,0.0,47.95,288.49,509.12,106.4,65.49,969.5,2310.25,635.07,12.57,87.51,0.0,735.15,109.26,32.67,0.14,877.22,134.49,646.5,434.41,141.15,66.1,10.38,1433.03,2310.25,361.71,4.86,17.07,1.77,0.19,50.89,109.26,134.49,0.83,476.41,0.26,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,69.35,69.35,1440.27,1441.1,1510.45,47.07,4.21,0.0,51.28,66.51,634.62,152.67,94.98,948.78,2510.51,693.96,8.93,48.77,0.0,751.66,115.22,73.7,0.14,940.72,299.17,688.22,461.46,62.81,55.44,2.69,1569.79,2510.51,365.88,4.34,13.06,2.52,0.2,50.89,115.22,299.17,0.83,506.72,0.23,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,97.1,97.1,1815.67,1815.67,1912.77,60.09,3.73,2.71,66.53,119.68,750.32,221.74,16.3,1108.04,3087.34,882.87,6.07,56.23,0.0,945.17,210.35,13.71,48.1,1217.33,367.27,894.3,509.45,35.74,5.4,57.85,1870.01,3087.34,395.28,0.0,0.0,0.0,0.0,78.63,210.35,367.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,97.1,97.1,2046.51,2046.51,2143.61,58.6,5.26,2.92,66.78,143.27,932.57,202.49,15.98,1294.31,3504.7,911.04,4.29,87.27,0.0,1002.6,303.18,19.99,79.72,1405.49,227.59,939.36,598.01,120.57,1.96,211.72,2099.21,3504.7,361.61,0.0,0.0,0.0,0.0,78.63,303.18,227.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,97.11,97.11,2275.24,2275.24,2372.35,60.87,14.39,3.16,78.42,215.34,968.14,184.34,18.67,1386.49,3837.26,996.56,7.36,147.73,0.0,1151.65,331.8,16.42,56.31,1556.18,245.51,1149.13,574.33,131.77,7.98,172.36,2281.08,3837.26,434.81,740.29,0.0,0.0,8.07,78.63,331.8,245.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,97.12,97.12,2527.92,2527.92,2625.04,29.14,206.79,3.41,239.34,222.46,1012.92,212.95,29.99,1478.32,4342.7,1379.3,6.93,168.29,0.0,1554.52,468.63,18.01,92.43,2133.59,179.35,1167.24,558.57,125.55,9.01,169.39,2209.11,4342.7,470.91,714.37,0.0,0.0,6.0,78.63,468.63,179.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,97.13,97.13,3182.48,3182.48,3279.61,26.38,238.18,3.68,268.24,155.44,1409.22,227.96,27.61,1820.23,5368.08,1495.2,6.39,97.6,0.0,1599.19,585.87,24.76,73.0,2282.82,201.82,1499.0,838.61,338.55,11.08,196.2,3085.26,5368.08,823.12,672.17,0.0,0.0,7.41,78.63,585.87,201.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,97.13,97.13,3666.76,3666.76,3763.89,23.18,319.53,3.98,346.69,515.56,1705.09,265.96,28.71,2515.32,6625.9,1635.46,9.26,568.87,0.0,2213.59,681.42,10.96,197.09,3103.06,62.75,2149.97,835.58,206.88,0.0,267.66,3522.84,6625.9,748.33,1167.45,0.0,0.0,8.66,78.63,681.42,62.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,97.14,97.14,4198.05,4198.05,4295.19,25.57,379.01,4.29,408.87,674.7,1674.34,294.55,52.44,2696.03,7400.09,2729.52,11.05,78.2,0.35,2819.12,745.42,24.14,211.2,3799.88,26.13,2146.1,970.8,174.47,0.0,282.71,3600.21,7400.09,390.39,1313.02,0.0,0.0,4.42,78.63,745.42,26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,116.58,116.58,4888.66,4888.66,5005.24,37.06,498.45,4.64,540.15,64.41,1567.19,348.53,56.14,2036.27,7581.66,2869.95,12.32,128.72,1.61,3012.6,745.42,32.5,167.27,3957.79,51.35,2019.43,979.39,334.24,4.0,235.46,3623.87,7581.66,349.52,1145.29,0.0,0.0,4.35,98.06,745.42,51.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
