Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,944.53,3.01,947.54,491.08,98.3,-7.64,50.33,21.15,169.77,124.55,7.27,131.82,5.05,126.77,0.0,126.77,43.5,83.27,83.27,69.33,0.86,0.86,17.35,25.02,51.98,100.0,74.98
2015-09-30,958.96,3.47,962.43,520.05,87.12,-22.56,50.0,22.48,192.33,113.01,8.97,121.98,6.3,115.68,0.0,115.68,39.41,76.27,76.27,69.35,0.79,0.79,0.0,0.0,0.0,0.0,0.0
2015-12-31,1002.99,1.31,1004.3,447.99,110.26,29.31,53.6,22.64,188.95,151.55,7.79,159.34,3.58,155.76,0.0,155.76,54.01,101.75,101.75,69.35,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2016-03-31,943.54,0.0,943.54,467.44,89.4,-23.11,49.84,21.8,207.75,130.42,12.16,142.58,2.12,140.46,0.0,140.46,45.51,94.95,94.95,69.35,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2016-06-30,1032.23,3.43,1035.66,484.19,100.81,-4.37,57.44,23.12,210.94,163.53,9.1,172.63,0.76,171.87,0.0,171.87,57.64,114.23,114.23,69.35,1.18,1.18,0.0,0.0,0.0,0.0,0.0
2016-09-30,1017.3,3.8,1021.1,593.51,94.6,-103.02,55.57,24.23,224.59,131.62,15.9,147.52,2.59,144.93,86.67,231.6,70.28,161.32,161.32,97.1,1.66,1.66,0.0,0.0,0.0,0.0,0.0
2016-12-31,1045.0,3.51,1048.51,465.27,106.77,50.25,60.37,24.48,202.63,138.74,9.18,147.92,2.51,145.41,0.0,145.41,49.48,95.93,95.93,97.1,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2017-03-31,1016.26,0.0,1016.26,568.28,87.82,-62.14,54.54,25.24,210.64,131.88,14.49,146.37,1.55,144.82,-28.0,116.82,41.85,74.97,74.97,97.1,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2017-06-30,1149.21,0.0,1149.21,568.3,26.97,95.56,63.41,27.4,218.23,149.34,10.25,159.59,0.79,158.8,0.0,158.8,53.63,105.17,105.17,97.1,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2017-09-30,1136.41,0.0,1136.41,549.15,83.55,23.08,66.59,27.32,232.05,154.67,16.66,171.33,5.28,166.05,0.0,166.05,57.8,108.25,108.25,97.1,1.11,1.11,0.0,0.0,0.0,0.0,0.0
2017-12-31,1190.91,0.0,1190.91,569.45,101.02,29.07,61.95,27.69,228.4,173.33,9.11,182.44,5.52,176.92,0.0,176.92,62.06,114.86,114.86,97.1,1.18,1.18,0.0,0.0,0.0,0.0,0.0
2018-03-31,1194.81,0.0,1194.81,762.81,107.56,-159.17,66.4,28.86,228.15,160.2,11.1,171.3,4.45,166.85,0.0,166.85,56.48,110.37,110.37,97.1,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2018-06-30,1372.23,0.0,1372.23,741.33,101.93,-4.82,74.42,30.35,243.33,185.69,14.53,200.22,1.73,198.49,0.0,198.49,68.46,130.03,130.03,97.1,1.34,1.34,0.0,0.0,0.0,0.0,0.0
2018-09-30,1330.45,0.0,1330.45,819.85,101.21,-91.63,80.09,29.7,239.66,151.57,10.05,161.62,4.7,156.92,0.0,156.92,54.74,102.18,102.18,97.1,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2018-12-31,1460.14,0.0,1460.14,799.89,116.97,6.07,76.12,31.4,251.25,178.44,13.57,192.01,7.68,184.33,0.0,184.33,64.86,119.47,119.47,97.1,1.23,1.23,0.0,0.0,0.0,0.0,0.0
2019-03-31,1352.73,0.0,1352.73,788.96,112.35,-78.29,81.04,30.72,245.63,172.32,15.48,187.8,6.68,181.12,-28.6,152.52,65.17,87.35,87.35,97.11,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2019-06-30,1585.2,0.0,1585.2,756.35,122.96,69.05,87.5,41.8,262.8,244.74,16.39,261.13,7.04,254.09,0.0,254.09,89.64,164.45,164.45,97.11,1.69,1.69,0.0,0.0,0.0,0.0,0.0
2019-09-30,1429.88,0.0,1429.88,784.71,117.21,-45.25,87.92,42.57,265.52,177.2,12.09,189.29,7.19,182.1,0.0,182.1,7.74,174.36,174.36,97.11,1.8,1.8,0.0,0.0,0.0,0.0,0.0
2019-12-31,1501.79,0.0,1501.79,655.64,125.08,111.08,83.88,42.93,265.53,217.65,13.83,231.48,8.83,222.65,0.0,222.65,57.07,165.58,165.58,97.12,1.7,1.7,0.0,0.0,0.0,0.0,0.0
2020-03-31,1174.82,0.0,1174.82,705.83,116.35,-151.69,83.22,43.22,230.21,147.68,108.51,256.19,9.62,246.57,0.0,246.57,51.92,194.65,194.65,97.12,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,826.14,0.0,826.14,268.69,73.54,152.1,87.75,44.41,130.56,69.09,7.06,76.15,8.75,67.4,0.0,67.4,17.6,49.8,49.8,97.12,0.51,0.51,0.0,0.0,0.0,0.0,0.0
2020-09-30,1536.36,0.0,1536.36,668.19,226.68,-8.52,82.28,47.28,266.31,254.14,13.39,267.53,9.04,258.49,0.0,258.49,65.77,192.72,192.72,97.12,1.98,1.98,0.0,0.0,0.0,0.0,0.0
