Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Other Long Term Liabilities,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,26.55,26.55,3007.87,3007.87,3034.42,121.67,3.18,126.4,16.32,148.69,146.55,311.58,623.14,3783.96,1221.6,0.0,144.48,1366.09,2.82,119.02,0.0,1487.93,501.88,893.27,791.64,35.77,67.38,6.11,2296.04,3783.96,220.87,2.27,11.35,0.0,2257.64,4.21,13.12,0.0,2.83,0.0,501.88,1.55,484.26,0.97,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,26.55,26.55,3535.41,3535.41,3561.96,132.45,6.99,140.49,25.07,224.38,202.73,320.14,772.32,4474.77,1304.77,3.95,218.18,1526.91,2.82,149.07,0.0,1678.79,733.0,1114.9,823.03,56.66,59.16,9.23,2795.98,4474.77,231.13,2.69,14.56,0.0,2624.38,7.33,13.12,0.0,2.83,0.0,733.0,1.05,714.67,3.13,23.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,53.09,53.09,4297.05,4297.05,4350.14,149.2,11.57,161.24,41.42,230.42,239.46,4.81,516.12,5027.5,1435.71,2.93,263.91,1702.55,2.83,203.0,0.0,1908.38,802.52,1162.89,966.12,57.67,124.52,5.4,3119.12,5027.5,273.83,1.85,12.04,0.0,3219.8,7.24,39.67,0.0,2.83,0.0,802.52,0.47,844.54,1.88,17.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,53.09,53.09,5355.82,5355.82,5408.91,130.03,15.3,145.33,35.74,442.3,176.52,1.28,655.84,6210.08,1555.7,3.25,443.57,2002.52,8.37,18.56,141.48,2170.93,1630.72,1255.76,1002.89,66.47,5.53,77.78,4039.15,6210.08,388.81,1025.95,1.39,0.0,0.0,3538.39,39.67,0.0,8.37,1630.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,53.09,53.09,5906.56,5906.56,5959.65,192.69,14.95,207.64,63.11,405.65,170.79,0.94,640.49,6807.78,1989.33,6.55,119.76,2115.64,7.37,0.0,130.86,2253.87,1889.29,1281.39,1112.11,91.48,14.86,164.78,4553.91,6807.78,278.9,848.52,55.71,0.0,0.0,3235.9,39.67,0.0,7.37,1889.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,53.09,53.09,6920.22,6920.22,6973.31,221.18,13.17,234.35,105.6,483.31,242.5,1.11,832.52,8040.18,2083.39,4.05,491.91,2579.35,554.62,34.04,224.68,3392.69,1398.34,1663.18,1282.24,105.2,0.11,198.42,4647.49,8040.18,1031.35,1218.68,21.83,0.0,0.0,4123.76,39.67,547.25,7.37,1398.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,53.09,53.09,7263.6,7263.6,7316.69,273.96,20.52,294.48,33.63,580.34,286.51,2.46,902.94,8514.11,2772.66,3.6,919.69,3695.95,7.37,35.0,114.62,3852.94,971.35,1744.17,1533.21,107.36,0.09,304.99,4661.17,8514.11,1223.83,1159.72,23.94,0.0,0.0,4483.23,39.67,0.0,7.37,971.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,53.09,53.09,9218.48,9218.48,9271.57,338.06,25.25,363.31,0.35,748.78,337.25,2.51,1088.89,10723.77,3694.06,4.95,710.62,4409.63,7.37,55.16,126.3,4598.46,0.0,2042.7,1745.56,2142.01,0.0,195.04,6125.31,10723.77,1107.13,1312.68,21.46,0.0,0.0,5887.74,39.67,0.0,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,53.09,53.09,11638.26,11638.26,11691.35,421.4,26.71,448.11,0.0,771.3,392.95,4.15,1168.4,13307.86,4313.48,7.49,469.93,4790.9,79.37,0.0,141.63,5011.9,0.0,2644.05,2569.9,2803.68,0.0,278.33,8295.96,13307.86,1259.9,1767.55,27.79,0.0,0.0,7844.53,39.67,0.0,79.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,53.09,53.09,12652.33,12652.33,12705.42,537.21,30.62,567.83,0.0,742.64,330.81,4.92,1078.37,14351.62,4713.48,5.28,211.88,4930.64,84.41,0.0,101.12,5116.17,0.0,2780.45,1964.3,4187.56,0.0,303.14,9235.45,14351.62,736.98,1537.81,33.66,0.0,0.0,6653.68,39.67,0.0,84.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,53.0,53.0,13431.0,13431.0,13484.0,582.0,37.0,619.0,0.0,807.0,445.0,7.0,1259.0,15362.0,4733.0,4.0,778.0,5515.0,89.0,0.0,186.0,5790.0,0.0,2985.0,2273.0,3961.0,0.0,353.0,9572.0,15362.0,1432.0,1881.0,35.0,0.0,0.0,6687.0,39.67,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
