Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,806.91,1.85,808.76,355.67,0.0,-35.13,78.34,28.92,108.04,272.92,34.17,307.09,0.22,306.87,306.87,61.69,245.18,245.18,26.55,9.24,9.24,6.36,47.92,6.91,100.0,52.08
2015-09-30,969.24,2.45,971.69,421.06,0.0,-35.71,85.35,30.07,124.84,346.08,30.0,376.08,0.34,375.74,375.74,78.84,296.9,296.9,53.09,11.14,11.14,0.0,0.0,0.0,0.0,0.0
2015-12-31,858.65,1.1,859.75,332.58,0.0,-15.12,90.57,29.88,128.24,293.6,14.23,307.83,0.23,307.6,307.6,60.84,246.76,246.76,53.09,9.3,9.3,0.0,0.0,0.0,0.0,0.0
2016-03-31,1101.42,1.97,1103.39,363.12,0.0,107.99,98.69,29.23,134.38,369.98,17.32,387.3,2.22,385.08,385.08,63.08,322.0,322.0,53.09,12.14,12.14,0.0,0.0,0.0,0.0,0.0
2016-06-30,1005.97,2.11,1008.08,371.15,0.0,14.04,96.05,30.12,123.09,373.63,16.31,389.94,0.38,389.56,389.56,87.75,301.81,301.81,53.09,11.37,11.37,0.0,0.0,0.0,0.0,0.0
2016-09-30,1003.07,2.36,1005.43,410.38,0.0,-25.64,165.04,30.75,164.44,260.46,20.27,280.73,0.39,280.34,280.34,56.49,223.85,223.85,53.09,8.43,8.43,0.0,0.0,0.0,0.0,0.0
2016-12-31,973.44,3.04,976.48,345.46,0.0,5.16,98.12,30.95,146.94,349.85,18.47,368.32,0.44,367.88,367.88,99.56,268.32,268.32,53.09,10.11,10.11,0.0,0.0,0.0,0.0,0.0
2017-03-31,1063.14,3.53,1066.67,436.2,0.0,-15.17,99.94,31.44,183.7,330.56,20.93,351.49,1.04,350.45,350.45,91.16,259.29,259.29,53.09,9.77,9.77,0.0,0.0,0.0,0.0,0.0
2017-06-30,821.2,0.0,821.2,321.52,0.0,10.07,95.34,32.31,149.45,212.51,29.68,242.19,0.49,241.7,241.7,65.16,176.54,176.54,53.09,6.65,6.65,0.0,0.0,0.0,0.0,0.0
2017-09-30,890.2,0.0,890.2,313.52,0.0,43.78,104.82,33.93,150.88,243.27,33.59,276.86,0.75,276.11,276.11,69.33,206.78,206.78,53.09,7.79,7.79,0.0,0.0,0.0,0.0,0.0
2017-12-31,1037.88,0.0,1037.88,408.53,0.0,-0.15,114.98,37.39,188.38,288.75,17.01,305.76,0.26,305.5,305.5,80.84,224.66,224.66,53.09,8.46,8.46,0.0,0.0,0.0,0.0,0.0
2018-03-31,1087.95,0.0,1087.95,480.71,0.0,-73.08,125.77,38.79,168.05,347.71,48.17,395.88,-0.17,396.05,396.05,134.45,261.6,261.6,53.09,9.85,9.85,0.0,0.0,0.0,0.0,0.0
2018-06-30,995.31,0.0,995.31,397.67,0.0,-16.23,121.33,41.6,140.68,310.26,48.79,359.05,0.64,358.41,358.41,92.25,266.16,266.16,53.09,10.03,10.03,0.0,0.0,0.0,0.0,0.0
2018-09-30,1285.0,0.0,1285.0,555.63,0.0,-82.39,134.66,42.39,162.97,471.74,80.05,551.79,0.24,551.55,551.55,153.9,397.65,397.65,53.09,14.98,14.98,0.0,0.0,0.0,0.0,0.0
2018-12-31,1342.92,0.0,1342.92,551.57,0.0,-71.38,136.45,42.48,202.95,480.85,34.56,515.41,2.52,512.89,512.89,133.4,379.49,379.49,53.09,14.29,14.29,0.0,0.0,0.0,0.0,0.0
2019-03-31,1256.43,0.0,1256.43,577.18,0.0,-74.22,138.28,42.34,204.1,368.75,41.73,410.48,0.1,410.38,410.38,121.03,289.35,289.35,53.09,10.9,10.9,0.0,0.0,0.0,0.0,0.0
2019-06-30,1139.92,0.0,1139.92,503.98,0.0,-50.25,137.95,43.81,169.63,334.8,31.63,366.43,0.32,366.11,366.11,98.76,267.35,267.35,53.09,10.07,10.07,0.0,0.0,0.0,0.0,0.0
2019-09-30,1403.92,0.0,1403.92,606.99,0.0,-29.56,147.58,45.91,193.55,439.45,47.36,486.81,3.79,483.02,483.02,130.19,352.83,352.83,53.09,13.29,13.29,0.0,0.0,0.0,0.0,0.0
2019-12-31,1390.49,0.0,1390.49,529.45,0.0,18.07,153.1,46.69,193.0,450.18,40.31,490.49,1.55,488.94,488.94,128.21,360.73,360.73,53.09,13.59,13.59,0.0,0.0,0.0,0.0,0.0
2020-03-31,1376.24,0.0,1376.24,542.24,0.0,-32.36,169.73,49.54,247.99,399.1,76.52,475.62,0.4,475.22,475.22,83.42,391.8,391.8,53.09,14.76,14.76,0.0,0.0,0.0,0.0,0.0
2020-06-30,1709.96,0.0,1709.96,459.49,0.0,177.19,180.35,55.97,193.95,643.01,17.87,660.88,0.18,660.7,660.7,168.45,492.25,492.25,53.09,18.54,18.54,0.0,0.0,0.0,0.0,0.0
2020-09-30,1713.78,0.0,1713.78,535.61,0.0,30.65,188.71,60.89,226.42,671.5,13.64,685.14,0.11,685.03,685.03,171.73,513.3,513.3,53.09,19.34,19.34,0.0,0.0,0.0,0.0,0.0
2020-12-31,1656.48,0.0,1656.48,674.23,0.0,-161.37,229.19,67.95,235.98,610.5,19.68,630.18,0.22,629.96,629.96,168.72,461.24,461.24,53.09,17.37,17.37,0.0,0.0,0.0,0.0,0.0
2021-03-31,1718.39,0.0,1718.39,696.17,0.0,-146.47,210.43,69.84,258.91,629.51,22.85,652.36,0.18,652.18,652.18,164.25,487.93,487.93,53.09,18.38,18.38,0.0,0.0,0.0,0.0,0.0
2021-06-30,1950.16,0.0,1950.16,763.75,0.0,-119.53,216.26,73.01,238.21,778.46,35.55,814.01,0.24,813.77,813.77,261.8,551.97,551.97,53.09,20.79,20.79,0.0,0.0,0.0,0.0,0.0
2021-09-30,1967.86,0.0,1967.86,862.53,0.0,-211.85,219.08,77.09,279.51,741.5,19.11,760.61,0.17,760.44,760.44,154.05,606.39,606.39,53.09,22.84,22.84,0.0,0.0,0.0,0.0,0.0
2021-12-31,2466.77,0.0,2466.77,885.08,0.0,-59.08,239.72,79.7,301.15,1020.2,16.62,1036.82,0.2,1036.62,1036.62,129.4,907.22,907.22,53.09,34.17,34.17,0.0,0.0,0.0,0.0,0.0
2022-03-31,2495.03,0.0,2495.03,928.43,0.0,-59.53,251.49,80.75,278.67,1015.22,50.51,1065.73,0.04,1065.69,1065.69,182.73,882.96,882.96,53.09,33.26,33.26,0.0,0.0,0.0,0.0,0.0
2022-06-30,2203.92,0.0,2203.92,774.31,0.0,20.36,241.54,83.42,330.13,754.16,89.99,844.15,0.1,844.05,844.05,152.44,691.61,691.61,53.09,26.05,26.05,0.0,0.0,0.0,0.0,0.0
2022-09-30,1823.38,0.0,1823.38,815.93,0.0,-144.08,226.73,85.48,315.54,523.78,79.25,603.03,0.13,602.9,602.9,116.05,486.85,486.85,53.09,18.34,18.34,0.0,0.0,0.0,0.0,0.0
2022-12-31,1689.83,0.0,1689.83,596.6,0.0,151.15,232.84,86.54,299.82,322.88,116.34,439.22,0.11,439.11,439.11,128.21,310.9,310.9,53.09,11.71,11.71,0.0,0.0,0.0,0.0,0.0
2023-03-31,1908.17,0.0,1908.17,792.65,0.0,22.73,251.94,86.63,352.15,402.07,66.15,468.22,0.18,468.04,468.04,149.25,318.79,318.79,53.09,12.01,12.01,0.0,0.0,0.0,0.0,0.0
2023-06-30,1730.0,0.0,1730.0,823.0,0.0,-148.0,256.0,93.0,308.0,398.0,80.0,478.0,0.0,478.0,478.0,133.0,345.0,345.0,53.0,12.99,12.99,0.0,0.0,0.0,0.0,0.0
2023-09-30,1868.0,0.0,1868.0,706.0,0.0,94.0,260.0,94.0,334.0,380.0,85.0,465.0,1.0,464.0,464.0,122.0,342.0,342.0,53.0,12.89,12.89,0.0,0.0,0.0,0.0,0.0
2023-12-31,1808.0,0.0,1808.0,771.0,0.0,-63.0,261.0,95.0,348.0,396.0,94.0,490.0,0.0,490.0,490.0,132.0,358.0,358.0,53.0,13.5,13.5,0.0,0.0,0.0,0.0,0.0
2024-03-31,2259.0,0.0,2259.0,910.0,0.0,-10.0,290.0,94.0,352.0,623.0,79.0,702.0,2.0,700.0,700.0,169.0,531.0,531.0,53.0,19.99,19.99,0.0,0.0,0.0,0.0,0.0
2024-06-30,2063.0,0.0,2063.0,882.0,0.0,-56.0,285.0,97.0,331.0,524.0,79.0,603.0,0.0,603.0,603.0,173.0,430.0,430.0,53.0,16.18,16.18,0.0,0.0,0.0,0.0,0.0
2024-09-30,2302.0,0.0,2302.0,953.0,0.0,1.0,296.0,98.0,323.0,631.0,105.0,736.0,1.0,735.0,735.0,217.0,518.0,518.0,53.0,19.51,19.51,0.0,0.0,0.0,0.0,0.0
2024-12-31,2297.0,0.0,2297.0,1015.0,0.0,-87.0,288.0,99.0,334.0,648.0,82.0,730.0,0.0,730.0,730.0,136.0,594.0,594.0,53.0,22.39,22.39,0.0,0.0,0.0,0.0,0.0
2025-03-31,2536.0,0.0,2536.0,910.0,0.0,59.0,341.0,107.0,345.0,774.0,87.0,861.0,0.0,861.0,861.0,194.0,667.0,667.0,53.0,25.12,25.12,0.0,0.0,0.0,0.0,0.0
