Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Share Capital Suspense,Other Assets,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,17.99,17.99,511.6,511.6,529.59,0.0,0.0,0.0,2.81,2.81,430.88,789.3,415.99,66.54,1702.71,2235.11,196.07,19.26,1.14,14.32,230.8,121.36,0.0,167.1,0.84,520.1,0.0,581.4,680.11,47.26,130.63,275.61,1715.01,2235.11,233.1,8.7,159.41,21.46,13.31,36.29,118.38,0.0,0.0,0.0,439.71,49.39,229.12,10.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,17.99,17.99,607.1,607.1,625.08,0.0,0.0,0.0,4.49,4.49,331.92,840.83,311.24,79.0,1562.99,2192.57,195.82,21.68,2.48,19.94,239.91,231.86,16.47,200.44,1.08,689.76,0.0,462.83,640.77,36.33,105.43,257.44,1502.8,2192.57,316.95,6.65,179.49,17.66,13.31,61.09,228.88,0.0,0.0,0.0,547.7,15.43,277.9,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,17.99,17.99,655.71,655.71,673.7,0.0,0.0,0.0,8.4,8.4,285.67,1034.73,365.89,30.62,1716.91,2571.58,189.37,38.53,6.26,10.07,244.24,296.02,22.24,231.17,3.35,797.02,158.07,515.48,712.67,42.46,100.44,245.45,1774.56,2571.58,441.49,14.33,241.65,107.44,13.31,0.0,233.22,158.07,172.57,0.0,519.81,11.95,356.18,23.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,19.11,19.11,898.65,898.65,917.76,0.0,0.0,4.05,10.77,14.82,149.23,1108.58,394.68,34.79,1687.28,2619.86,216.09,43.71,21.52,12.09,352.9,215.08,104.53,19.43,99.47,791.41,0.0,580.45,812.76,78.0,3.79,353.45,1828.45,2619.86,290.76,1037.85,0.0,256.63,13.3,0.0,215.08,0.0,0.0,59.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,19.2,19.2,929.05,929.05,948.25,0.0,0.0,7.15,12.2,19.35,319.25,1432.19,427.61,52.16,2231.21,3198.81,234.8,56.12,18.38,6.93,372.3,220.26,107.41,19.98,93.82,813.77,0.0,1002.07,809.55,65.08,12.44,495.9,2385.04,3198.81,566.23,1252.13,0.0,263.68,13.3,0.0,220.26,0.0,0.0,56.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,19.26,19.26,941.74,941.74,961.0,0.0,0.0,6.5,11.5,18.0,364.42,1424.91,395.24,76.09,2260.66,3239.66,256.18,50.3,30.77,10.28,400.38,220.88,77.94,21.77,103.47,824.44,0.0,857.75,1015.95,27.41,9.91,504.2,2415.22,3239.66,683.41,1272.06,0.0,227.03,13.3,0.0,220.88,0.0,0.0,52.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,19.26,19.26,830.43,830.43,849.69,41.88,0.0,47.1,13.13,102.11,449.04,1438.57,421.15,53.19,2361.95,3313.75,305.17,51.13,56.75,11.01,473.87,220.88,58.48,21.13,158.58,932.94,0.0,849.65,745.83,225.97,13.87,545.49,2380.81,3313.75,641.15,1160.58,0.0,181.3,13.3,0.0,220.88,0.0,0.0,49.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,19.26,19.26,899.83,899.83,919.09,346.86,0.0,38.19,10.81,395.86,231.93,1455.85,439.26,37.66,2164.7,3479.65,292.73,52.13,54.31,3.42,402.59,220.82,44.07,23.79,147.23,838.5,279.05,867.69,712.19,300.41,18.6,463.21,2641.15,3479.65,536.63,954.04,0.0,165.71,13.3,0.0,220.82,279.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,19.26,19.26,989.05,989.05,1008.31,173.0,0.0,57.18,10.09,240.27,366.94,1843.05,539.91,43.91,2793.81,4042.39,335.76,41.57,110.18,7.1,494.61,247.42,24.06,3.05,147.47,916.61,145.03,1126.37,1018.91,205.06,8.11,622.3,3125.78,4042.39,443.34,1354.66,0.0,242.34,13.3,0.0,247.42,145.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,19.26,19.26,1259.17,1259.17,1278.43,0.0,0.0,75.05,11.38,86.43,477.31,2255.96,655.25,44.17,3432.69,4797.55,501.85,57.89,30.46,22.32,612.52,330.09,4.17,4.32,135.86,1086.96,119.74,1313.8,1328.14,179.21,36.51,733.19,3710.59,4797.55,617.93,1599.99,0.0,280.07,13.3,0.0,330.09,119.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,41.12,41.12,2470.37,2470.37,2511.49,0.0,3.83,63.5,15.91,83.24,235.48,2399.5,887.26,50.66,3572.9,6167.63,671.61,92.04,26.21,18.96,808.82,767.16,0.0,5.53,174.83,1756.34,189.99,1232.66,1799.67,262.31,27.07,899.59,4411.29,6167.63,298.71,1555.43,0.0,267.17,32.56,0.0,767.16,189.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,41.12,41.12,2813.48,2813.48,2854.6,0.0,4.42,154.13,25.01,183.56,318.9,3156.89,1112.86,79.64,4668.29,7706.45,929.75,112.02,54.18,0.0,1095.95,817.56,0.0,19.54,182.02,2115.07,388.94,1779.47,1816.99,306.1,64.21,1235.67,5591.38,7706.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
