Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Intangible Assets Under Development,Long Term Loans And Advances,Short Term Loans And Advances,Deferred Tax Assets [Net],Preference Share Capital,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,18.78,18.78,2.42,712.37,714.79,0.0,0.0,733.57,47.31,0.0,3.94,102.12,67.26,84.59,46.94,12.63,211.42,1047.1,405.52,9.13,13.66,428.31,130.62,0.0,576.41,0.0,186.14,226.62,11.63,0.0,470.7,1047.1,483.22,228.7,6.81,0.0,13.7,9.83,204.93,8.63,16.57,102.4,123.54,0.0,50.86,0.0,17.48,46.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,18.82,18.82,2.37,838.7,841.07,0.0,0.0,859.89,41.25,0.0,4.49,96.96,31.62,93.37,50.18,13.57,188.74,1145.59,381.72,7.62,17.64,406.97,237.5,0.0,662.95,0.0,208.42,224.29,6.66,0.0,482.64,1145.59,360.95,231.08,8.39,0.0,4.16,7.71,220.68,18.45,16.57,149.71,230.42,0.0,51.22,0.0,18.48,43.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,18.84,18.84,2.31,925.87,928.17,0.0,0.0,947.01,37.88,0.0,4.36,68.19,32.55,103.3,105.43,2.49,243.77,1258.97,373.46,9.9,68.16,451.51,244.64,0.0,726.46,0.0,225.24,253.21,9.85,0.0,532.51,1258.97,325.42,220.85,7.52,49.16,40.91,11.79,267.59,27.54,16.57,156.21,237.55,0.0,25.95,0.0,30.31,44.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,18.87,18.87,0.0,1036.16,1036.16,0.0,0.0,1055.03,34.07,0.0,4.38,40.24,0.0,133.94,64.16,3.95,202.04,1297.32,400.4,7.69,51.41,459.53,254.12,32.9,746.55,0.0,226.77,256.28,7.93,59.79,550.77,1297.32,208.34,0.0,0.0,0.0,0.0,356.8,357.1,0.0,16.57,163.32,240.96,0.0,1.79,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,18.9,18.9,0.0,1150.77,1150.77,0.0,0.0,1169.67,26.08,0.0,5.7,32.85,0.0,166.87,62.56,3.91,233.34,1435.86,425.6,4.85,16.96,447.43,256.86,27.38,731.67,54.48,260.4,326.74,20.84,41.73,704.19,1435.86,224.84,0.0,0.0,0.0,0.0,338.5,314.0,0.0,16.57,264.02,240.96,0.0,1.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,18.92,18.92,0.0,1252.69,1252.69,0.6,4.67,1276.88,21.2,0.0,5.94,27.41,0.0,146.99,70.15,4.35,221.5,1525.78,392.74,2.55,22.49,417.78,251.15,32.69,701.62,93.57,339.03,330.51,17.24,43.82,824.17,1525.78,297.39,300.36,15.9,62.22,60.09,6.72,380.16,7.97,16.57,0.0,1.15,93.57,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,18.94,18.94,0.0,1341.26,1341.26,0.6,6.28,1367.08,11.67,0.25,7.49,19.4,0.0,127.13,54.79,4.61,186.53,1573.01,420.1,2.09,12.22,434.4,245.84,26.3,706.55,61.6,326.3,259.34,163.38,55.84,866.46,1573.01,130.61,306.23,18.71,48.01,19.91,6.81,391.17,8.31,16.57,0.0,0.02,61.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,18.96,18.96,0.0,1507.33,1507.33,0.6,7.87,1534.77,8.41,0.17,9.09,17.67,0.0,210.77,76.17,6.27,293.21,1845.65,409.44,8.67,11.15,429.27,250.73,22.11,702.11,0.0,295.1,317.72,465.44,65.28,1143.54,1845.65,103.09,331.08,7.71,38.2,21.25,6.97,354.91,9.66,16.57,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,18.99,18.99,0.0,1721.76,1721.76,0.0,0.0,1740.75,9.53,1.8,8.92,20.25,163.0,238.02,102.63,5.19,508.84,2269.84,427.07,7.66,18.02,452.75,968.49,21.94,1443.18,0.0,400.2,330.92,18.24,77.3,826.66,2269.84,123.86,428.37,21.43,68.14,6.79,523.3,492.19,8.18,16.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,18.99,18.99,2.37,1985.15,1987.52,0.0,0.0,2006.52,5.24,1.33,11.52,18.09,104.0,238.67,67.74,3.36,413.76,2438.37,478.29,7.41,46.5,532.21,1047.52,27.94,1607.67,0.0,379.54,389.72,12.46,48.98,830.7,2438.37,132.82,0.0,0.0,0.0,12.1,588.1,622.4,0.0,16.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,19.03,19.03,2.37,2276.12,2278.49,0.0,0.0,2297.52,3.42,0.0,12.83,16.24,0.0,224.56,48.03,5.69,278.29,2592.05,520.38,6.24,47.45,574.07,1039.35,29.93,1643.36,0.0,361.25,378.58,174.95,33.91,948.69,2592.05,79.41,0.0,0.0,0.0,24.3,615.5,615.4,0.0,16.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
