Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,1045.74,10.72,1056.46,0.0,102.94,140.02,1.51,626.17,185.82,33.87,219.69,40.15,179.54,179.54,16.0,163.54,0.0,0.0,163.54,465.8,3.51,3.51,16.89,36.25,29.69,100.0,63.75
2015-09-30,1077.18,7.84,1085.02,0.0,116.62,145.12,6.71,648.9,167.67,53.55,221.22,41.01,180.21,180.21,19.0,161.21,0.0,0.0,161.21,465.8,3.46,3.46,16.89,36.25,29.69,100.0,63.75
2015-12-31,974.11,12.93,987.04,0.0,113.24,148.01,2.58,644.81,78.4,38.9,117.3,39.64,77.66,77.66,18.0,59.66,0.0,0.0,59.66,465.8,1.28,1.28,0.0,0.0,0.0,0.0,0.0
2016-03-31,981.22,2.6,983.82,0.0,124.57,146.8,41.96,682.71,-12.22,38.5,26.28,39.8,-13.52,-13.52,-6.5,-7.02,0.0,0.0,-7.02,465.8,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2016-06-30,825.29,15.18,840.47,0.0,112.83,134.85,4.44,509.46,78.89,35.47,114.36,41.7,72.66,72.66,16.75,55.91,0.0,0.0,55.91,465.8,1.2,1.2,0.0,0.0,0.0,0.0,0.0
2016-09-30,749.77,8.98,758.75,0.0,99.94,140.47,2.27,523.52,-7.45,47.02,39.57,41.82,-2.25,-2.25,17.75,-20.0,0.0,0.0,-20.0,465.8,-0.43,-0.43,0.0,0.0,0.0,0.0,0.0
2016-12-31,954.61,10.24,964.85,0.0,113.67,134.88,5.66,664.18,46.46,25.67,72.13,45.63,26.5,26.5,19.25,7.25,0.0,0.0,7.25,465.8,0.16,0.16,0.0,0.0,0.0,0.0,0.0
2017-03-31,897.73,0.0,897.73,0.0,105.13,155.86,0.0,564.04,72.7,50.63,123.33,43.0,80.33,80.33,-12.03,92.36,0.0,0.0,92.36,465.8,1.98,1.98,0.0,0.0,0.0,0.0,0.0
2017-06-30,864.78,0.0,864.78,0.0,115.41,149.37,0.0,583.3,16.7,36.09,52.79,44.51,8.28,8.28,15.0,-6.72,0.0,0.0,-6.72,465.8,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
2017-09-30,808.22,0.0,808.22,0.0,117.05,152.74,0.0,565.88,-27.45,16.64,-10.81,47.37,-58.18,-58.18,18.0,-76.18,0.0,0.0,-76.18,465.8,-1.64,-1.64,0.0,0.0,0.0,0.0,0.0
2017-12-31,879.56,0.0,879.56,0.0,115.73,155.23,0.0,574.58,34.02,110.1,144.12,40.95,103.17,103.17,21.0,82.17,0.0,0.0,82.17,465.8,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2018-03-31,916.9,0.0,916.9,0.0,157.1,152.92,0.0,620.07,-13.19,36.35,23.16,46.96,-23.8,-23.8,-278.27,254.47,0.0,0.0,254.47,465.8,5.46,5.46,0.0,0.0,0.0,0.0,0.0
2018-06-30,894.26,0.0,894.26,0.0,110.68,155.15,0.0,780.64,-152.21,20.85,-131.36,58.62,-189.98,-189.98,16.0,-205.98,0.0,0.0,-205.98,465.8,-4.42,-4.42,0.0,0.0,0.0,0.0,0.0
2018-09-30,939.81,0.0,939.81,0.0,102.04,163.19,0.0,847.61,-173.03,112.3,-60.73,61.8,-122.53,-122.53,20.0,-142.53,0.0,0.0,-142.53,465.8,-3.06,-3.06,0.0,0.0,0.0,0.0,0.0
2018-12-31,1074.87,0.0,1074.87,0.0,115.61,170.0,0.0,687.71,101.55,162.43,263.98,63.44,200.54,200.54,20.0,180.54,0.0,0.0,180.54,465.8,3.88,3.88,0.0,0.0,0.0,0.0,0.0
2019-03-31,1018.96,0.0,1018.96,0.0,124.11,170.13,0.0,709.14,15.58,83.55,99.13,62.0,37.13,37.13,-8.86,45.99,0.0,0.0,45.99,465.8,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2019-06-30,932.99,0.0,932.99,0.0,115.83,169.46,0.0,646.04,1.66,35.24,36.9,59.26,-22.36,-22.36,17.0,-39.36,0.0,0.0,-39.36,465.8,-0.84,-0.84,0.0,0.0,0.0,0.0,0.0
2019-09-30,998.31,0.0,998.31,0.0,113.94,167.89,0.0,690.42,26.06,65.97,92.03,132.57,-40.54,-40.54,16.0,-56.54,0.0,0.0,-56.54,465.8,-1.21,-1.21,0.0,0.0,0.0,0.0,0.0
2019-12-31,1257.61,0.0,1257.61,0.0,111.16,169.86,0.0,618.46,358.13,23.99,382.12,79.22,302.9,302.9,18.4,284.5,0.0,0.0,284.5,465.8,6.11,6.11,0.0,0.0,0.0,0.0,0.0
2020-03-31,1313.82,0.0,1313.82,0.0,139.0,164.06,0.0,870.97,139.79,78.03,217.82,110.31,107.51,107.51,-6.24,113.75,0.0,0.0,113.75,465.8,2.44,2.44,0.0,0.0,0.0,0.0,0.0
2020-06-30,1143.46,0.0,1143.46,0.0,112.8,158.79,0.0,525.44,346.43,34.97,381.4,49.82,331.58,331.58,14.1,317.48,0.0,0.0,317.48,465.8,6.82,6.82,0.0,0.0,0.0,0.0,0.0
2020-09-30,843.21,0.0,843.21,0.0,112.13,158.97,0.0,527.17,44.94,33.66,78.6,-54.78,133.38,133.38,2.25,131.13,0.0,0.0,131.13,465.8,2.82,2.82,0.0,0.0,0.0,0.0,0.0
2020-12-31,841.23,0.0,841.23,0.0,104.09,156.42,0.0,511.49,69.23,31.59,100.82,-6.58,107.4,107.4,4.1,103.3,0.0,0.0,103.3,465.8,2.22,2.22,0.0,0.0,0.0,0.0,0.0
2021-03-31,875.35,0.0,875.35,0.0,144.76,153.76,0.0,507.11,69.72,25.34,95.06,32.65,62.41,62.41,-3.78,66.19,0.0,0.0,66.19,465.8,1.42,1.42,0.0,0.0,0.0,0.0,0.0
2021-06-30,1027.83,0.0,1027.83,0.0,110.76,155.09,0.0,581.45,180.53,20.63,201.16,51.66,149.5,149.5,3.77,145.73,0.0,0.0,145.73,465.8,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2021-09-30,1221.31,0.0,1221.31,0.0,110.85,161.45,0.0,711.24,237.77,8.34,246.11,13.06,233.05,233.05,5.01,228.04,0.0,0.0,228.04,465.8,4.89,4.89,0.0,0.0,0.0,0.0,0.0
2021-12-31,1438.23,0.0,1438.23,0.0,106.55,158.89,0.0,859.28,313.51,18.0,331.51,16.88,314.63,314.63,24.32,290.31,0.0,0.0,290.31,465.8,6.23,6.23,0.0,0.0,0.0,0.0,0.0
2022-03-31,1314.16,0.0,1314.16,806.67,157.26,160.01,0.0,23.21,167.01,50.1,217.11,76.1,141.01,141.01,10.29,130.72,0.0,0.0,130.72,465.8,2.81,2.81,0.0,0.0,0.0,0.0,0.0
2022-06-30,1464.94,0.0,1464.94,0.0,98.07,172.2,0.0,1069.58,125.09,35.49,160.58,49.91,110.67,110.67,12.1,98.57,0.0,0.0,98.57,465.8,2.12,2.12,0.0,0.0,0.0,0.0,0.0
2022-09-30,1420.4,0.0,1420.4,0.0,112.89,190.47,0.0,985.15,131.89,37.87,169.76,46.81,122.95,122.95,12.11,110.84,0.0,0.0,110.84,465.8,2.38,2.38,0.0,0.0,0.0,0.0,0.0
2022-12-31,1500.06,0.0,1500.06,0.0,111.01,194.81,0.0,921.44,272.8,40.09,312.89,37.9,274.99,274.99,16.26,258.73,0.0,0.0,258.73,465.8,5.55,5.55,0.0,0.0,0.0,0.0,0.0
2023-03-31,1418.14,0.0,1418.14,0.0,160.23,195.82,0.0,793.03,269.06,34.07,303.13,49.57,253.56,253.56,-106.27,359.83,0.0,0.0,359.83,465.8,7.72,7.72,0.0,0.0,0.0,0.0,0.0
2023-06-30,1200.11,0.0,1200.11,0.0,106.57,197.35,0.0,730.35,165.84,26.96,192.8,35.46,157.34,157.34,9.92,147.42,0.0,0.0,147.42,465.8,3.16,3.16,0.0,0.0,0.0,0.0,0.0
2023-09-30,1093.06,0.0,1093.06,0.0,116.4,200.3,0.0,740.71,35.65,68.69,104.34,55.65,48.69,48.69,8.0,40.69,0.0,0.0,40.69,465.8,0.87,0.87,0.0,0.0,0.0,0.0,0.0
2023-12-31,1340.53,0.0,1340.53,0.0,134.67,251.05,0.0,788.7,166.11,22.33,188.44,39.75,148.69,148.69,16.64,132.05,0.0,0.0,132.05,465.8,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2024-03-31,1412.34,0.0,1412.34,0.0,145.07,240.68,0.0,859.91,166.68,97.53,264.21,40.45,223.76,223.76,-68.23,291.99,0.0,0.0,291.99,465.8,6.27,6.27,0.0,0.0,0.0,0.0,0.0
2024-06-30,1514.07,0.0,1514.07,0.0,119.4,219.7,0.0,884.81,290.16,43.98,334.14,40.4,293.74,293.74,6.82,286.92,0.0,0.0,286.92,465.8,6.16,6.16,0.0,0.0,0.0,0.0,0.0
2024-09-30,1450.63,0.0,1450.63,0.0,122.68,233.77,0.0,793.87,300.31,40.08,340.39,43.19,297.2,297.2,6.98,290.22,0.0,0.0,290.22,465.8,6.23,6.23,0.0,0.0,0.0,0.0,0.0
2024-12-31,1302.97,0.0,1302.97,0.0,163.0,255.1,0.0,782.12,102.75,34.17,136.92,63.91,73.01,73.01,8.21,64.8,0.0,0.0,64.8,465.8,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2025-03-31,1324.66,0.0,1324.66,0.0,163.33,242.63,0.0,796.22,122.48,74.82,197.3,38.79,158.51,158.51,-13.66,172.17,0.0,0.0,172.17,465.8,3.7,3.7,0.0,0.0,0.0,0.0,0.0
