Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,39.94,39.94,5559.93,5559.93,0.0,5599.87,0.0,24.45,49.98,74.43,2290.59,588.08,1544.33,4423.0,10097.3,1897.27,345.98,854.11,0.0,3097.36,812.88,477.39,47.81,4541.42,3275.89,669.55,920.58,117.5,550.31,22.05,5555.88,10097.3,487.63,0.0,350.77,0.0,465.54,4.55,23.96,653.22,229.59,986.31,2351.11,105.98,24.45,1068.88,226.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,39.94,39.94,6501.39,6501.39,0.0,6541.33,0.0,31.33,65.62,96.95,2841.87,307.49,734.06,3883.42,10521.7,2818.29,94.4,712.55,0.0,3625.24,863.78,616.82,60.19,5239.57,2290.33,815.49,1389.59,159.25,567.66,59.81,5282.13,10521.7,816.42,0.0,403.57,0.0,720.18,1.49,23.96,615.34,329.94,346.01,1984.33,73.54,16.92,1182.28,145.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,39.94,39.94,7904.81,7904.81,0.0,7944.75,227.79,34.89,84.44,347.12,2766.88,483.19,798.75,4048.82,12340.69,3717.85,118.89,288.34,317.06,4442.14,1019.36,870.42,73.68,6405.6,3247.01,672.98,1282.8,131.36,521.46,79.48,5935.09,12340.69,650.44,0.0,272.3,0.0,776.74,1.42,23.96,486.06,748.73,303.23,2987.22,0.0,0.62,894.5,162.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,39.94,39.94,10071.35,10071.35,0.0,10111.29,414.34,0.0,75.3,489.64,3247.27,807.05,39.01,4093.33,14694.26,4310.73,84.86,270.72,194.33,4860.64,1349.0,48.36,983.08,7241.08,4540.85,656.31,1561.87,136.73,24.18,533.24,7453.18,14694.26,480.68,0.0,215.23,0.0,0.0,581.35,23.96,288.11,1229.43,123.08,4419.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,39.94,39.94,11728.94,11728.94,0.0,11768.88,511.66,0.0,114.94,626.6,3318.81,964.72,59.79,4343.32,16738.8,4485.89,168.65,203.78,114.61,4972.93,1934.08,45.68,937.93,7890.62,5591.12,823.58,1520.18,141.34,27.56,744.4,8848.18,16738.8,437.86,0.0,252.19,0.0,0.0,737.64,23.96,279.02,1816.4,0.0,5591.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,39.95,39.95,12807.58,12807.58,9.59,12857.12,536.51,0.0,117.2,653.71,3355.28,716.05,59.03,4130.36,17641.19,4477.53,141.05,360.67,181.19,5160.44,2801.51,59.96,1503.64,9525.55,3167.1,1072.37,2821.57,136.46,25.03,893.11,8115.64,17641.19,821.5,1620.58,228.27,0.0,0.0,832.01,23.96,257.6,2698.28,20.7,3146.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,39.95,39.95,14081.01,14081.01,15.44,14136.4,392.83,121.67,122.37,636.87,3030.51,798.99,146.56,3976.06,18749.33,5976.99,140.09,160.25,181.02,6458.35,3528.17,67.27,406.98,10460.77,4694.48,1091.97,1603.14,241.86,22.36,634.75,8288.56,18749.33,249.43,1001.45,233.32,0.0,0.0,761.77,23.96,214.87,3320.36,135.71,4559.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,39.96,39.96,15139.43,15139.43,19.04,15198.43,404.09,275.85,172.46,852.4,5204.61,745.24,160.37,6110.22,22161.05,5698.15,290.26,177.86,258.73,6425.0,4308.18,52.23,422.85,11208.26,6191.49,1469.55,2426.76,257.15,36.94,570.9,10952.79,22161.05,248.55,683.27,239.3,0.0,0.0,866.87,23.96,614.74,3693.68,55.59,6136.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,39.96,39.96,15718.51,15718.51,24.45,15782.92,383.29,297.36,178.07,858.72,4260.34,651.62,160.42,5072.38,21714.02,5507.98,298.5,87.32,370.88,6264.68,4814.66,59.03,460.69,11599.06,5837.66,1122.65,2304.27,175.12,22.81,652.45,10114.96,21714.02,296.89,0.0,374.28,0.0,0.0,1445.96,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,39.97,39.97,16629.49,16629.49,35.63,16705.09,405.37,330.58,198.12,934.07,4704.46,743.83,175.69,5623.98,23263.14,5261.23,500.19,128.55,335.24,6225.21,7372.48,19.87,608.79,14226.35,3637.88,1434.09,2798.21,345.5,23.71,797.4,9036.79,23263.14,291.36,0.0,457.17,0.0,0.0,1088.24,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,39.98,39.98,17900.57,17900.57,45.63,17986.18,434.82,289.63,316.66,1041.11,5528.15,861.97,154.14,6544.26,25571.55,5305.48,528.55,120.58,359.93,6314.54,8811.58,21.15,628.26,15775.53,4274.52,1443.76,2703.44,608.93,24.56,740.81,9796.02,25571.55,431.37,0.0,520.58,0.0,0.0,1457.05,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
