Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-12-31,8030.98,0.0,8030.98,5620.45,15.7,-61.83,545.58,162.0,986.94,762.14,183.2,945.34,4.9,940.44,0.0,940.44,229.38,711.06,0.0,711.06,39.97,35.58,35.54,0.0,0.0,0.0,0.0,0.0
2023-03-31,8306.78,0.0,8306.78,5804.52,17.16,-175.39,557.06,168.58,1020.43,914.42,236.92,1151.34,4.68,1146.66,0.0,1146.66,287.73,858.93,0.0,858.93,39.97,42.99,42.94,0.0,0.0,0.0,0.0,0.0
2023-06-30,8767.27,0.0,8767.27,6035.28,9.76,35.87,580.16,168.97,899.95,1037.28,222.17,1259.45,4.66,1254.79,-159.99,1094.8,270.08,824.72,0.0,824.72,39.97,41.27,41.23,0.0,0.0,0.0,0.0,0.0
2023-09-30,9445.42,0.0,9445.42,6480.81,5.08,-7.92,576.77,174.88,1062.39,1153.41,248.3,1401.71,4.76,1396.95,0.0,1396.95,343.14,1053.81,0.0,1053.81,39.97,52.72,52.61,0.0,0.0,0.0,0.0,0.0
2023-12-31,9723.73,0.0,9723.73,6488.57,2.31,56.16,601.67,182.51,1213.0,1179.51,242.04,1421.55,4.52,1417.03,0.0,1417.03,343.65,1073.38,0.0,1073.38,39.98,53.7,53.6,0.0,0.0,0.0,0.0,0.0
2024-03-31,9519.3,0.0,9519.3,6103.25,126.6,95.0,643.74,185.05,1191.56,1174.1,180.04,1354.14,4.56,1349.58,0.0,1349.58,333.53,1016.05,0.0,1016.05,39.98,50.84,50.74,0.0,0.0,0.0,0.0,0.0
2024-06-30,10143.73,0.0,10143.73,6618.52,121.55,127.09,608.32,193.2,1208.5,1266.55,231.71,1498.26,4.81,1493.45,0.0,1493.45,370.82,1122.63,0.0,1122.63,39.99,56.15,56.04,0.0,0.0,0.0,0.0,0.0
2024-09-30,10463.21,0.0,10463.21,6916.54,145.81,-82.87,653.52,193.69,1314.32,1322.2,283.0,1605.2,4.93,1600.27,0.0,1600.27,396.73,1203.54,0.0,1203.54,40.0,60.18,60.06,0.0,0.0,0.0,0.0,0.0
2024-12-31,10210.78,0.0,10210.78,6598.86,144.87,-28.52,662.22,196.9,1356.87,1279.58,317.51,1597.09,5.45,1591.64,0.0,1591.64,388.8,1202.84,0.0,1202.84,40.0,60.15,60.07,0.0,0.0,0.0,0.0,0.0
2025-03-31,9938.65,0.0,9938.65,6393.83,135.68,-22.64,671.14,192.07,1345.09,1223.48,223.7,1447.18,4.73,1442.45,0.0,1442.45,361.51,1080.94,0.0,1080.94,40.0,54.06,53.99,0.0,0.0,0.0,0.0,0.0
