Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,296.5,0.0,296.5,33382.32,33382.32,33678.82,20534.22,0.0,393.33,2.26,20929.81,13234.09,2413.3,12417.39,816.27,28881.05,83489.68,22488.9,95.13,17327.33,0.0,39911.36,22419.11,0.0,9905.52,104.4,72340.39,348.08,5678.7,1303.65,2110.36,1283.44,425.06,11149.29,83489.68,17456.27,1091.37,788.56,449.64,12685.96,9.26,68.52,47063.26,9384.0,0.0,348.08,0.0,17602.67,75.01,31.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,296.5,0.0,296.5,33761.37,33761.37,34057.87,21770.63,0.0,202.59,1.81,21975.03,13113.72,2878.81,5529.19,979.78,22501.5,78534.4,21987.7,138.16,17422.16,0.0,39548.02,26088.3,0.0,3319.22,70.39,69025.93,376.27,5442.07,1157.69,464.14,1735.78,332.52,9508.47,78534.4,28613.32,1312.33,458.52,604.76,14423.8,5.38,68.52,51933.2,13053.19,0.0,376.27,0.0,17660.23,93.98,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,296.5,0.0,296.5,78865.69,78865.69,79162.19,23216.73,0.0,10632.14,906.25,34755.12,7402.01,13458.89,47686.97,83.98,68631.85,182624.41,33697.32,155.66,16410.4,4747.14,55010.52,86370.24,1693.05,0.0,4068.92,147142.73,14676.99,5228.66,1926.53,1890.89,397.93,11360.68,35481.68,182624.41,21551.59,16206.91,1255.4,0.0,16453.99,0.0,68.52,50380.05,41929.13,8207.6,6469.39,75.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,372.0,0.0,372.0,79396.0,79396.0,79768.0,22248.0,0.0,5749.0,808.0,28805.0,14309.0,14975.0,28245.0,82.0,57611.0,166184.0,36042.0,155.0,12215.0,5028.0,53440.0,66417.0,1958.0,0.0,4991.0,126806.0,19668.0,5540.0,1529.0,1414.0,286.0,10941.0,39378.0,166184.0,38079.0,19322.0,1282.0,0.0,0.0,21138.0,68.52,79296.0,21959.0,7626.0,12042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,372.0,0.0,372.0,78941.0,78941.0,79313.0,14810.0,26.0,2523.0,852.0,18211.0,18320.0,14066.0,17130.0,129.0,49645.0,147169.0,37132.0,44.0,10386.0,7983.0,55545.0,62473.0,0.0,0.0,5920.0,123938.0,5537.0,8149.0,1968.0,1594.0,14.0,5969.0,23231.0,147169.0,67635.0,28900.0,1551.0,0.0,0.0,28394.0,68.52,82704.0,17926.0,3702.0,1835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,372.0,2.0,374.0,77508.0,77508.0,77882.0,20519.0,0.0,2749.0,988.0,24256.0,17180.0,11262.0,20147.0,140.0,48729.0,150867.0,40972.0,34.0,14148.0,1583.0,56737.0,64204.0,3.0,197.0,7069.0,128210.0,4378.0,7657.0,1966.0,3891.0,118.0,4647.0,22657.0,150867.0,56103.0,18633.0,3459.0,0.0,0.0,18596.0,68.52,76048.0,19702.0,3068.0,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,372.0,2.0,374.0,69523.0,69523.0,69897.0,21627.0,0.0,2836.0,1185.0,25648.0,17948.0,3510.0,22352.0,95.0,43905.0,139450.0,37087.0,31.0,11027.0,1059.0,49204.0,60787.0,3464.0,183.0,6976.0,120614.0,2118.0,5689.0,832.0,2193.0,1596.0,6408.0,18836.0,139450.0,34147.0,13512.0,1357.0,0.0,0.0,16462.0,68.52,42590.0,16359.0,1529.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,372.0,2.0,374.0,76418.0,76418.0,76792.0,20911.0,0.0,2660.0,1169.0,24740.0,7169.0,3803.0,25129.0,98.0,36199.0,137731.0,38222.0,27.0,9096.0,1605.0,48950.0,60887.0,333.0,180.0,6739.0,117089.0,2016.0,5555.0,1136.0,4336.0,523.0,7076.0,20642.0,137731.0,32788.0,16447.0,1251.0,0.0,0.0,17706.0,68.52,74926.0,16397.0,0.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,372.0,2.0,374.0,77277.0,77277.0,77651.0,23419.0,0.0,3006.0,1268.0,27693.0,13275.0,14785.0,15397.0,158.0,43615.0,148959.0,39490.0,26.0,9226.0,1488.0,50230.0,60881.0,1118.0,154.0,6747.0,119130.0,585.0,8563.0,2328.0,7148.0,365.0,10840.0,29829.0,148959.0,29175.0,22918.0,2574.0,0.0,0.0,33744.0,68.52,85062.0,16376.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,372.0,2.0,374.0,67440.0,67440.0,67814.0,32604.0,0.0,2435.0,1373.0,36412.0,9417.0,5654.0,39357.0,129.0,54557.0,158783.0,40488.0,834.0,10090.0,2094.0,53506.0,59872.0,5295.0,126.0,6883.0,125682.0,4973.0,8217.0,1694.0,5465.0,507.0,12245.0,33101.0,158783.0,35062.0,26437.0,5172.0,0.0,0.0,31035.0,68.52,80554.0,15404.0,0.0,4973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,372.0,2.0,374.0,65164.0,65164.0,65538.0,28318.0,1889.0,3341.0,1313.0,34861.0,13912.0,5030.0,31035.0,137.0,50114.0,150513.0,43642.0,1176.0,8835.0,2298.0,55951.0,59902.0,0.0,517.0,8556.0,124926.0,256.0,6946.0,1864.0,2142.0,1227.0,13152.0,25587.0,150513.0,41645.0,21492.0,4301.0,0.0,0.0,32657.0,68.52,80221.0,15451.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,391.0,0.0,391.0,75008.0,75008.0,75399.0,29724.0,3168.0,3586.0,1360.0,37838.0,13097.0,5211.0,28321.0,124.0,46753.0,159990.0,46570.0,1118.0,11588.0,0.0,59276.0,65088.0,0.0,1886.0,6447.0,132697.0,1678.0,8359.0,2004.0,4453.0,786.0,10013.0,27293.0,159990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
