Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-03-31,1186.85,0.0,1186.85,876.79,24.69,59.23,0.0,33.16,8.98,0.0,76.4,107.6,19.95,127.55,1.14,126.41,0.0,126.41,21.81,104.6,104.6,30.59,0.0,6.84,6.84,0.0,0.0,0.0,0.0,0.0
2022-06-30,1015.65,0.0,1015.65,871.76,24.42,-93.88,0.0,40.77,9.37,0.0,58.91,104.3,17.16,121.46,0.13,121.33,0.0,121.33,25.76,95.57,95.57,30.59,0.0,6.25,6.25,0.0,0.0,0.0,0.0,0.0
2022-09-30,1090.83,0.0,1090.83,743.9,20.47,121.74,0.0,40.48,10.69,0.0,71.36,82.19,106.17,188.36,0.13,188.23,0.0,188.23,51.51,136.72,136.72,30.59,0.0,8.94,8.94,0.0,0.0,0.0,0.0,0.0
2022-12-31,1150.31,0.0,1150.31,904.42,15.82,-27.58,0.0,42.13,11.2,0.0,74.23,130.09,32.98,163.07,0.13,162.94,0.0,162.94,28.07,134.87,134.87,30.59,0.0,8.82,8.82,0.0,0.0,0.0,0.0,0.0
2023-03-31,1224.32,0.0,1224.32,939.24,17.88,6.29,0.0,39.29,15.14,0.0,73.91,132.57,41.82,174.39,0.85,173.54,0.0,173.54,38.96,134.58,134.58,30.59,0.0,8.8,8.8,0.0,0.0,0.0,0.0,0.0
2023-06-30,1204.25,0.0,1204.25,883.29,17.55,49.16,0.0,42.66,10.5,0.0,67.19,133.9,38.81,172.71,0.29,172.42,0.0,172.42,40.18,132.24,132.24,30.59,0.0,8.65,8.65,0.0,0.0,0.0,0.0,0.0
2023-09-30,1187.44,0.0,1187.44,997.7,18.18,-92.92,0.0,42.6,10.84,0.0,77.68,133.36,84.54,217.9,0.44,217.46,0.0,217.46,52.07,165.39,165.39,30.59,0.0,10.81,10.81,0.0,0.0,0.0,0.0,0.0
2023-12-31,1221.68,0.0,1221.68,901.93,21.1,42.78,0.0,45.11,10.86,0.0,77.65,122.25,45.03,167.28,0.42,166.86,0.0,166.86,39.11,127.75,127.75,30.59,0.0,8.35,8.35,0.0,0.0,0.0,0.0,0.0
2024-03-31,1401.02,0.0,1401.02,1034.5,19.09,55.97,0.0,46.94,11.65,0.0,85.55,147.32,49.67,196.99,0.88,196.11,0.0,196.11,49.89,146.22,146.22,30.59,0.0,9.56,9.56,0.0,0.0,0.0,0.0,0.0
2024-06-30,1230.48,0.0,1230.48,1223.59,21.58,-252.49,0.0,45.69,10.71,0.0,71.76,109.64,46.33,155.97,0.4,155.57,0.0,155.57,33.06,122.51,122.51,30.59,0.0,8.01,8.01,0.0,0.0,0.0,0.0,0.0
2024-09-30,1311.72,0.0,1311.72,823.65,18.49,245.87,0.0,47.46,11.75,0.0,77.74,86.76,101.83,188.59,0.38,188.21,0.0,188.21,42.12,146.09,146.09,30.59,0.0,9.55,9.55,0.0,0.0,0.0,0.0,0.0
2024-12-31,1182.11,0.0,1182.11,1065.85,15.07,-152.21,0.0,47.51,11.73,0.0,76.87,117.29,44.74,162.03,0.39,161.64,0.0,161.64,37.7,123.94,123.94,30.59,0.0,8.1,8.1,0.0,0.0,0.0,0.0,0.0
