Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-03-31,329.52,329.52,124.72,13.06,0.0,89.37,102.38,7.62,110.0,4.4,105.6,0.0,105.6,27.25,78.35,78.35,34.89,22.46,22.28,0.0,0.0,0.0,0.0,0.0
2021-06-30,343.71,343.71,133.74,11.21,0.0,93.81,104.95,9.61,114.56,4.2,110.36,0.0,110.36,28.16,82.19,82.19,34.89,23.56,23.31,0.0,0.0,0.0,0.0,0.0
2021-09-30,373.89,373.89,145.74,12.44,0.0,98.43,117.29,1.4,118.69,4.19,114.5,0.0,114.5,28.85,85.65,85.65,34.19,25.08,24.62,0.0,0.0,0.0,0.0,0.0
2021-12-31,405.63,405.63,155.22,13.56,0.0,111.79,125.06,3.7,128.76,4.05,124.71,0.0,124.71,33.04,91.67,91.67,33.12,27.29,26.78,0.0,0.0,0.0,0.0,0.0
2022-03-31,428.08,428.08,170.17,14.46,0.0,119.63,123.81,7.5,131.32,3.99,127.33,0.0,127.33,31.87,95.46,95.46,33.1,28.83,28.26,0.0,0.0,0.0,0.0,0.0
2022-06-30,434.72,434.72,187.63,12.63,0.0,149.4,85.06,15.75,100.8,3.95,96.86,0.0,96.86,24.84,72.02,72.02,33.11,21.76,21.37,0.0,0.0,0.0,0.0,0.0
2022-09-30,464.77,464.77,200.28,14.16,0.0,134.33,116.0,14.2,130.2,3.81,126.39,0.0,126.39,32.49,93.9,93.9,49.65,18.9,18.59,0.0,0.0,0.0,0.0,0.0
2022-12-31,488.11,488.11,208.08,15.19,0.0,141.14,123.71,20.92,144.62,4.05,140.57,0.0,140.57,35.02,105.56,105.56,49.63,21.26,20.93,0.0,0.0,0.0,0.0,0.0
2023-03-31,500.57,500.57,201.71,16.75,0.0,143.35,138.76,5.86,144.62,4.44,140.18,0.0,140.18,33.26,106.92,106.92,48.03,21.82,21.5,0.0,0.0,0.0,0.0,0.0
2023-06-30,495.18,495.18,213.13,13.91,101.51,62.01,104.63,5.8,110.43,4.67,105.76,0.0,105.76,25.96,79.8,79.8,48.22,16.6,16.38,0.0,0.0,0.0,0.0,0.0
2023-09-30,508.83,508.83,212.26,15.13,0.0,169.11,112.33,9.96,122.3,4.81,117.49,0.0,117.49,30.92,86.57,86.57,48.2,17.95,17.73,0.0,0.0,0.0,0.0,0.0
2023-12-31,530.22,530.22,219.0,16.63,0.0,175.66,118.93,14.43,133.36,4.68,128.68,0.0,128.68,32.9,95.78,95.78,48.23,19.87,19.5,0.0,0.0,0.0,0.0,0.0
2024-03-31,560.6,560.6,240.76,18.26,0.0,184.0,117.58,14.91,132.49,4.56,127.93,0.0,127.93,33.04,94.9,94.9,48.23,19.68,19.3,0.0,0.0,0.0,0.0,0.0
2024-06-30,568.67,568.67,262.93,17.61,0.0,201.7,86.43,13.81,100.24,6.75,93.5,0.0,93.5,23.13,70.37,70.37,48.32,14.58,14.32,0.0,0.0,0.0,0.0,0.0
2024-09-30,612.44,612.44,265.11,18.61,0.0,199.71,129.01,9.57,138.58,7.28,131.3,0.0,131.3,33.67,97.63,97.63,46.97,20.65,20.29,0.0,0.0,0.0,0.0,0.0
2024-12-31,608.63,608.63,271.95,21.31,0.0,209.36,106.01,13.1,119.11,7.35,111.76,0.0,111.76,28.54,83.23,83.23,47.02,17.71,17.34,0.0,0.0,0.0,0.0,0.0
2025-03-31,641.78,641.78,280.96,24.16,0.0,214.97,121.69,27.35,149.04,9.16,139.88,0.0,139.88,31.6,108.28,108.28,46.96,23.04,22.63,0.0,0.0,0.0,0.0,0.0
