Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,9.76,9.76,532.1,532.1,0.0,541.86,33.16,23.06,3.84,60.06,57.0,58.24,13.51,11.54,140.28,742.2,225.2,0.76,5.31,0.0,231.27,134.49,0.0,55.21,0.0,420.98,128.45,57.27,82.87,25.28,25.46,1.89,321.21,742.2,54.39,5.72,0.88,107.82,24.99,31.27,107.59,0.0,128.45,0.0,114.64,1.47,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,9.77,9.77,561.36,561.36,0.0,571.13,31.89,21.07,5.27,70.01,33.11,88.37,14.68,14.67,150.83,791.96,212.01,0.7,57.58,0.0,270.29,179.16,0.0,67.54,0.0,517.0,55.3,65.84,110.23,13.76,27.21,2.63,274.96,791.96,43.48,7.42,1.23,169.97,23.28,53.12,152.26,0.0,55.3,11.78,168.07,3.96,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,9.79,9.79,623.75,623.75,0.0,633.54,35.53,21.28,6.14,62.96,29.9,92.26,11.3,17.97,151.43,847.92,267.06,0.69,13.95,0.0,281.69,212.77,0.0,47.86,0.0,542.32,53.21,62.74,138.17,15.21,33.59,2.69,305.61,847.92,27.81,8.06,1.5,285.15,0.0,79.55,185.87,0.0,53.21,0.0,174.42,1.26,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,9.79,9.79,813.73,813.73,0.0,823.52,20.75,16.87,7.41,45.03,0.0,76.05,177.2,1.72,254.96,1123.51,410.52,0.29,16.83,44.93,472.57,177.1,0.0,17.52,24.11,691.3,138.62,98.9,130.78,29.73,2.01,32.18,432.21,1123.51,108.63,214.58,0.0,0.0,312.5,0.0,66.12,63.2,75.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,9.87,9.87,960.12,960.12,0.0,969.99,23.91,16.85,8.81,49.58,0.0,91.73,85.86,2.02,179.61,1199.17,275.53,0.74,20.09,44.07,340.43,314.28,0.0,17.12,14.09,685.93,207.6,92.37,147.14,21.89,10.96,33.28,513.25,1199.17,98.4,238.89,0.0,0.0,443.08,0.0,188.72,53.7,153.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,9.89,9.89,1047.12,1047.12,2.2,1059.21,29.53,14.45,8.63,52.61,0.0,67.87,86.06,2.36,156.29,1268.11,279.6,1.29,39.33,43.22,363.44,338.39,0.0,16.03,29.49,747.35,188.35,92.86,167.46,22.4,7.16,42.53,520.76,1268.11,117.34,276.02,0.0,422.04,4.93,0.0,204.93,10.14,178.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,9.9,9.9,1376.35,1376.35,2.7,1388.94,0.0,20.63,10.28,30.91,0.0,92.24,59.05,2.83,154.11,1573.97,369.5,0.95,38.85,42.37,451.67,228.78,19.41,15.07,131.04,845.98,67.54,136.07,209.33,258.19,6.67,50.18,727.99,1573.97,59.05,321.28,0.0,422.52,30.52,0.0,86.09,0.72,66.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,9.9,9.9,1637.83,1637.83,2.36,1650.1,16.7,23.82,11.62,52.14,0.0,102.66,58.49,3.05,164.2,1866.44,361.24,0.71,36.53,41.52,440.0,365.76,0.0,13.23,42.36,861.35,84.54,154.32,275.94,388.91,4.53,96.85,1005.09,1866.44,52.01,321.9,0.0,548.99,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,9.91,9.91,1854.31,1854.31,0.0,1864.22,16.69,25.63,13.21,55.53,0.0,141.57,57.71,4.83,204.11,2123.86,387.52,0.41,25.88,40.67,454.48,516.55,0.0,2.88,49.67,1023.58,102.18,229.46,352.11,78.17,298.74,39.62,1100.28,2123.86,32.75,362.88,0.0,683.51,10.79,0.0,13.16,2.75,99.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,9.91,9.91,2113.47,2113.47,17.62,2141.0,17.51,22.84,13.45,53.8,0.0,116.49,85.6,6.36,208.45,2403.25,427.06,1.1,153.6,39.82,621.58,704.76,0.0,0.32,54.0,1380.66,31.11,327.11,392.72,13.98,180.35,77.32,1022.59,2403.25,100.0,462.51,0.0,840.46,26.91,0.0,10.89,2.27,28.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,9.91,9.91,2272.79,2272.79,19.09,2301.79,39.74,28.14,16.58,84.46,39.65,233.72,64.0,10.06,347.43,2733.68,632.14,1.34,45.41,38.97,717.86,701.92,0.0,0.25,35.12,1455.15,451.81,214.78,320.09,6.43,234.19,51.23,1278.53,2733.68,36.16,262.58,0.0,623.31,22.75,0.0,693.87,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
