Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Intangible Assets Under Development,Current Investments,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,647.07,647.07,-1103.81,-1103.81,-456.74,189.76,0.0,195.3,385.06,828.13,529.58,539.51,56.49,1953.7,1882.02,274.66,1.4,23.83,0.0,299.89,21.36,0.0,1.58,15.18,338.02,620.88,11.47,77.38,147.57,686.69,1544.0,1882.02,353.82,779.51,9.27,55.2,1.48,4.15,0.0,0.0,0.0,21.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,647.07,647.07,-1503.74,-1503.74,-856.67,161.49,0.0,212.21,373.7,791.57,723.38,553.12,45.88,2113.95,1630.98,281.8,0.0,24.86,0.0,306.67,3.67,0.0,2.32,0.0,312.66,551.33,10.21,88.39,148.24,520.15,1318.32,1630.98,329.97,1135.43,2.72,63.95,1.81,0.59,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,647.07,647.07,-1955.96,-1955.96,-1308.89,1627.13,0.0,131.55,1758.69,183.45,572.47,385.24,40.54,1181.7,1631.5,269.73,0.0,21.86,0.0,291.59,3.67,0.0,8.45,0.0,303.72,388.62,7.1,57.57,161.22,713.27,1327.79,1631.5,451.44,856.45,1.19,0.0,0.02,0.35,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,647.07,647.07,-2159.41,-2159.41,-1512.33,1770.49,8.83,119.19,1898.51,631.82,320.72,213.97,14.93,1181.45,1567.62,296.71,0.0,24.68,0.1,321.48,45.72,0.0,6.21,1.87,375.28,429.11,506.07,52.18,0.03,204.95,1192.34,1567.62,348.24,696.06,1.82,52.15,0.0,0.9,0.0,0.0,0.0,45.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,647.07,647.07,-2287.25,-2287.25,-1640.18,1770.49,8.2,162.46,1941.14,507.38,423.28,566.37,18.15,1515.18,1816.15,294.62,0.0,18.83,0.1,313.55,59.27,0.0,6.2,3.98,383.0,478.75,450.09,63.65,0.54,440.12,1433.15,1816.15,374.25,625.35,1.37,0.0,0.0,1.2,0.0,0.0,0.0,59.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,647.07,647.07,-2104.78,-2104.78,-1457.71,1790.89,7.56,173.27,1971.71,477.93,418.9,898.67,17.8,1813.3,2327.3,294.54,1.42,17.33,0.1,313.38,69.06,0.0,9.64,2.18,394.26,652.01,409.01,74.67,0.52,796.83,1933.04,2327.3,477.25,1248.13,0.65,0.0,0.0,1.84,0.0,0.0,0.0,69.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,647.07,647.07,-1138.99,-1138.99,-491.92,905.64,7.3,192.32,1105.26,24.7,211.41,1741.42,21.7,1999.23,2612.57,256.38,1.09,38.96,0.07,296.49,78.12,0.0,9.46,32.0,416.07,563.27,390.16,684.72,0.46,557.9,2196.5,2612.57,2394.22,885.27,0.83,58.12,0.0,0.56,0.0,0.0,0.0,78.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,647.07,647.07,-822.06,-822.06,-174.98,15.3,35.29,189.66,240.25,0.0,374.44,2870.93,56.68,3302.05,3367.32,284.55,1.12,54.98,0.07,340.72,86.27,0.0,6.72,26.16,459.88,515.64,104.38,1666.87,0.88,619.67,2907.44,3367.32,2516.77,883.93,4.49,2.69,1.29,0.57,0.0,0.0,0.0,80.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,647.07,647.07,-457.7,-457.7,189.37,10.2,60.55,181.43,252.18,1795.02,577.98,1396.17,49.49,3818.67,4260.22,334.45,0.76,44.02,0.06,379.3,97.88,0.0,0.03,9.29,486.5,661.8,175.23,1876.47,0.0,1060.23,3773.72,4260.22,3063.23,17.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,647.07,647.07,626.82,626.82,1273.9,5.1,41.46,190.04,236.59,1803.99,378.02,1707.61,34.2,3923.82,5434.31,813.27,0.46,104.59,0.06,918.38,112.86,0.0,0.0,142.36,1173.6,978.12,478.87,2319.47,0.0,484.24,4260.71,5434.31,2933.16,1695.83,1.63,0.0,0.0,0.41,0.0,0.0,0.0,112.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,647.07,647.07,728.67,728.67,1375.74,0.0,41.67,162.17,203.84,1775.59,483.85,1951.6,24.54,4235.57,5815.15,826.8,0.27,222.05,0.06,1049.18,130.37,102.67,0.0,44.34,1326.55,1143.16,158.14,2679.32,0.0,507.98,4488.6,5815.15,1250.41,1382.64,2.46,338.99,0.23,1.26,0.0,0.0,0.0,130.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
