Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Borrowings,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,10.45,10.45,295.73,297.07,307.52,34.77,2.44,4.19,312.65,190.72,146.17,85.95,13.24,436.07,1056.25,456.02,5.27,71.1,532.38,3.12,25.12,0.0,560.62,0.0,129.95,291.93,6.44,65.98,1.32,495.62,1056.25,44.72,24.38,493.31,0.0,1.98,0.94,2.9,1.34,271.25,0.0,305.16,0.09,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,20.91,20.91,325.14,325.92,346.83,46.32,2.67,5.26,292.85,231.01,109.38,129.15,14.32,483.87,1123.55,542.81,5.91,36.92,586.71,17.17,41.31,0.0,645.2,0.0,105.04,310.99,2.74,51.99,7.6,478.35,1123.55,46.62,22.39,513.78,0.0,12.43,1.01,16.95,0.78,238.6,1.06,261.49,0.05,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,23.26,23.26,451.87,452.63,475.89,56.65,2.91,4.69,223.17,234.9,130.26,174.24,20.23,559.63,1258.69,591.2,5.91,10.31,607.42,65.44,40.49,0.0,713.36,67.52,120.85,296.34,3.88,53.55,3.2,545.33,1258.69,52.34,24.76,507.31,0.0,12.43,0.0,65.22,0.76,158.93,0.0,224.14,0.16,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,26.14,26.14,705.99,705.99,732.13,39.08,0.0,7.37,183.64,307.52,175.19,155.28,4.03,642.03,1557.8,562.25,5.71,40.73,608.69,254.68,1.36,15.85,880.57,103.34,140.64,315.45,1.79,0.0,116.0,677.22,1557.8,45.72,195.66,0.0,463.68,12.43,0.0,253.65,0.0,137.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,27.28,27.28,916.57,916.57,943.84,52.2,0.0,7.84,152.99,264.06,306.52,130.07,3.01,703.66,1800.5,564.65,4.54,36.25,605.44,433.83,1.31,15.03,1055.61,21.4,188.18,369.21,32.11,0.0,133.99,744.89,1800.5,61.97,223.74,0.0,509.03,12.43,0.0,433.73,0.0,92.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,27.28,27.28,1030.57,1030.57,1057.85,76.59,0.0,10.73,168.91,184.42,324.85,84.64,7.06,600.98,1827.73,585.07,4.3,28.92,618.29,562.87,1.36,11.3,1193.81,0.0,232.51,344.45,5.58,0.0,51.38,633.92,1827.73,61.56,318.1,0.0,579.08,12.43,0.0,562.8,0.0,81.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,27.28,27.28,1464.05,1464.05,1491.33,45.41,10.52,13.29,69.22,177.55,239.32,57.7,11.4,485.97,2046.52,716.84,3.29,89.88,810.01,562.86,1.06,13.0,1386.93,0.0,233.09,365.97,3.73,0.0,56.8,659.59,2046.52,59.02,222.31,0.0,935.83,12.43,0.0,562.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,27.28,27.28,1817.47,1817.47,1844.75,47.94,7.26,15.68,70.88,0.0,218.75,26.13,10.0,254.88,2170.51,773.34,2.57,68.76,844.67,563.02,0.79,10.96,1419.44,125.58,209.74,353.74,4.43,0.57,57.01,751.07,2170.51,43.35,165.08,0.0,854.86,12.43,0.0,562.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,27.28,27.28,2228.72,2228.72,2256.0,51.24,9.61,19.03,79.88,13.99,258.63,26.61,7.13,306.36,2642.24,671.93,1.87,83.33,757.13,472.21,0.76,17.45,1247.55,436.79,338.53,550.0,9.04,0.41,59.92,1394.69,2642.24,66.66,108.3,0.0,1056.73,12.43,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,27.28,27.28,2597.78,2597.78,2625.06,56.32,10.43,26.37,93.12,0.0,288.14,29.47,13.81,331.42,3049.6,726.1,2.23,77.03,805.36,687.96,0.7,28.64,1522.66,368.87,447.63,597.02,17.94,0.43,95.05,1526.94,3049.6,122.84,426.59,0.0,1312.81,12.43,0.0,687.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,27.28,27.28,2927.26,2927.26,2954.54,48.93,30.02,29.02,107.97,0.0,251.23,40.63,16.64,308.5,3371.01,832.63,2.66,125.61,960.9,854.91,1.54,13.31,1830.66,90.08,380.57,614.26,174.78,170.78,109.88,1540.35,3371.01,133.74,378.54,0.0,1277.51,12.43,0.0,854.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
