Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,283.95,8.96,292.91,26.5,-20.46,23.99,22.19,175.56,65.13,4.6,69.73,35.36,34.37,0.0,34.37,12.29,22.08,0.0,22.08,112.75,0.0,1.96,1.94,4.8,42.59,6.47,100.0,57.41
2015-09-30,269.64,11.68,281.32,32.27,-113.23,25.35,22.47,230.17,84.29,25.51,109.8,35.9,73.9,0.0,73.9,23.03,50.87,0.0,50.87,112.75,0.0,4.51,4.47,4.8,42.59,6.47,100.0,57.41
2015-12-31,333.1,10.3,343.4,35.0,-15.23,33.87,23.02,199.24,67.5,30.33,97.83,36.07,61.76,0.0,61.76,16.52,45.24,0.0,45.24,113.08,0.0,4.01,3.99,0.0,0.0,0.0,0.0,0.0
2016-03-31,297.58,11.24,308.82,50.31,-99.13,23.93,30.3,238.14,65.27,14.44,79.71,39.49,40.22,0.0,40.22,12.05,28.17,0.0,28.17,113.18,0.0,2.49,2.48,0.0,0.0,0.0,0.0,0.0
2016-06-30,369.48,16.92,386.4,17.3,43.78,29.05,28.24,200.48,67.55,20.93,88.48,48.2,40.28,0.0,40.28,13.91,26.37,0.0,26.37,113.22,0.0,2.33,2.31,0.0,0.0,0.0,0.0,0.0
2016-09-30,342.99,12.69,355.68,23.51,12.3,31.06,26.56,184.8,77.45,22.19,99.64,50.69,48.95,0.0,48.95,16.96,31.99,0.0,31.99,113.22,0.0,2.83,2.81,0.0,0.0,0.0,0.0,0.0
2016-12-31,433.87,13.33,447.2,18.64,33.56,30.27,27.95,263.97,72.81,27.17,99.98,53.04,46.94,0.0,46.94,12.63,34.31,0.0,34.31,113.64,0.0,3.03,3.02,0.0,0.0,0.0,0.0,0.0
2017-03-31,465.49,0.0,465.49,18.68,43.26,33.58,25.96,220.21,123.8,22.68,146.48,48.57,97.91,0.0,97.91,25.46,72.45,0.0,72.45,113.66,0.0,6.43,6.41,0.0,0.0,0.0,0.0,0.0
2017-06-30,405.26,0.0,405.26,16.97,-16.19,32.19,22.42,277.35,72.52,23.33,95.85,49.47,46.38,0.0,46.38,10.35,36.03,0.0,36.03,135.69,0.0,2.83,2.81,0.0,0.0,0.0,0.0,0.0
2017-09-30,356.21,0.0,356.21,20.08,25.78,33.27,22.79,172.12,82.17,30.24,112.41,48.05,64.36,0.0,64.36,20.58,43.78,0.0,43.78,135.69,0.0,3.23,3.22,0.0,0.0,0.0,0.0,0.0
2017-12-31,334.09,0.0,334.09,25.39,-10.7,32.98,27.34,149.85,109.23,25.61,134.84,51.23,83.61,0.0,83.61,26.81,56.8,0.0,56.8,136.07,0.0,4.18,4.17,0.0,0.0,0.0,0.0,0.0
2018-03-31,293.66,0.0,293.66,27.35,-79.58,17.48,18.48,225.91,84.02,25.58,109.6,53.1,56.5,0.0,56.5,13.23,43.27,0.0,43.27,136.07,0.0,3.23,3.22,0.0,0.0,0.0,0.0,0.0
2018-06-30,525.83,0.0,525.83,14.67,-177.49,27.38,15.73,528.94,116.6,26.25,142.85,41.85,101.0,0.0,101.0,34.04,66.96,0.0,66.96,136.12,0.0,4.92,4.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,376.39,0.0,376.39,19.22,-216.52,30.63,14.98,443.8,84.28,39.91,124.19,42.19,82.0,0.0,82.0,27.71,54.29,0.0,54.29,136.12,0.0,4.0,3.99,0.0,0.0,0.0,0.0,0.0
2018-12-31,439.12,0.0,439.12,16.71,-47.29,22.52,16.16,339.55,91.47,26.06,117.53,44.82,72.71,0.0,72.71,24.99,47.72,0.0,47.72,136.15,0.0,3.5,3.49,0.0,0.0,0.0,0.0,0.0
2019-03-31,464.57,0.0,464.57,25.37,-56.13,27.39,21.35,325.23,121.36,30.48,151.84,48.98,102.86,0.0,102.86,37.61,65.25,0.0,65.25,136.18,0.0,4.79,4.78,0.0,0.0,0.0,0.0,0.0
2019-06-30,507.27,0.0,507.27,12.39,-119.82,36.19,17.87,448.21,112.43,36.65,149.08,49.68,99.4,0.0,99.4,35.44,63.96,0.0,63.96,136.18,0.0,4.7,4.69,0.0,0.0,0.0,0.0,0.0
2019-09-30,549.77,0.0,549.77,19.96,165.62,31.39,18.48,183.34,130.98,38.71,169.69,51.49,118.2,0.0,118.2,42.78,75.42,0.0,75.42,204.3,0.0,3.7,3.67,0.0,0.0,0.0,0.0,0.0
2019-12-31,351.76,0.0,351.76,14.97,28.42,32.51,21.54,163.97,90.35,31.24,121.59,50.89,70.7,0.0,70.7,-10.11,80.81,0.0,80.81,204.32,0.0,3.95,3.92,0.0,0.0,0.0,0.0,0.0
2020-03-31,440.53,0.0,440.53,9.89,-22.78,21.3,17.71,332.97,81.44,37.57,119.01,48.44,70.57,-14.5,56.07,15.46,40.61,0.0,40.61,204.38,0.0,1.98,1.95,0.0,0.0,0.0,0.0,0.0
2020-06-30,152.31,0.0,152.31,3.74,4.76,21.85,20.2,84.19,17.57,28.52,46.09,50.13,-4.04,0.0,-4.04,-0.88,-3.16,0.0,-3.16,204.38,0.0,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2020-09-30,233.36,0.0,233.36,5.86,0.88,14.64,20.56,136.41,55.01,26.46,81.47,51.48,29.99,0.0,29.99,7.58,22.41,0.0,22.41,206.38,0.0,1.09,1.08,0.0,0.0,0.0,0.0,0.0
2020-12-31,524.85,0.0,524.85,8.22,-69.1,25.33,23.12,435.69,101.59,26.67,128.26,50.58,77.68,-40.0,37.68,11.0,26.68,0.0,26.68,208.29,0.0,1.29,1.28,0.0,0.0,0.0,0.0,0.0
2021-03-31,613.46,0.0,613.46,10.5,-32.59,27.9,22.7,443.29,141.66,31.3,172.96,45.4,127.56,-13.5,114.06,15.43,98.63,0.0,98.63,210.91,0.0,4.69,4.67,0.0,0.0,0.0,0.0,0.0
2021-06-30,239.64,0.0,239.64,6.36,-2.53,25.16,19.88,147.87,42.9,27.39,70.29,39.35,30.94,0.0,30.94,8.21,22.73,0.0,22.73,229.62,0.0,1.07,1.06,0.0,0.0,0.0,0.0,0.0
2021-09-30,564.86,0.0,564.86,8.5,52.37,30.05,22.44,345.13,106.37,39.76,146.13,36.28,109.85,0.0,109.85,27.79,82.06,0.0,82.06,229.85,0.0,3.57,3.56,0.0,0.0,0.0,0.0,0.0
2021-12-31,679.8,0.0,679.8,6.96,214.43,32.53,22.14,241.37,162.37,34.02,196.39,33.55,162.84,0.0,162.84,42.69,120.15,0.0,120.15,230.1,0.0,5.22,5.21,0.0,0.0,0.0,0.0,0.0
2022-03-31,676.46,0.0,676.46,5.73,-265.61,42.54,19.93,753.27,120.6,42.27,162.87,33.53,129.34,0.0,129.34,45.42,83.92,0.0,83.92,230.26,0.0,3.64,3.63,0.0,0.0,0.0,0.0,0.0
2022-06-30,624.33,0.0,624.33,5.48,157.08,36.0,18.58,288.13,119.06,36.99,156.05,32.24,123.81,29.9,153.71,39.29,114.42,0.0,114.42,230.42,0.0,4.97,4.96,0.0,0.0,0.0,0.0,0.0
2022-09-30,585.23,0.0,585.23,5.17,130.62,32.1,19.11,288.2,110.03,45.66,155.69,33.15,122.54,0.0,122.54,31.27,91.27,0.0,91.27,230.57,0.0,3.96,3.95,0.0,0.0,0.0,0.0,0.0
2022-12-31,513.87,0.0,513.87,4.71,45.4,37.78,20.43,319.42,86.13,44.06,130.19,34.89,95.3,0.0,95.3,25.32,69.98,0.0,69.98,230.66,0.0,3.03,3.02,0.0,0.0,0.0,0.0,0.0
2023-03-31,485.31,0.0,485.31,5.05,-721.36,41.55,21.4,1069.36,69.31,89.09,158.4,34.11,124.29,6.0,130.29,20.98,109.31,0.0,109.31,230.73,0.0,4.74,4.73,0.0,0.0,0.0,0.0,0.0
2023-06-30,315.79,0.0,315.79,7.74,-81.58,40.1,17.56,290.49,41.48,42.97,84.45,31.86,52.59,0.0,52.59,14.01,38.58,0.0,38.58,230.79,0.0,1.67,1.66,0.0,0.0,0.0,0.0,0.0
2023-09-30,439.34,0.0,439.34,13.69,-205.6,41.88,18.74,498.27,72.36,57.01,129.37,32.36,97.01,0.0,97.01,24.99,72.02,0.0,72.02,230.85,0.0,3.12,3.11,0.0,0.0,0.0,0.0,0.0
2023-12-31,413.07,0.0,413.07,15.19,-1068.64,45.9,21.84,1333.99,64.79,37.75,102.54,38.42,64.12,0.0,64.12,16.94,47.18,0.0,47.18,230.93,0.0,2.04,2.03,0.0,0.0,0.0,0.0,0.0
2024-03-31,856.1,0.0,856.1,21.78,136.33,47.23,20.1,435.63,195.03,61.97,257.0,41.43,215.57,0.0,215.57,55.16,160.41,0.0,160.41,231.1,0.0,6.94,6.92,0.0,0.0,0.0,0.0,0.0
2024-06-30,532.98,0.0,532.98,11.57,-91.46,51.28,18.65,452.03,90.91,44.57,135.48,47.58,87.9,0.0,87.9,22.27,65.63,0.0,65.63,231.14,0.0,2.84,2.83,0.0,0.0,0.0,0.0,0.0
2024-09-30,421.5,0.0,421.5,18.17,-143.78,57.18,19.64,417.66,52.63,94.24,146.87,33.95,112.92,0.0,112.92,22.39,90.53,0.0,90.53,244.22,0.0,3.89,3.87,0.0,0.0,0.0,0.0,0.0
2024-12-31,542.67,0.0,542.67,17.36,-155.78,62.11,21.05,512.35,85.58,64.28,149.86,27.65,122.21,0.0,122.21,31.11,91.1,0.0,91.1,244.25,0.0,3.85,3.84,0.0,0.0,0.0,0.0,0.0
2025-03-31,618.78,0.0,618.78,73.56,-656.69,66.99,20.44,989.67,124.81,65.04,189.85,20.46,169.39,0.0,169.39,-38.65,208.04,0.0,208.04,244.37,0.0,8.72,8.7,0.0,0.0,0.0,0.0,0.0
