Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Long Term Borrowings,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,55.44,55.44,2509.71,2509.71,2565.15,46.51,20.19,117.09,183.79,0.0,485.11,185.67,353.01,1023.79,3772.73,917.52,1.63,95.76,0.0,0.0,1014.91,53.39,0.0,1756.25,441.96,551.34,782.03,86.49,2.16,2016.48,3772.73,533.74,135.55,183.79,1219.27,39.04,53.94,99.42,31.35,185.81,262.96,687.95,152.5,52.16,1.88,424.73,14.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,55.44,55.44,2831.08,2831.08,2886.52,63.08,18.3,126.51,207.89,0.0,613.43,220.23,393.67,1227.33,4321.74,1224.6,9.36,170.61,0.0,0.0,1404.57,45.72,0.0,1913.65,419.32,682.26,935.54,79.86,7.3,2408.09,4321.74,481.1,166.97,183.78,1726.77,47.45,53.94,12.03,31.35,5.3,414.32,463.36,283.81,79.78,2.59,501.35,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,55.44,55.44,3425.86,3425.86,3481.3,12.79,33.55,68.52,114.86,0.0,556.58,225.62,112.11,894.31,4490.47,1281.84,7.54,519.22,0.0,0.0,1808.6,49.48,227.99,2214.73,284.09,600.26,938.11,89.73,363.55,2238.17,4490.47,321.51,826.4,0.0,1713.57,0.0,53.94,12.05,37.35,0.26,283.72,128.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,55.44,55.44,3686.73,3686.73,3742.17,2.39,33.02,55.71,91.12,250.78,608.18,206.73,141.9,1207.59,5040.88,1224.0,8.22,463.13,0.0,267.89,1963.24,44.16,233.52,2369.58,663.24,562.06,955.65,129.11,361.24,2671.3,5040.88,410.63,936.83,0.0,1631.31,0.0,53.94,0.0,0.0,0.0,657.23,128.66,0.0,568.94,0.0,0.0,17.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,55.44,55.44,3930.63,3930.63,3986.07,29.88,30.55,42.88,103.31,251.54,758.02,279.96,152.33,1441.85,5531.23,1282.75,5.4,37.95,0.0,731.1,2057.2,42.68,221.85,2321.73,506.01,537.48,1326.25,470.88,240.22,3209.5,5531.23,319.26,386.24,0.0,1610.3,0.0,53.94,0.0,0.0,0.0,504.1,0.0,128.66,625.78,0.0,0.0,13.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,55.44,55.44,4075.01,4075.01,4130.45,98.76,28.83,72.67,200.26,309.16,825.11,218.4,170.19,1522.86,5853.57,1282.29,2.46,158.51,0.0,728.02,2171.28,42.57,231.62,2445.47,242.72,625.36,1272.69,737.93,529.4,3408.1,5853.57,336.35,1024.25,0.0,2007.45,0.0,53.94,5.22,0.0,0.24,242.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,55.44,55.44,4119.52,4119.52,4174.96,80.04,52.05,91.89,223.98,485.36,696.42,216.5,156.83,1555.11,5954.05,1225.82,1.86,70.25,9.78,1036.64,2344.35,42.68,206.11,2593.14,781.46,572.92,1131.59,464.5,410.44,3360.91,5954.05,141.42,1033.91,0.0,1550.25,0.0,53.94,5.17,0.0,0.0,781.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,55.44,55.44,4351.33,4351.33,4406.77,82.33,41.54,71.66,195.53,15.64,729.29,201.48,148.21,1094.62,5696.92,1164.69,0.67,79.4,48.12,1019.92,2312.8,42.54,109.89,2465.23,326.69,557.84,1074.45,965.18,307.53,3231.69,5696.92,111.88,1063.76,0.0,1340.25,0.0,53.94,5.19,0.0,0.0,326.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,55.44,55.44,4797.22,4797.22,4852.66,97.07,43.0,79.93,220.0,393.31,997.3,195.93,145.91,1732.45,6805.11,1183.59,41.78,60.37,0.41,979.03,2265.18,37.35,111.75,2414.28,577.54,728.79,1247.28,1426.74,410.48,4390.83,6805.11,160.58,973.8,0.0,2490.11,0.0,53.94,0.0,37.35,0.0,572.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,55.44,55.44,5312.54,5312.54,5367.98,105.7,61.38,101.6,268.68,350.04,1150.34,237.96,137.04,1875.38,7512.04,1165.19,37.77,41.29,0.0,1019.04,2263.29,37.24,143.29,2443.82,1047.92,886.15,1592.73,1380.81,160.61,5068.22,7512.04,235.13,1111.87,0.0,2276.87,0.0,53.94,0.0,37.24,0.0,1047.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,55.44,55.44,6107.65,6107.65,6163.09,94.1,87.61,117.96,299.67,100.0,1402.35,370.28,163.08,2035.71,8498.47,1188.12,129.68,94.65,2.16,977.31,2391.92,37.24,165.17,2594.33,1178.19,936.88,2077.6,1504.66,206.81,5904.14,8498.47,231.45,1262.23,0.0,1810.9,0.0,53.94,0.0,37.24,0.0,1064.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
