Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,1781.39,18.43,1799.82,888.0,191.07,-4.41,51.72,20.87,0.0,414.27,238.3,22.93,261.23,0.3,260.93,0.0,260.93,90.19,170.74,170.74,24.0,0.0,14.23,14.23,5.91,49.26,6.09,100.0,50.74
2015-09-30,1962.83,18.03,1980.86,975.33,212.75,-9.17,52.14,20.6,0.0,448.14,281.07,32.1,313.17,0.3,312.87,0.0,312.87,107.33,205.54,205.54,24.0,0.0,17.13,17.13,0.0,0.0,0.0,0.0,0.0
2015-12-31,1968.59,18.22,1986.81,1004.55,225.09,-36.73,57.21,21.34,0.0,445.81,269.54,30.34,299.88,0.34,299.54,0.0,299.54,102.82,196.72,196.72,24.0,0.0,16.4,16.39,0.0,0.0,0.0,0.0,0.0
2016-03-31,1935.67,24.72,1960.39,942.69,204.1,43.19,53.95,23.99,0.0,449.65,242.82,34.82,277.64,0.31,277.33,0.0,277.33,85.47,191.86,191.86,24.0,0.0,15.99,15.99,0.0,0.0,0.0,0.0,0.0
2016-06-30,1949.36,35.55,1984.91,1003.2,208.44,-15.97,59.01,21.76,0.0,431.69,276.78,37.59,314.37,0.29,314.08,0.0,314.08,103.69,210.39,210.39,24.0,0.0,17.53,17.53,0.0,0.0,0.0,0.0,0.0
2016-09-30,2200.87,21.52,2222.39,1172.32,223.61,-8.53,60.49,23.06,0.0,451.64,299.8,40.3,340.1,0.34,339.76,0.0,339.76,112.19,227.57,227.57,24.0,0.0,18.97,18.96,0.0,0.0,0.0,0.0,0.0
2016-12-31,2092.57,23.39,2115.96,1085.98,235.74,-6.31,60.17,24.3,0.0,446.08,270.0,37.93,307.93,0.36,307.57,0.0,307.57,96.81,210.76,210.76,24.0,0.0,17.56,17.56,0.0,0.0,0.0,0.0,0.0
2017-03-31,2067.01,22.33,2089.34,1080.34,236.99,-18.43,61.22,26.83,0.0,443.08,259.31,32.55,291.86,0.35,291.51,0.0,291.51,94.78,196.73,196.73,24.0,0.0,16.39,16.39,0.0,0.0,0.0,0.0,0.0
2017-06-30,2077.15,42.15,2119.3,1073.04,214.45,13.53,65.46,27.78,0.0,440.02,285.02,33.99,319.01,0.32,318.69,0.0,318.69,110.0,208.69,208.69,24.0,0.0,17.39,17.39,0.0,0.0,0.0,0.0,0.0
2017-09-30,2373.42,11.96,2385.38,1188.63,238.61,60.56,81.22,28.2,0.0,463.2,324.96,49.23,374.19,0.44,373.75,0.0,373.75,128.41,245.34,245.34,24.01,0.0,20.43,20.43,0.0,0.0,0.0,0.0,0.0
2017-12-31,2398.32,12.68,2411.0,1287.71,301.6,-94.72,66.92,27.48,0.0,474.9,347.11,32.76,379.87,0.38,379.49,0.0,379.49,130.32,249.17,249.17,24.01,0.0,20.75,20.74,0.0,0.0,0.0,0.0,0.0
2018-03-31,2357.04,31.34,2388.38,855.79,617.8,16.45,81.28,36.3,0.0,447.21,333.55,40.02,373.57,0.31,373.26,0.0,373.26,128.57,244.69,244.69,24.01,0.0,20.38,20.37,0.0,0.0,0.0,0.0,0.0
2018-06-30,2386.89,19.8,2406.69,1136.58,340.58,-12.61,80.05,30.38,0.0,494.36,337.35,38.54,375.89,0.47,375.42,0.0,375.42,129.18,246.24,246.24,24.01,0.0,20.51,20.5,0.0,0.0,0.0,0.0,0.0
2018-09-30,2685.94,18.68,2704.62,1283.35,347.51,13.73,78.41,31.49,0.0,556.96,393.17,39.53,432.7,0.36,432.34,0.0,432.34,148.77,283.57,283.57,24.03,0.0,23.61,23.59,0.0,0.0,0.0,0.0,0.0
2018-12-31,2685.37,17.82,2703.19,1314.29,351.01,-73.76,85.57,36.85,0.0,579.83,409.4,55.42,464.82,0.37,464.45,0.0,464.45,161.75,302.7,302.7,24.03,0.0,12.6,12.59,0.0,0.0,0.0,0.0,0.0
2019-03-31,2631.29,36.81,2668.1,1210.55,342.78,23.62,77.61,36.28,0.0,591.32,385.94,58.3,444.24,0.34,443.9,0.0,443.9,154.21,289.69,289.69,24.03,0.0,12.05,12.05,0.0,0.0,0.0,0.0,0.0
2019-06-30,2554.16,25.3,2579.46,1208.45,320.13,20.14,92.78,37.28,0.0,549.76,350.92,65.54,416.46,8.32,408.14,-16.0,392.14,141.93,250.21,250.21,24.03,0.0,10.41,10.41,0.0,0.0,0.0,0.0,0.0
2019-09-30,2867.31,28.78,2896.09,1404.88,382.17,-32.17,94.18,36.65,0.0,576.68,433.7,130.2,563.9,14.04,549.86,35.0,584.86,92.28,492.58,492.58,24.03,0.0,20.5,20.49,0.0,0.0,0.0,0.0,0.0
2019-12-31,2769.31,49.88,2819.19,1314.27,387.67,-6.83,92.26,38.44,0.0,550.07,443.31,64.6,507.91,22.13,485.78,0.0,485.78,125.43,360.35,360.35,24.05,0.0,14.99,14.98,0.0,0.0,0.0,0.0,0.0
2020-03-31,2629.79,62.15,2691.94,1125.07,453.58,80.37,89.65,39.32,0.0,513.0,390.95,75.21,466.16,20.68,445.48,0.0,445.48,64.32,381.16,381.16,24.05,0.0,15.85,15.85,0.0,0.0,0.0,0.0,0.0
2020-06-30,3179.61,40.27,3219.88,1457.4,454.83,14.72,104.42,40.07,0.0,516.75,631.69,87.33,719.02,21.9,697.12,0.0,697.12,181.25,515.87,515.87,24.06,0.0,21.45,21.45,0.0,0.0,0.0,0.0,0.0
2020-09-30,3161.44,66.13,3227.57,1509.29,515.99,-106.44,104.37,40.63,0.0,583.44,580.29,71.18,651.47,26.72,624.75,0.0,624.75,162.44,462.31,462.31,24.07,0.0,19.21,19.2,0.0,0.0,0.0,0.0,0.0
2020-12-31,2916.1,62.64,2978.74,1253.54,462.71,24.77,101.11,40.91,0.0,565.88,529.82,77.76,607.58,28.68,578.9,0.0,578.9,150.51,428.39,428.39,24.09,0.0,17.79,17.78,0.0,0.0,0.0,0.0,0.0
2021-03-31,2856.5,96.14,2952.64,1289.46,474.97,23.73,92.95,45.16,0.0,583.71,442.66,56.52,499.18,20.51,478.67,0.0,478.67,125.21,353.46,353.46,24.09,0.0,14.67,14.67,0.0,0.0,0.0,0.0,0.0
2021-06-30,3236.17,0.0,3236.17,1631.23,461.99,-59.67,108.57,41.51,0.0,570.34,482.2,152.0,634.2,31.5,602.7,0.0,602.7,136.82,465.88,465.88,24.09,0.0,19.34,19.34,0.0,0.0,0.0,0.0,0.0
2021-09-30,3369.53,55.77,3425.3,1644.94,539.6,3.69,121.24,42.51,0.0,584.89,488.43,50.98,539.41,36.25,503.16,0.0,503.16,135.85,367.31,367.31,24.09,1607.96,15.25,15.25,0.0,0.0,0.0,0.0,0.0
2021-12-31,3373.7,0.0,3373.7,1556.68,597.59,-11.78,95.43,42.65,0.0,623.31,469.82,53.41,523.23,34.67,488.56,0.0,488.56,131.99,356.57,356.57,24.09,0.0,14.8,14.8,0.0,0.0,0.0,0.0,0.0
2022-03-31,3336.45,0.0,3336.45,1533.46,584.23,-6.2,88.32,43.34,0.0,614.6,478.7,103.04,581.74,31.04,550.7,0.0,550.7,137.27,413.43,413.43,24.09,0.0,17.16,17.16,0.0,0.0,0.0,0.0,0.0
2022-06-30,3470.37,51.12,3521.49,1681.57,630.41,-19.01,112.81,43.51,0.0,645.82,426.38,53.12,479.5,38.87,440.63,0.0,440.63,118.97,321.66,321.66,24.09,0.0,13.35,13.35,0.0,0.0,0.0,0.0,0.0
2022-09-30,4144.65,46.38,4191.03,1906.08,758.65,-37.05,129.67,44.08,0.0,746.29,643.31,65.82,709.13,51.09,658.04,0.0,658.04,165.49,492.55,492.55,24.09,0.0,20.45,20.45,0.0,0.0,0.0,0.0,0.0
2022-12-31,3911.4,99.77,4011.17,1779.83,568.1,-28.99,141.54,50.0,0.0,760.87,739.82,48.42,788.24,35.4,752.84,227.74,980.58,213.65,766.93,766.93,24.09,0.0,31.84,31.84,0.0,0.0,0.0,0.0,0.0
2023-03-31,3758.7,136.03,3894.73,1716.61,496.26,2.92,136.53,57.51,0.0,747.72,737.18,53.23,790.41,29.59,760.82,0.0,760.82,202.66,558.16,558.16,24.09,0.0,23.17,23.17,0.0,0.0,0.0,0.0,0.0
2023-06-30,3824.27,46.36,3870.63,1789.94,524.11,-0.09,152.15,63.35,0.0,737.89,603.28,52.16,655.44,48.39,607.05,0.0,607.05,164.0,443.05,443.05,24.09,0.0,18.39,18.39,0.0,0.0,0.0,0.0,0.0
2023-09-30,4220.26,68.59,4288.85,1987.69,547.63,-16.24,125.05,64.43,0.0,803.78,776.51,53.18,829.69,47.95,781.74,0.0,781.74,211.25,570.49,570.49,24.09,2436.35,23.68,23.68,0.0,0.0,0.0,0.0,0.0
2023-12-31,4031.41,70.95,4102.36,1843.5,506.12,18.6,163.19,70.71,0.0,778.09,722.15,49.61,771.76,29.22,742.54,-2.9,739.64,201.28,538.36,538.36,24.09,2974.71,22.35,22.35,0.0,0.0,0.0,0.0,0.0
2024-03-31,3862.93,61.31,3924.24,1773.61,455.5,-2.26,124.89,72.7,0.0,802.11,697.69,55.16,752.85,25.84,727.01,0.0,727.01,196.86,530.15,530.15,24.09,3503.43,22.01,22.01,0.0,0.0,0.0,0.0,0.0
2024-06-30,3967.38,127.06,4094.44,1922.74,462.63,1.67,164.71,66.71,0.0,814.4,661.58,67.29,728.87,28.58,700.29,-24.64,675.65,173.57,502.08,502.08,24.09,0.0,20.84,20.84,0.0,0.0,0.0,0.0,0.0
2024-09-30,4391.88,108.96,4500.84,2264.65,514.18,-63.52,194.73,68.93,0.0,844.57,677.3,51.98,729.28,34.28,695.0,-0.15,694.85,180.44,514.41,514.41,24.09,0.0,21.36,21.36,0.0,0.0,0.0,0.0,0.0
2024-12-31,4281.06,137.07,4418.13,2295.22,509.02,-17.61,67.75,75.2,0.0,753.32,735.23,59.83,795.06,44.14,750.92,0.0,750.92,193.79,557.13,557.13,24.09,0.0,23.13,23.13,0.0,0.0,0.0,0.0,0.0
2025-03-31,4218.9,63.61,4282.51,2126.03,507.33,11.5,127.51,73.83,0.0,731.44,704.87,71.58,776.45,30.1,746.35,0.0,746.35,189.25,557.1,557.1,24.09,0.0,23.13,23.13,0.0,0.0,0.0,0.0,0.0
