Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Government/Other Grants,Raw Materials,Capital Goods,Equity Share Application Money,Long Term Provisions,"Stores, Spares And Loose Tools",Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,23.99,23.99,829.47,829.47,0.0,853.46,0.34,9.16,18.77,28.27,0.0,484.68,148.37,325.38,958.43,1844.44,529.81,15.85,97.22,0.0,642.88,228.95,0.0,100.43,12.12,984.38,144.04,366.86,53.69,65.78,229.69,0.0,860.06,1844.44,250.36,6.35,51.74,111.92,13.17,21.94,41.51,197.49,0.0,144.04,4.28,8.16,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,23.99,23.99,1211.63,1211.63,0.0,1235.62,0.73,0.0,19.62,20.35,0.0,615.21,176.33,410.91,1202.45,2461.99,513.25,12.7,48.22,0.0,574.17,273.14,21.11,127.15,37.12,1032.69,387.9,345.74,70.98,186.67,438.01,0.0,1429.3,2461.99,324.22,3.26,73.04,111.49,15.81,21.94,25.0,248.14,0.0,387.9,3.57,6.31,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,24.0,24.0,1676.16,1676.16,0.0,1700.16,0.49,0.0,21.05,21.54,0.0,659.44,191.18,492.08,1342.7,3067.26,626.13,13.26,74.5,0.0,713.89,551.25,22.71,324.45,37.57,1649.87,343.63,384.01,106.7,24.8,558.25,0.0,1417.39,3067.26,389.87,5.79,97.39,154.93,18.78,21.94,114.11,437.14,0.0,343.63,2.86,9.41,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,24.0,24.0,2557.98,2557.98,0.0,2581.98,0.44,0.0,24.3,24.74,0.0,643.82,271.12,174.48,1089.42,3696.14,812.47,11.6,29.77,15.25,869.09,514.18,6.43,116.52,185.04,1691.26,85.73,602.61,126.41,53.55,791.94,344.64,2004.88,3696.14,355.58,0.0,0.0,0.0,0.0,21.94,0.0,514.18,0.0,85.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,24.01,24.01,3211.27,3211.27,0.0,3235.28,0.3,0.0,25.69,25.99,9.01,866.36,319.61,171.05,1366.03,4627.3,1008.31,7.97,200.28,14.99,1231.55,450.65,8.68,86.74,82.16,1859.78,735.48,594.58,230.32,97.25,820.41,289.48,2767.52,4627.3,295.08,165.31,0.0,0.0,202.05,21.94,0.0,450.65,0.0,735.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,24.03,24.03,4015.42,4015.42,0.0,4039.45,0.26,3.87,27.03,31.16,0.0,1032.54,361.3,188.52,1582.36,5652.97,1283.85,7.62,64.91,36.13,1392.51,1050.97,0.0,15.55,123.67,2582.7,594.7,718.89,350.96,40.48,1121.41,243.83,3070.27,5652.97,245.43,194.8,0.0,0.0,319.1,21.94,0.0,1050.97,0.0,594.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,24.05,24.05,4216.19,4216.19,34.41,4274.65,722.13,10.97,30.53,763.63,479.99,955.98,596.39,182.7,2215.06,7253.34,1416.02,8.37,38.92,36.14,1499.45,2259.11,0.0,192.03,97.6,4048.19,882.06,633.53,242.23,39.16,1075.73,332.44,3205.15,7253.34,241.37,293.26,0.0,0.0,281.02,21.94,0.0,2259.11,0.0,882.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,24.09,24.09,3267.34,3267.34,28.1,3319.53,721.55,7.85,39.32,768.72,1075.7,1191.09,695.34,365.63,3327.76,7416.01,1360.02,8.54,111.66,35.28,1515.5,1657.16,0.0,70.73,157.69,3401.08,1292.96,991.28,198.36,110.8,946.09,475.44,4014.93,7416.01,547.05,1510.19,0.0,0.0,305.85,21.94,0.0,1657.16,0.0,1292.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,24.09,24.09,2378.45,2378.45,0.0,2402.54,698.52,0.0,52.42,750.94,1479.62,1156.62,762.07,451.16,3849.47,7002.95,1327.41,15.6,535.27,34.42,1912.7,1221.61,40.58,100.0,135.0,3409.89,802.5,1251.64,253.85,52.29,698.0,534.78,3593.06,7002.95,589.41,919.47,0.0,0.0,289.01,21.94,0.0,1221.61,0.0,802.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,24.09,24.09,3157.06,3157.06,0.0,3181.15,1551.02,0.0,60.91,1611.93,1110.76,1308.76,917.0,508.86,3845.38,8638.46,2220.21,12.75,104.47,60.5,2397.93,1525.18,48.31,150.0,96.34,4217.76,1798.47,1074.62,278.42,63.85,560.0,645.34,4420.7,8638.46,377.71,789.65,0.0,0.0,320.86,21.94,0.0,1525.18,0.0,1798.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,24.09,24.09,3503.43,3503.43,0.0,3527.52,904.17,0.0,66.07,970.24,1132.97,1513.14,675.78,551.19,3873.08,8370.84,2365.04,9.38,187.48,46.75,2608.65,1080.04,35.62,0.0,126.82,3851.13,1690.68,1075.44,347.05,297.5,460.0,649.04,4519.71,8370.84,354.45,103.5,0.0,0.0,374.13,21.94,0.0,1080.04,0.0,1690.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
