Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,2871.92,0.0,2871.92,4915.24,4915.24,7787.16,0.0,17603.16,0.0,396.84,251.55,18251.55,4714.04,2915.16,4752.28,358.82,12740.3,38779.01,24463.77,3.07,146.4,24613.24,4915.97,0.0,4610.18,555.49,34694.88,0.02,901.48,275.23,412.79,288.88,2205.73,4084.13,38779.01,307.38,394.64,787.31,10.0,4905.97,0.0,0.02,5208.5,55.29,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,2871.92,0.0,2871.92,4844.23,4844.23,7716.15,0.0,16702.97,0.0,60.53,72.11,16835.61,4234.67,4154.72,4530.75,254.46,13174.6,37726.36,20104.13,7.15,47.57,20158.85,5406.0,0.0,4514.11,2304.57,32383.53,221.43,982.04,1448.7,369.05,260.16,2061.45,5342.83,37726.36,369.03,360.89,787.31,0.0,5406.0,221.55,0.0,5267.34,88.62,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,3333.94,0.0,3333.94,5690.26,5690.26,9024.2,0.0,14719.81,83.26,3672.77,7.59,18483.43,9311.65,3698.37,5020.96,4.09,18035.07,45542.7,23791.19,5.71,38.92,23835.82,7662.08,0.0,4647.21,1801.45,37946.56,0.0,830.86,5234.53,429.5,861.52,239.73,7596.14,45542.7,226.65,315.49,787.31,0.0,7662.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,3856.94,0.0,3856.94,816.38,816.38,4673.32,0.0,17227.41,0.0,3315.32,8.05,20550.78,8046.78,4508.71,3973.54,4.35,16533.38,41757.48,22711.79,5.86,68.48,22786.13,7662.08,0.0,5970.92,1493.46,37912.59,78.31,1084.83,1744.46,337.63,10.37,589.29,3844.89,41757.48,223.62,0.0,787.31,0.0,7662.08,0.0,78.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,3856.94,0.0,3856.94,5682.19,5682.19,9539.13,0.0,2244.05,0.0,51.0,1.98,2297.03,7287.96,250.39,326.33,1.37,7866.05,19702.21,638.03,4.22,0.18,642.43,7768.08,0.0,7137.34,782.51,16330.36,0.0,74.69,41.72,211.03,2776.91,267.5,3371.85,19702.21,52.54,0.0,787.31,0.0,7768.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,3856.94,0.0,3856.94,5270.89,5270.89,9127.83,8000.0,8374.66,0.0,51.0,2.49,8428.15,2364.7,138.52,867.66,1.18,3372.06,28928.04,600.61,2.16,0.18,602.95,17156.9,0.0,9767.87,1232.9,28760.62,0.0,4.09,12.27,128.8,9.16,13.1,167.42,28928.04,52.54,2232.97,787.31,0.0,17156.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,3856.94,0.0,3856.94,3318.44,3318.44,7175.38,8615.0,3112.85,0.0,205.83,2.14,3320.82,2589.02,712.32,116.47,1.28,3419.09,22530.29,569.26,0.82,0.13,570.21,18216.25,0.0,3230.92,34.95,22052.33,0.0,4.06,366.81,101.02,0.22,5.85,477.96,22530.29,52.54,428.48,787.31,0.0,18216.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,3856.94,0.0,3856.94,4213.41,4213.41,8070.35,9015.0,930.56,0.0,226.58,1.53,1158.67,5293.17,13.26,856.75,1.23,6164.41,24408.43,540.93,0.06,0.67,541.66,19358.65,0.0,3583.2,24.29,23507.8,0.0,2.54,9.65,86.61,3.96,797.87,900.63,24408.43,49.33,0.3,787.31,0.0,19358.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,3856.94,154.43,4011.37,1145.4,1145.4,5156.77,13461.55,30308.02,2303.87,4786.39,132.38,37530.66,9932.8,3448.56,2222.9,12.94,15617.2,71766.18,49139.79,202.49,184.3,49526.58,4658.49,0.0,609.54,1421.66,56216.27,175.01,2208.07,9490.01,2014.95,3.18,1658.69,15549.91,71766.18,1645.68,0.05,787.31,0.0,4658.49,0.0,175.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,3856.94,168.95,4025.89,10905.38,10905.38,14931.27,13461.55,24809.68,0.0,4557.12,148.32,29515.12,7827.72,2387.38,4695.52,13.39,14924.01,72831.95,46380.45,202.34,188.33,46771.12,6373.48,0.0,1251.78,1237.44,55633.82,0.0,2324.07,11380.93,1692.34,3.06,1797.73,17198.13,72831.95,9228.66,10512.0,787.31,0.0,6373.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,3856.94,184.49,4041.43,28029.56,28029.56,32070.99,7561.55,18701.13,0.0,4272.92,149.03,23123.08,6758.99,2943.84,2698.93,14.57,12416.33,75171.95,43638.07,200.74,739.49,44578.3,6906.84,376.34,1555.23,1104.42,54521.13,373.5,3474.89,6695.19,5693.72,2820.67,1592.85,20650.82,75171.95,12914.49,10446.14,787.31,0.0,6906.84,0.0,373.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,3856.94,0.0,3856.94,42592.02,42592.02,46448.96,0.0,24656.23,3668.12,6724.77,202.23,35251.35,10258.54,2442.48,2229.17,52.65,14982.84,96683.15,58132.54,9.12,2993.84,61135.5,3336.98,0.0,5805.73,3667.9,73946.11,992.96,2796.64,12143.05,4423.09,7.9,2373.4,22737.04,96683.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
