Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2019-06-30,308.22,308.22,77.06,7.61,0.0,78.27,145.28,35.13,180.41,1.72,178.69,178.69,56.05,122.64,122.64,612.0,2.0,2.0
2019-09-30,283.57,283.57,79.85,7.57,0.0,61.31,134.84,23.56,158.4,1.62,156.78,156.78,22.91,133.87,133.87,612.04,2.19,2.17
2019-12-31,285.37,285.37,75.66,9.12,0.0,66.59,134.0,56.54,190.54,1.87,188.67,188.67,44.76,143.91,143.91,612.04,2.35,2.3
2020-03-31,254.51,254.51,45.89,8.32,0.0,50.07,150.23,-112.61,37.62,0.37,37.25,37.25,25.37,11.88,11.88,612.11,0.19,0.19
2020-06-30,215.41,215.41,65.7,10.34,0.0,44.48,94.89,98.78,193.67,1.24,192.43,192.43,42.77,149.66,149.66,612.11,2.44,2.42
2020-09-30,240.51,240.51,62.0,7.74,0.0,45.91,124.86,61.92,186.78,1.16,185.62,185.62,45.04,140.58,140.58,612.47,2.3,2.27
2020-12-31,250.87,250.87,60.71,7.6,0.0,47.03,135.53,122.95,258.48,1.03,257.45,257.45,55.67,201.78,201.78,612.95,3.29,3.25
2021-03-31,279.75,279.75,60.33,6.91,0.0,59.62,152.89,55.47,208.36,0.94,207.42,207.42,50.05,157.37,157.37,616.5,2.51,2.47
2021-06-30,280.94,280.94,64.49,7.15,0.0,46.28,163.02,61.27,224.29,0.92,223.37,223.37,52.07,171.3,171.3,618.39,2.78,2.73
2021-09-30,304.0,304.0,67.48,6.38,0.0,51.24,178.9,87.97,266.87,1.12,265.75,265.75,65.36,200.39,200.39,620.59,3.23,3.16
2021-12-31,315.0,315.0,67.2,6.32,0.0,43.56,197.92,30.73,228.65,0.64,228.01,228.01,59.13,168.88,168.88,621.82,2.72,2.66
2022-03-31,314.04,314.04,68.69,6.88,0.0,43.53,194.94,34.47,229.41,1.11,228.3,228.3,57.66,170.64,170.64,622.02,2.75,2.72
2022-06-30,294.61,294.61,70.72,6.65,0.0,49.37,167.87,-6.7,161.17,0.93,160.24,160.24,39.29,120.95,120.95,622.51,1.94,1.92
2022-09-30,308.98,308.98,70.63,6.91,0.0,49.69,181.75,73.81,255.56,0.76,254.8,254.8,58.25,196.55,196.55,623.04,3.15,3.13
2022-12-31,330.39,330.39,68.15,7.56,0.0,52.76,201.92,58.58,260.5,1.06,259.44,259.44,60.96,198.48,198.48,623.15,3.19,3.17
2023-03-31,325.23,325.23,63.21,7.96,0.0,55.91,198.15,46.28,244.43,1.14,243.29,243.29,44.33,198.96,198.96,623.18,3.19,3.19
2023-06-30,328.97,328.97,70.94,7.9,0.0,59.92,190.21,105.69,295.9,1.27,294.63,294.63,72.18,222.45,222.45,623.3,3.57,3.56
2023-09-30,368.07,368.07,70.91,7.01,0.0,60.79,229.36,71.98,301.34,1.67,299.67,299.67,64.51,235.16,235.16,624.79,3.77,3.76
2023-12-31,392.32,392.32,78.93,6.34,0.0,59.5,247.55,92.96,340.51,1.64,338.87,338.87,74.21,264.66,264.66,627.97,4.23,4.17
2024-03-31,431.75,431.75,78.33,0.0,0.0,67.39,286.03,85.34,371.37,1.59,369.78,369.78,36.35,333.43,333.43,630.0,5.17,5.09
2024-06-30,466.27,466.27,92.68,6.64,0.0,64.11,302.84,119.28,422.12,1.62,420.5,420.5,103.86,316.64,316.64,631.76,5.02,4.94
2024-09-30,527.03,527.03,94.07,7.2,0.0,71.12,354.64,115.28,469.92,1.64,468.28,468.28,124.56,343.72,343.72,633.23,5.43,5.34
2024-12-31,545.44,545.44,92.87,7.51,0.0,74.74,370.32,22.94,393.26,1.65,391.61,391.61,95.52,296.09,296.09,633.74,4.68,4.59
2025-03-31,526.46,526.46,94.25,8.09,0.0,73.68,350.44,25.58,376.02,1.74,374.28,374.28,78.5,295.78,295.78,634.7,4.66,4.6
