Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Revaluation Reserves,Share Capital Suspense,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-09-30,71.2,71.2,4303.5,4304.4,4375.6,52.2,266.9,319.1,0.0,2737.3,1647.1,1179.7,5564.1,10258.8,1344.2,11.4,40.9,0.0,1396.5,8.2,373.8,635.8,418.3,2832.6,1047.2,3643.7,1121.0,777.6,836.7,7426.2,10258.8,492.0,701.5,133.6,417.0,1202.1,44.82,0.0,8.2,3402.6,49.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-30,71.2,71.2,5055.4,5055.4,5126.6,121.7,251.6,373.3,0.0,2364.7,1268.7,1394.4,5027.8,10527.7,1344.4,8.9,32.1,0.0,1385.4,176.4,317.5,726.0,176.1,2781.4,950.9,3018.3,2095.9,769.8,911.4,7746.3,10527.7,997.6,520.5,160.2,585.1,1137.7,44.82,0.0,55.0,3308.7,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,71.2,71.2,6510.7,6510.7,6581.9,52.5,201.2,253.7,0.0,2192.1,1112.9,1600.9,4905.9,11741.5,1188.8,6.7,79.1,0.0,1274.6,164.7,325.3,762.1,114.6,2641.3,999.3,3015.9,3509.4,790.5,785.1,9100.2,11741.5,1309.8,557.0,734.5,1038.4,670.8,44.82,0.0,55.0,3674.9,58.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,71.2,71.2,7633.5,7633.5,7704.7,59.5,201.9,261.4,0.0,2651.5,1682.4,823.1,5157.0,13123.1,1221.2,5.3,143.0,107.9,1477.4,55.0,244.2,248.3,837.2,2862.1,1016.5,3415.6,4071.3,373.3,1384.3,10261.0,13123.1,1606.8,0.0,0.0,0.0,0.0,44.82,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,71.2,71.2,8234.2,8234.2,8305.4,60.6,214.6,275.2,0.0,3030.1,1751.9,886.6,5668.6,14249.2,1243.9,3.3,62.4,104.2,1413.8,55.0,266.5,376.8,1062.7,3174.8,1138.9,3650.4,3645.7,496.5,2142.9,11074.4,14249.2,1627.7,4617.71,0.0,2015.93,0.0,44.82,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,71.2,71.2,8972.4,8972.4,9043.6,47.4,263.6,311.0,0.0,3289.0,1656.8,910.0,5855.8,15210.4,1188.8,1.5,58.3,0.1,1248.7,55.0,241.0,122.8,1134.0,2801.5,1095.0,3808.9,4891.3,728.5,1885.2,12408.9,15210.4,1399.3,4565.82,0.0,2790.42,0.0,44.82,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,71.2,71.2,9402.8,9402.8,9474.0,180.0,327.0,507.0,0.0,2773.3,2043.2,868.1,5684.6,15665.6,1164.3,0.7,88.0,0.1,1253.1,55.0,248.1,506.0,1090.3,3152.5,1106.4,3123.9,5551.7,272.2,2458.9,12513.1,15665.6,1337.6,4020.49,0.0,2979.48,0.0,44.82,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,71.2,71.2,10272.5,10272.5,10343.7,452.3,317.8,770.1,2.5,3466.7,1860.6,938.6,6268.4,17382.2,1014.5,0.4,30.4,97.2,1142.5,2212.0,205.9,212.5,1283.9,5056.8,1584.7,3435.2,4848.8,605.8,1850.9,12325.4,17382.2,1531.8,4985.69,0.0,2615.92,0.0,44.82,0.0,2212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,71.2,71.2,11524.7,11524.7,11595.9,157.7,297.2,454.9,0.0,3873.0,2665.4,923.3,7461.7,19512.5,947.9,0.7,49.3,75.3,1073.2,2220.1,239.2,383.2,1152.4,5068.1,1923.8,3546.2,6276.3,328.0,2370.1,14444.4,19512.5,1494.9,4655.42,0.0,2766.09,0.0,44.82,0.0,2220.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-30,71.2,71.2,12953.3,12953.3,13024.5,176.7,398.1,574.8,0.0,4030.8,2757.2,1116.4,7904.4,21503.7,921.9,34.2,47.6,65.4,1069.1,2220.1,282.6,207.1,1170.6,4949.5,2261.1,4384.5,7217.9,521.3,2169.4,16554.2,21503.7,1397.5,5691.0,0.0,2842.04,0.0,44.82,0.0,2220.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,71.2,71.2,15175.8,15175.8,15247.0,211.7,760.3,972.0,0.0,4442.5,2741.5,977.5,8161.5,24380.5,1066.9,32.7,98.8,63.9,1262.3,2220.1,381.2,0.0,1618.2,5481.8,2369.5,3997.0,9032.8,461.6,3037.8,18898.7,24380.5,1447.3,6473.22,0.0,3412.8,0.0,44.82,0.0,2220.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
