Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %
2021-09-30,1142.77,183.74,24.29,53.95,190.9,651.62,326.76,225.82,391.44,3.6,0.0,387.84,109.33,278.51,278.51,313.11,21.95,8.9,8.81,1151.45,591.48,3.16,1.65,0.53
2021-12-31,1223.52,196.97,23.6,52.36,275.64,676.03,355.88,281.75,458.43,55.97,0.0,402.46,100.42,302.05,302.05,313.77,19.55,9.63,9.54,1057.57,520.18,2.6,1.29,0.54
2022-03-31,1379.86,227.35,24.51,35.32,311.37,730.47,413.67,351.94,482.33,93.22,0.0,389.11,43.03,346.07,346.07,314.9,20.99,11.02,10.92,924.38,230.85,1.98,0.5,0.54
2022-06-30,1498.09,254.56,27.17,40.38,159.15,844.2,394.02,347.06,394.07,38.37,0.0,355.7,87.83,267.87,267.87,630.19,19.36,4.25,4.22,969.62,274.83,1.96,0.56,0.38
2022-09-30,1648.86,295.85,10.33,37.24,247.36,908.94,451.3,380.62,498.78,42.96,0.0,455.83,113.23,342.6,342.6,665.67,23.36,5.27,5.24,996.7,288.22,1.9,0.56,0.46
2022-12-31,1750.41,312.52,7.27,47.87,294.89,965.34,465.19,426.72,555.71,32.64,0.0,523.07,130.24,392.83,392.83,666.51,21.97,5.9,5.87,1018.86,284.56,1.81,0.51,0.5
2023-03-31,1885.06,326.96,13.5,49.33,333.06,1061.65,482.52,492.83,570.92,40.88,0.0,530.04,105.41,424.63,424.63,666.75,23.59,6.37,6.34,981.31,245.16,1.66,0.42,0.5
2023-06-30,2007.06,375.83,20.06,55.38,315.12,1212.13,507.04,508.25,546.04,32.98,0.0,513.06,126.16,386.9,386.9,667.02,21.46,5.8,5.77,1121.23,347.15,1.76,0.55,0.43
2023-09-30,2068.74,372.38,14.98,74.95,425.46,1282.09,512.02,514.72,647.7,114.32,0.0,533.38,131.55,401.83,401.83,668.23,22.43,6.02,5.98,1244.75,384.72,1.91,0.6,0.43
2023-12-31,2123.22,414.41,16.28,181.91,449.69,1410.95,528.75,588.73,657.08,158.94,0.0,498.15,122.9,375.25,375.25,668.77,20.82,5.61,5.58,1339.68,456.16,1.98,0.68,0.38
2024-03-31,2243.13,469.76,15.55,101.06,555.62,1492.47,555.87,672.62,664.15,132.51,-76.8,454.84,84.1,370.74,370.74,669.16,20.06,5.54,5.52,1237.4,400.99,1.67,0.55,0.35
2024-06-30,3091.98,543.1,13.79,120.17,545.66,1848.46,790.14,687.98,988.13,319.24,0.0,668.89,166.32,502.57,502.57,743.16,20.11,6.77,6.74,1613.18,562.56,1.78,0.63,0.4
2024-09-30,3279.63,508.2,14.81,107.97,637.96,1936.25,785.49,695.07,1131.77,372.99,0.0,758.78,187.57,571.21,571.21,743.54,18.51,7.68,7.65,1901.69,706.7,1.98,0.75,0.43
2024-12-31,3441.21,568.52,18.56,85.19,618.41,2090.77,754.66,681.55,1204.91,501.68,0.0,703.23,174.78,528.45,528.45,744.23,18.01,7.1,7.08,2335.51,905.6,2.31,0.91,0.37
2025-03-31,3555.53,618.36,21.98,74.73,760.67,2176.68,817.47,744.86,1292.26,635.11,0.0,657.15,153.45,503.7,503.7,744.53,20.06,6.77,6.75,2477.03,791.34,2.28,0.74,0.34
