Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-03-31,329.0,0.0,329.0,1.6,0.0,-8.2,0.0,158.88,41.69,0.0,275.73,-140.7,10897.48,10756.78,0.67,10756.11,0.0,10756.11,124.46,10631.65,10631.65,6162.73,17.25,17.25,0.0,0.0,0.0,0.0,0.0
2020-06-30,37.48,123.36,160.84,0.65,0.0,13.82,0.0,122.8,4.55,0.0,59.1,-40.08,52.32,12.24,0.35,11.89,0.0,11.89,0.0,11.89,11.89,6162.73,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2020-09-30,4.57,117.12,121.69,0.56,0.0,0.39,2.39,120.0,4.32,0.0,70.71,-76.68,87.57,10.89,0.51,10.38,0.0,10.38,-9.85,20.23,20.23,6162.73,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2020-12-31,153.5,0.0,153.5,0.43,0.0,0.0,0.0,100.0,4.41,0.0,29.17,19.49,5158.05,5177.54,0.38,5177.16,0.0,5177.16,156.32,5020.84,5020.84,6162.73,8.15,8.15,0.0,0.0,0.0,0.0,0.0
2021-03-31,204.22,0.0,204.22,0.6,0.0,0.0,0.0,101.1,6.39,0.0,2.47,93.66,2381.24,2474.9,0.35,2474.55,0.0,2474.55,-112.59,2587.14,2587.14,6162.73,4.2,4.2,0.0,0.0,0.0,0.0,0.0
2021-06-30,123.98,0.0,123.98,0.28,0.0,0.0,0.0,128.76,5.03,0.0,82.82,-92.91,47.98,-44.93,0.38,-45.31,0.0,-45.31,4.51,-49.82,-49.82,6162.73,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
2021-09-30,332.7,0.0,332.7,0.34,0.0,0.0,0.0,147.46,5.38,0.0,25.79,153.73,1690.29,1844.02,0.37,1843.65,0.0,1843.65,30.52,1813.13,1813.13,6162.73,2.94,2.94,0.0,0.0,0.0,0.0,0.0
2021-12-31,298.69,0.0,298.69,0.1,0.0,0.0,0.0,104.73,4.99,0.0,89.11,99.76,5589.51,5689.27,0.38,5688.89,0.0,5688.89,44.06,5644.83,5644.83,6162.73,9.16,9.16,0.0,0.0,0.0,0.0,0.0
2022-03-31,375.24,0.0,375.24,0.47,0.0,-11.99,0.0,57.89,5.43,0.0,62.61,260.83,3609.15,3869.98,0.37,3869.61,0.0,3869.61,76.18,3793.43,3793.43,6162.73,6.16,6.16,0.0,0.0,0.0,0.0,0.0
2022-06-30,30.2,290.3,320.5,0.87,0.0,-6.79,2.0,95.09,5.23,0.0,43.95,180.15,36.73,216.88,0.48,216.4,0.0,216.4,55.42,160.98,160.98,6162.73,0.26,0.26,0.0,0.0,0.0,0.0,0.0
2022-09-30,425.66,0.0,425.66,0.54,123.84,0.8,0.0,125.63,14.69,0.0,55.25,104.91,2635.41,2740.32,0.46,2739.86,0.0,2739.86,45.86,2694.0,2694.0,6162.73,4.37,4.37,0.0,0.0,0.0,0.0,0.0
2022-12-31,695.31,0.0,695.31,1.38,321.09,-6.38,0.0,98.58,11.23,0.0,56.94,212.47,8671.5,8883.97,0.51,8883.46,0.0,8883.46,74.39,8809.07,8809.07,6162.73,14.29,14.29,0.0,0.0,0.0,0.0,0.0
2023-03-31,105.48,403.55,509.03,2.08,24.81,5.05,0.0,102.18,11.79,0.0,317.85,45.27,3208.99,3254.26,0.47,3253.79,0.0,3253.79,115.53,3138.26,3138.26,6162.73,5.09,5.09,0.0,0.0,0.0,0.0,0.0
2023-06-30,335.75,0.0,335.75,1.02,0.0,-6.12,0.0,98.59,10.83,0.0,57.52,173.91,804.75,978.66,0.51,978.15,0.0,978.15,60.13,918.02,918.02,6162.73,1.49,1.49,0.0,0.0,0.0,0.0,0.0
2023-09-30,293.99,0.0,293.99,0.82,0.0,7.23,0.0,100.34,10.93,0.0,76.47,98.2,2148.56,2246.76,0.5,2246.26,0.0,2246.26,50.07,2196.19,2196.19,6162.73,3.56,3.56,0.0,0.0,0.0,0.0,0.0
2023-12-31,34.99,363.6,398.59,1.18,0.0,-21.74,0.0,110.79,10.78,0.0,71.91,225.67,9166.73,9392.4,0.51,9391.89,0.0,9391.89,75.49,9316.4,9316.4,6162.73,15.12,15.12,0.0,0.0,0.0,0.0,0.0
2024-03-31,56.91,431.14,488.05,1.21,0.0,3.29,0.0,90.15,10.79,0.0,168.62,213.99,3212.34,3426.33,0.51,3425.82,0.0,3425.82,89.6,3336.22,3336.22,6162.73,5.41,5.41,0.0,0.0,0.0,0.0,0.0
2024-06-30,48.06,341.65,389.71,1.0,0.0,8.8,0.0,103.9,10.97,0.0,174.0,91.04,31.87,122.91,1.73,121.18,0.0,121.18,33.72,87.46,87.46,6162.73,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2024-09-30,315.02,0.0,315.02,1.17,0.0,3.04,0.0,99.44,11.51,0.0,81.29,118.57,3961.03,4079.6,0.66,4078.94,0.0,4078.94,-55.03,4133.97,4133.97,6162.73,6.71,6.71,0.0,0.0,0.0,0.0,0.0
2024-12-31,416.01,0.0,416.01,1.1,0.0,0.6,0.0,103.82,11.31,0.0,146.64,152.54,9547.58,9700.12,0.66,9699.46,0.0,9699.46,53.2,9646.26,9646.26,6162.73,15.65,15.65,0.0,0.0,0.0,0.0,0.0
2025-03-31,43.27,430.16,473.43,1.38,0.0,16.52,0.0,86.02,13.01,0.0,244.74,111.76,3086.81,3198.57,0.65,3197.92,0.0,3197.92,49.05,3148.87,3148.87,6162.73,5.11,5.11,0.0,0.0,0.0,0.0,0.0
