Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,Trade/Other Goods
2014-03-31,6316.36,6316.36,10128.88,10128.88,16445.24,0.0,0.0,2521.45,185.93,2707.38,2.22,4188.74,1698.01,5888.97,25041.59,96.05,0.2,186.27,17.46,0.0,299.98,8858.19,667.7,0.0,9825.87,790.75,39.87,15.11,9817.84,537.45,15215.72,25041.59,4369.05,12.49,0.0,8858.19,0.0,790.75,4014.7,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,6316.36,6316.36,10417.83,10417.83,16734.19,0.0,0.0,2905.83,230.64,3136.47,2.28,2111.21,165.74,2279.23,22149.89,88.89,0.18,218.41,19.28,0.0,326.76,10909.16,135.82,0.0,11371.74,862.92,58.33,9.76,8387.39,334.98,10778.15,22149.89,2332.19,0.11,0.0,10909.16,0.0,862.92,1124.77,46.72,46.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,6316.36,6316.36,9729.45,9729.45,16045.81,0.0,0.0,3177.66,172.72,3350.38,72.7,1703.78,206.09,1982.57,21378.76,317.35,0.47,13.13,0.0,14.89,345.84,11416.51,51.51,3169.74,14983.6,312.98,152.41,0.38,4464.57,1447.37,6395.16,21378.76,2090.46,0.28,0.0,11416.51,0.0,312.98,17.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,6207.41,6207.41,7710.03,7710.03,13917.44,0.0,0.0,3449.67,212.82,3662.49,110.0,1054.23,141.24,1305.47,18885.4,306.13,0.31,13.52,0.0,14.89,334.85,11529.07,0.43,3400.06,15264.41,60.19,68.44,12.74,922.09,1348.53,3620.99,18885.4,1125.61,1.05,0.0,11529.07,0.0,60.19,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,6207.41,6207.41,6487.3,6487.3,12694.71,0.0,0.0,3700.98,236.65,3937.63,111.16,1497.39,224.03,1832.58,18464.92,300.75,0.44,119.0,0.0,15.69,435.88,12137.39,0.4,3738.67,16312.34,26.06,21.39,0.27,488.08,1614.9,2152.58,18464.92,1194.57,0.55,0.0,12137.39,0.0,26.06,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,6162.73,6162.73,7834.66,7834.66,13997.39,0.0,0.0,4099.36,211.93,4311.29,122.97,518.62,90.3,731.89,19040.57,291.97,0.46,142.63,38.7,8.32,482.08,12515.16,0.22,4080.72,17078.18,22.74,30.67,0.25,253.51,1655.22,1962.39,19040.57,1657.69,0.96,0.0,12515.16,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,6162.73,6162.73,10650.57,10650.57,16813.3,0.0,0.0,4617.66,297.66,4915.32,132.94,399.82,137.1,669.86,22398.48,302.39,0.2,128.33,57.16,8.32,496.4,12232.59,0.16,4391.95,17121.1,93.97,14.98,7.97,1071.48,4088.98,5277.38,22398.48,1681.87,1.21,0.0,12232.59,93.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,6162.73,6162.73,10588.98,10588.98,16751.71,0.0,27.56,4937.78,269.36,5234.7,101.59,302.02,108.52,512.13,22498.54,348.87,1.35,85.24,86.17,2.56,524.19,13132.86,0.07,4637.6,18294.72,92.01,1.0,11.99,230.27,3868.55,4203.82,22498.54,1791.95,0.45,0.0,13132.86,92.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6162.73,6162.73,10195.22,10195.22,16357.95,0.0,24.52,5348.89,226.22,5599.63,70.63,318.44,93.65,482.72,22440.3,420.74,2.14,53.02,105.14,2.56,583.6,13157.9,0.03,5193.88,18935.41,407.14,13.16,2.36,629.69,2452.54,3504.89,22440.3,1108.49,784.39,0.0,13157.9,407.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6162.73,6162.73,10543.72,10543.72,16706.45,41.42,29.94,5772.86,197.21,6041.43,65.2,462.88,154.72,682.8,23430.68,440.98,112.76,108.73,0.0,0.0,662.47,13824.44,0.02,5477.26,19964.19,38.23,20.55,3.57,1174.89,2229.25,3466.49,23430.68,1388.48,423.15,9.41,13824.44,38.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,6162.73,6162.73,11163.0,11163.0,17325.73,0.0,38.19,5929.01,228.34,6195.54,78.0,355.78,89.38,523.16,24044.43,534.98,93.9,142.39,0.0,0.0,771.27,14170.94,0.02,5129.48,20071.71,35.29,37.66,0.0,1476.7,2423.07,3972.72,24044.43,1651.82,0.44,0.0,14170.94,35.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,6162.73,6162.73,11908.12,11908.12,18070.85,0.0,38.49,6820.46,261.66,7120.61,116.62,207.31,64.81,388.74,25580.2,540.0,70.64,265.47,0.0,0.0,876.11,14267.62,0.41,6034.99,21179.13,238.05,8.72,0.0,1482.34,2671.96,4401.07,25580.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
