Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Borrowings,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,160.58,160.58,9922.09,9931.06,0.0,10091.64,311.2,30.0,73.99,415.62,876.91,962.56,333.2,244.07,2416.74,12924.0,3519.59,4.6,319.64,57.05,0.0,3900.88,3328.28,535.3,61.57,7826.03,258.85,2511.16,1728.1,46.04,515.56,38.26,5097.97,12924.0,1201.36,468.25,4947.96,201.92,151.66,3327.94,258.85,8.97,0.43,0.0,1330.64,30.7,64.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,160.59,160.59,10920.59,10929.56,0.0,11090.15,330.59,40.0,151.93,522.93,1380.2,1496.6,352.42,349.52,3578.74,15191.82,3468.33,125.29,339.0,21.71,0.0,3954.33,4036.99,576.71,65.13,8633.16,384.11,3289.2,2058.91,82.76,589.96,153.72,6558.66,15191.82,1760.36,585.43,4736.33,174.07,151.66,4036.66,384.11,8.97,0.41,0.0,1515.43,23.73,123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,160.68,160.68,11825.2,11825.2,0.0,11985.88,35.85,130.72,132.0,298.7,1131.68,990.84,582.73,249.22,2954.47,15239.05,3702.28,123.83,512.81,37.91,0.33,4377.16,3716.26,219.37,458.89,8771.68,539.52,2918.47,1896.41,53.01,10.92,1049.04,6467.37,15239.05,4735.02,745.86,6683.67,62.46,151.66,3716.26,539.52,0.0,0.13,0.0,1453.01,27.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,160.9,160.9,12639.61,12639.61,0.0,12800.51,0.0,125.2,125.61,250.88,324.26,1298.21,670.58,262.78,2555.83,15607.22,4095.16,140.1,540.52,15.25,0.32,4791.35,3647.71,215.75,547.53,9261.88,638.18,2653.5,1938.79,58.46,9.53,1046.88,6345.34,15607.22,4760.62,0.0,0.0,0.0,151.66,3647.71,638.18,0.0,0.07,59.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,161.02,161.02,13952.5,13952.5,0.0,14113.52,0.0,125.3,124.45,249.75,174.43,1580.02,579.07,398.18,2731.7,17094.97,4158.37,161.66,435.28,27.32,0.32,4782.95,3597.24,233.13,496.68,9156.8,1039.74,3037.98,2336.32,227.53,17.74,1278.86,7938.17,17094.97,4511.06,2103.33,4988.27,180.82,151.66,3597.24,1039.74,0.0,0.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,161.14,161.14,15578.07,15578.07,42.7,15781.91,42.84,117.86,108.12,268.82,0.0,1481.35,458.18,428.55,2368.08,18418.81,3992.13,135.33,241.32,56.01,61.85,4486.64,3803.61,207.91,442.0,8940.16,2011.58,2868.41,3168.73,174.56,5.04,1250.33,9478.65,18418.81,4801.99,1904.13,5740.95,199.06,151.66,3803.61,2011.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,161.25,161.25,17207.54,17207.54,34.17,17402.96,112.97,165.3,105.14,383.41,6.06,1612.12,459.61,541.5,2619.29,20405.66,3818.67,205.87,255.73,64.0,126.44,4470.71,6355.32,41.89,510.68,11378.6,834.43,3021.36,3560.27,523.07,4.49,1083.44,9027.06,20405.66,3121.8,590.26,5517.45,86.15,151.66,6355.32,834.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,161.29,161.29,19730.58,19730.58,35.69,19927.56,104.91,143.36,95.97,344.24,0.0,1495.49,575.89,620.56,2691.94,22963.74,3673.15,269.51,275.04,80.07,123.79,4421.56,7720.99,43.37,585.64,12771.56,2004.84,3085.81,3035.37,874.8,1.9,1189.46,10192.18,22963.74,1972.95,2091.06,6805.06,0.0,151.66,7720.99,2004.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,161.36,161.36,22315.35,22315.35,36.84,22513.55,55.96,72.06,78.92,206.94,0.0,1378.93,718.84,630.79,2728.56,25449.05,3111.73,215.96,169.22,44.62,63.35,3604.88,8934.88,0.0,884.66,13424.42,2038.8,3199.05,1939.62,1428.03,0.89,3418.24,12024.63,25449.05,975.31,1780.34,5709.43,135.97,151.66,8934.88,2038.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,161.43,161.43,24437.55,24437.55,39.11,24638.09,36.13,140.78,81.73,258.64,0.0,1594.12,458.88,646.74,2699.74,27596.47,3547.83,199.45,441.53,62.72,61.72,4313.25,9137.91,131.09,643.09,14225.34,2771.44,3277.36,2888.49,966.46,772.73,2694.65,13371.13,27596.47,897.09,2020.18,6428.17,936.24,151.66,9137.91,2771.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,161.47,161.47,27768.42,27768.42,44.03,27973.92,32.64,90.18,94.24,217.06,0.0,1684.64,430.37,747.24,2862.25,31053.23,3370.39,232.75,580.9,89.37,115.49,4388.9,9410.17,1379.62,967.74,16146.43,4383.59,3254.28,2681.75,333.2,784.25,3469.73,14906.8,31053.23,2298.65,2365.65,5714.98,1743.46,151.66,9410.17,4383.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
