Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,208.3,0.0,208.3,112.01,1.85,0.0,8.8,2.7,35.86,47.09,0.25,47.34,2.93,44.41,44.41,17.46,26.95,26.95,26.61,2.03,2.03,0.0,0.0,0.0,0.0,0.0
2017-06-30,178.22,0.0,178.22,113.08,-5.87,0.0,8.23,2.75,29.62,30.42,2.49,32.91,1.15,31.76,31.76,11.13,20.63,20.63,26.61,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2017-09-30,216.69,0.0,216.69,137.39,-6.61,0.0,9.13,2.8,33.17,40.8,0.25,41.05,1.71,39.35,39.35,13.68,25.67,25.67,26.61,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2017-12-31,203.62,0.0,203.62,121.95,-4.88,0.0,9.51,2.81,30.84,43.38,0.39,43.78,1.56,42.22,42.22,14.17,28.05,28.05,26.61,2.11,2.11,0.0,0.0,0.0,0.0,0.0
2018-03-31,224.8,0.0,224.8,141.61,0.59,0.0,10.38,2.86,30.54,38.82,0.88,39.71,1.78,37.93,37.93,14.51,23.42,23.42,26.61,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2018-06-30,218.44,0.0,218.44,147.66,-13.56,0.0,9.25,2.99,33.14,38.96,0.25,39.22,2.35,36.86,36.86,12.73,24.13,24.13,26.61,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2018-09-30,213.95,0.0,213.95,116.11,0.59,0.0,10.37,3.09,34.33,49.47,0.24,49.7,3.14,46.56,46.56,18.4,28.16,28.16,26.61,2.12,2.12,0.0,0.0,0.0,0.0,0.0
2018-12-31,180.96,0.0,180.96,101.45,-3.06,0.0,11.34,3.07,30.76,37.41,0.16,37.57,2.97,34.6,34.6,10.77,23.83,23.83,26.61,1.79,1.79,0.0,0.0,0.0,0.0,0.0
2019-03-31,195.78,0.0,195.78,94.25,16.06,0.0,10.42,3.07,38.45,33.53,29.53,63.07,2.51,60.56,60.56,11.25,49.31,49.31,26.61,3.71,3.71,0.0,0.0,0.0,0.0,0.0
2019-06-30,206.08,0.0,206.08,104.1,3.28,0.0,10.46,5.72,34.85,47.67,58.78,106.45,4.14,102.31,102.31,20.06,82.25,82.25,26.61,6.18,6.18,0.0,0.0,0.0,0.0,0.0
2019-09-30,222.31,0.0,222.31,130.71,-9.03,0.0,11.56,6.89,50.99,31.19,0.03,31.22,4.64,26.58,26.58,2.42,24.16,24.16,26.61,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2019-12-31,224.02,0.0,224.02,95.76,6.96,0.0,11.44,6.35,41.72,61.79,0.03,61.82,3.86,57.96,57.96,21.88,36.08,36.08,26.61,2.71,2.71,0.0,0.0,0.0,0.0,0.0
2020-03-31,170.24,0.0,170.24,87.53,-30.47,0.0,16.59,6.47,49.48,40.65,75.11,115.75,4.27,111.48,111.48,15.04,96.45,96.45,26.61,7.25,7.25,0.0,0.0,0.0,0.0,0.0
2020-06-30,175.88,0.0,175.88,82.65,10.75,0.0,11.05,6.64,36.42,28.37,0.38,28.75,4.52,24.23,24.23,7.4,16.83,16.83,26.61,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2020-09-30,204.88,0.0,204.88,90.11,12.83,0.0,11.25,6.74,47.48,36.46,0.4,36.85,3.6,33.25,33.25,13.59,19.66,19.66,26.61,1.48,1.48,0.0,0.0,0.0,0.0,0.0
2020-12-31,188.58,0.0,188.58,133.39,-52.57,0.0,12.74,6.77,54.77,33.5,0.56,34.06,3.34,30.72,30.72,8.95,21.78,21.78,26.61,1.64,1.64,0.0,0.0,0.0,0.0,0.0
2021-03-31,225.73,0.0,225.73,38.05,42.18,0.0,17.48,6.88,59.83,61.32,65.15,126.47,4.26,122.21,122.21,21.79,100.42,100.42,26.61,7.55,7.55,0.0,0.0,0.0,0.0,0.0
2021-06-30,222.02,0.0,222.02,124.63,-17.96,0.0,11.6,7.62,57.54,38.58,0.43,39.02,4.05,34.97,34.97,10.53,24.44,24.44,26.61,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2021-09-30,217.82,0.0,217.82,110.65,-6.18,0.0,12.68,7.66,53.64,39.36,0.44,39.8,3.42,36.38,36.38,15.58,20.8,20.8,26.61,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2021-12-31,260.67,0.0,260.67,137.92,3.3,0.0,14.66,7.68,62.44,34.67,0.89,35.56,3.23,32.33,32.33,16.01,16.32,16.32,26.61,1.23,1.23,0.0,0.0,0.0,0.0,0.0
2022-03-31,222.43,0.0,222.43,123.72,-34.06,0.0,19.7,7.81,51.66,53.59,29.52,83.11,3.1,80.01,80.01,14.37,65.64,65.64,26.61,4.93,4.93,0.0,0.0,0.0,0.0,0.0
2022-06-30,333.86,0.0,333.86,163.45,27.85,0.0,13.12,7.9,73.09,48.45,0.32,48.77,3.92,44.86,44.86,14.09,30.77,30.77,26.61,2.31,2.31,0.0,0.0,0.0,0.0,0.0
2022-09-30,334.51,0.0,334.51,187.27,-3.17,0.0,15.36,8.13,79.32,47.59,0.32,47.92,5.34,42.58,42.58,15.66,26.91,26.91,26.61,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2022-12-31,350.25,0.0,350.25,184.04,24.53,0.0,16.0,9.51,79.83,36.34,37.66,74.0,8.29,65.72,65.72,-1.67,67.39,67.39,26.61,5.07,5.07,0.0,0.0,0.0,0.0,0.0
2023-03-31,316.64,0.0,316.64,195.25,-46.15,0.0,23.79,9.53,77.68,56.53,2.68,59.21,8.43,50.78,50.78,7.92,42.87,42.87,26.61,3.22,3.22,0.0,0.0,0.0,0.0,0.0
2023-06-30,361.79,0.0,361.79,180.4,19.95,0.0,17.32,9.97,87.47,46.67,0.38,47.06,9.8,37.26,37.26,8.75,28.51,28.51,26.61,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2023-09-30,351.95,0.0,351.95,189.02,-3.3,0.0,23.53,11.11,82.69,48.92,0.65,49.57,10.11,39.46,39.46,8.3,31.16,31.16,26.61,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2023-12-31,326.94,0.0,326.94,196.35,-35.57,0.0,26.08,10.56,98.54,30.99,0.79,31.78,12.08,19.7,19.7,3.56,16.13,16.13,26.61,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2024-03-31,405.25,0.0,405.25,224.99,-17.07,0.0,27.96,19.43,116.31,33.63,3.86,37.49,13.14,24.35,24.35,4.27,20.08,20.08,26.61,1.51,1.51,0.0,0.0,0.0,0.0,0.0
2024-06-30,431.6,0.0,431.6,225.14,20.01,0.0,25.34,12.05,95.74,53.32,2.51,55.83,13.88,41.95,41.95,16.81,25.14,25.14,26.63,1.89,1.88,0.0,0.0,0.0,0.0,0.0
2024-09-30,436.9,0.0,436.9,247.32,2.98,0.0,26.82,12.25,90.71,56.82,1.57,58.39,17.63,40.75,40.75,13.13,27.62,27.62,26.63,2.07,2.07,0.0,0.0,0.0,0.0,0.0
2024-12-31,401.6,0.0,401.6,214.57,21.55,0.0,29.8,12.5,88.36,34.81,1.93,36.74,18.74,18.0,18.0,8.63,9.38,9.38,26.64,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2025-03-31,447.9,0.0,447.9,270.31,-29.17,0.0,30.55,11.9,123.91,40.41,7.9,48.31,18.56,29.75,29.75,-0.41,30.15,30.15,26.64,2.26,2.26,0.0,0.0,0.0,0.0,0.0
