Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,484.54,484.54,0.0,18.4,13.59,305.88,146.67,171.26,317.93,345.67,-27.74,-47.54,-75.28,-32.95,-42.33,0.0,0.0,-42.33,356.46,0.0,-0.24,-0.24,0.0,0.0,133.48,100.0,74.89
2015-09-30,991.94,991.94,0.0,20.84,15.93,386.67,568.5,259.82,828.32,370.65,457.67,0.0,457.67,153.22,304.45,0.0,0.0,304.45,356.61,0.0,1.71,1.71,0.0,0.0,0.0,0.0,0.0
2015-12-31,177.33,177.33,0.0,25.43,18.04,375.53,-241.67,278.31,36.64,371.36,-334.72,0.0,-334.72,-152.99,-181.73,0.0,0.0,-181.73,356.63,0.0,-1.02,-1.02,0.0,0.0,0.0,0.0,0.0
2016-03-31,1968.15,1968.15,0.0,25.32,27.26,954.56,961.01,477.71,1438.72,297.14,1141.58,561.03,1702.61,286.38,1416.23,25.3,0.0,1441.53,356.74,0.0,7.94,7.94,0.0,0.0,0.0,0.0,0.0
2016-06-30,676.17,676.17,0.0,24.11,25.59,451.61,174.86,231.59,406.45,314.97,91.48,0.0,91.48,24.02,67.46,0.0,0.0,67.46,356.78,0.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2016-09-30,730.56,730.56,0.0,21.91,25.84,391.05,291.76,214.64,506.4,306.62,199.78,-42.25,157.53,33.14,124.39,0.0,0.0,124.39,356.79,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2016-12-31,960.69,960.69,0.0,24.18,24.54,515.54,396.43,174.68,571.11,314.21,256.9,-86.0,170.9,0.0,170.9,0.0,0.0,170.9,356.8,0.0,0.96,0.96,0.0,0.0,0.0,0.0,0.0
2017-03-31,1335.53,1335.53,0.0,37.54,22.99,681.63,593.37,81.44,674.81,300.28,374.53,0.0,374.53,140.73,233.8,0.0,0.0,233.8,356.8,0.0,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2017-06-30,1017.74,1017.74,0.0,26.82,23.73,487.15,480.04,62.34,542.38,265.89,276.49,0.0,276.49,91.8,184.69,0.0,0.0,184.69,356.8,0.0,1.04,1.03,0.0,0.0,0.0,0.0,0.0
2017-09-30,467.91,467.91,0.0,21.96,24.41,293.64,127.9,66.31,194.21,260.34,-66.13,0.0,-66.13,-5.2,-60.93,0.0,0.0,-60.93,356.81,0.0,-0.34,-0.34,0.0,0.0,0.0,0.0,0.0
2017-12-31,502.94,502.94,0.0,50.89,50.31,416.28,-14.54,326.11,311.57,303.97,7.6,-120.66,-113.06,-54.29,-58.77,0.0,0.0,-58.77,356.81,0.0,-0.33,-0.33,0.0,0.0,0.0,0.0,0.0
2018-03-31,1067.31,1067.31,0.0,44.21,33.37,641.42,348.31,293.13,641.44,193.29,448.15,0.0,448.15,147.94,300.21,0.0,0.0,300.21,356.81,0.0,1.68,1.37,0.0,0.0,0.0,0.0,0.0
2018-06-30,356.27,356.27,0.0,42.65,31.32,235.43,46.87,92.96,139.83,186.35,-46.52,0.0,-46.52,-24.48,-22.04,0.0,0.0,-22.04,356.82,0.0,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0
2018-09-30,1071.54,1071.54,0.0,44.18,30.86,574.74,421.76,108.4,530.16,181.63,348.53,0.0,348.53,96.44,252.09,0.0,0.0,252.09,356.87,0.0,1.41,1.15,0.0,0.0,0.0,0.0,0.0
2018-12-31,924.34,924.34,0.0,48.82,30.6,497.11,347.81,119.6,467.41,177.63,289.78,0.0,289.78,85.56,204.22,0.0,0.0,204.22,356.9,0.0,1.14,0.93,0.0,0.0,0.0,0.0,0.0
2019-03-31,943.24,943.24,0.0,62.06,32.08,573.32,275.78,92.42,368.2,194.33,173.87,0.0,173.87,-79.46,253.33,0.0,0.0,253.33,441.44,0.0,1.41,1.15,0.0,0.0,0.0,0.0,0.0
2019-06-30,504.74,504.74,0.0,43.39,21.22,360.12,80.01,133.23,213.24,168.57,44.67,757.13,801.8,19.15,782.65,0.0,0.0,782.65,495.06,0.0,3.45,3.29,0.0,0.0,0.0,0.0,0.0
2019-09-30,529.26,529.26,0.0,48.11,20.35,380.13,80.67,2026.77,2107.44,125.82,1981.62,-14.31,1967.31,10.39,1956.92,0.0,0.0,1956.92,495.06,0.0,7.91,7.91,0.0,0.0,0.0,0.0,0.0
2019-12-31,451.23,451.23,0.0,43.03,21.76,350.83,35.61,212.97,248.58,144.06,104.52,541.02,645.54,43.82,601.72,0.0,0.0,601.72,495.06,0.0,2.43,2.43,0.0,0.0,0.0,0.0,0.0
2020-03-31,884.72,884.72,0.0,71.61,33.06,599.72,180.33,120.65,300.98,151.86,149.12,-97.67,51.45,1128.43,-1076.98,0.0,0.0,-1076.98,495.06,0.0,-4.35,-4.35,0.0,0.0,0.0,0.0,0.0
2020-06-30,270.05,270.05,0.0,46.81,21.14,210.92,-8.82,115.78,106.96,160.23,-53.27,0.0,-53.27,-13.27,-40.0,0.0,0.0,-40.0,495.06,0.0,-0.16,-0.16,0.0,0.0,0.0,0.0,0.0
2020-09-30,1069.47,1069.47,0.0,47.23,20.87,585.97,415.4,263.51,678.91,151.59,527.32,-45.36,481.96,84.03,397.93,0.0,0.0,397.93,495.06,0.0,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2020-12-31,1239.05,1239.05,0.0,44.0,19.98,675.33,499.74,64.19,563.93,124.48,439.45,0.0,439.45,133.01,306.44,0.0,0.0,306.44,495.06,0.0,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2021-03-31,1314.91,1314.91,0.0,53.18,20.67,681.3,559.76,92.51,652.27,120.11,532.16,0.0,532.16,120.56,411.6,0.0,0.0,411.6,495.06,0.0,1.66,1.66,0.0,0.0,0.0,0.0,0.0
2021-06-30,870.37,870.37,0.0,44.86,19.12,409.86,396.53,78.65,475.18,115.67,359.51,0.0,359.51,89.82,269.69,0.0,0.0,269.69,495.06,0.0,1.09,1.09,0.0,0.0,0.0,0.0,0.0
2021-09-30,961.9,961.9,369.93,50.91,19.34,107.84,413.88,374.47,788.35,121.08,667.27,0.0,667.27,88.16,579.11,0.0,0.0,579.11,495.06,0.0,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2021-12-31,1056.37,1056.37,404.41,67.06,19.39,104.06,461.45,63.33,524.78,99.58,425.2,-235.19,190.01,47.94,142.07,0.0,0.0,142.07,495.06,0.0,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2022-03-31,1069.11,1069.11,0.0,76.13,18.85,549.82,424.31,65.44,489.75,91.02,398.73,0.0,398.73,98.66,300.07,0.0,0.0,300.07,495.06,0.0,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2022-06-30,969.45,969.45,0.0,89.83,18.96,496.2,364.46,37.65,402.11,76.09,326.02,0.0,326.02,81.86,244.16,0.0,0.0,244.16,495.06,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2022-09-30,824.24,824.24,260.67,99.65,18.65,104.9,340.37,535.01,875.38,75.97,799.41,0.0,799.41,72.65,726.76,0.0,0.0,726.76,495.06,0.0,2.94,2.94,0.0,0.0,0.0,0.0,0.0
2022-12-31,925.31,925.31,260.78,93.64,19.83,113.3,437.76,48.58,486.34,96.86,389.48,0.0,389.48,94.62,294.86,0.0,0.0,294.86,495.06,0.0,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2023-03-31,1260.18,1260.18,0.0,97.25,18.22,421.87,722.84,572.93,1295.77,71.64,1224.13,0.0,1224.13,179.09,1045.04,0.0,0.0,1045.04,495.06,0.0,4.22,4.22,0.0,0.0,0.0,0.0,0.0
2023-06-30,841.14,841.14,378.37,115.89,17.86,79.72,249.3,59.02,308.32,73.98,234.34,0.0,234.34,58.93,175.41,0.0,0.0,175.41,495.06,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0
2023-09-30,694.54,694.54,311.02,71.29,17.45,101.84,192.94,101.3,294.24,70.37,223.87,0.0,223.87,54.66,169.21,0.0,0.0,169.21,495.06,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2023-12-31,797.49,797.49,296.84,74.13,17.39,125.24,283.89,319.91,603.8,65.59,538.21,0.0,538.21,74.55,463.66,0.0,0.0,463.66,495.06,0.0,1.88,1.88,0.0,0.0,0.0,0.0,0.0
2024-03-31,909.41,909.41,289.17,90.07,17.48,261.19,251.5,354.71,606.21,75.6,530.61,0.0,530.61,87.68,442.93,0.0,0.0,442.93,495.06,0.0,1.78,1.78,0.0,0.0,0.0,0.0,0.0
2024-06-30,405.32,405.32,156.5,119.11,17.7,220.19,-108.18,197.59,89.41,84.9,4.51,0.0,4.51,0.72,3.79,0.0,0.0,3.79,495.06,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2024-09-30,903.58,903.58,501.7,120.51,18.02,136.7,126.65,184.48,311.13,82.33,228.8,0.0,228.8,36.44,192.36,0.0,0.0,192.36,495.06,0.0,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2024-12-31,936.74,936.74,462.9,83.93,18.71,174.98,196.22,317.01,513.23,81.11,432.12,-302.39,129.73,295.82,-166.09,0.0,0.0,-166.09,495.06,0.0,-0.67,-0.67,0.0,0.0,0.0,0.0,0.0
2025-03-31,2235.87,2235.87,989.41,61.21,18.73,186.59,979.93,820.81,1800.74,88.75,1711.99,0.0,1711.99,162.05,1549.94,0.0,0.0,1549.94,495.06,0.0,6.26,6.26,0.0,0.0,0.0,0.0,0.0
