Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Money Received Against Share Warrants,Employees Stock Options,Deferred Tax Liabilities [Net],Capital Work-In-Progress,Raw Materials,Equity Share Application Money,Capital Goods,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,356.29,356.29,16287.23,16287.23,16643.52,0.0,7152.77,802.83,12.41,8053.3,2510.35,793.09,9204.5,370.56,12878.5,37575.34,1402.33,201.74,0.08,0.0,3409.49,7460.71,0.0,3215.69,0.0,14085.9,0.0,8112.24,200.82,551.47,4851.95,9772.96,23489.44,37575.34,11337.81,148.74,0.0,0.0,130.38,267.72,0.0,7460.71,0.0,0.0,0.0,0.0,85.29,1805.34,14.41,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,356.39,356.39,16873.0,16873.0,17229.39,0.0,8096.35,941.36,16.63,9145.83,2499.65,548.22,5996.38,565.4,9609.65,35984.86,1406.73,198.34,0.0,0.0,3963.37,7476.3,0.0,3389.98,0.0,14829.64,0.0,7641.15,212.13,953.94,1973.22,10374.78,21155.22,35984.86,13465.95,109.02,0.0,0.0,156.09,267.72,0.0,7476.3,0.0,0.0,0.0,0.0,91.49,2358.3,21.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,356.74,356.74,13761.23,13761.23,14117.97,0.0,6375.06,931.41,17.64,7324.11,2033.78,555.78,5542.11,11.43,8143.09,29585.17,431.6,171.68,0.0,3585.13,4216.39,3805.95,2103.39,4024.79,1213.76,15364.29,0.0,8971.87,1522.82,1051.37,2257.96,416.86,14220.89,29585.17,14592.61,130.85,0.0,11.78,0.0,267.72,0.0,3805.95,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,356.8,356.8,14330.96,14330.96,14703.38,0.0,4759.62,989.86,16.94,5766.43,3007.75,605.94,4570.5,25.7,8209.89,28679.7,360.36,167.36,0.0,3631.45,4187.25,7335.17,1821.82,511.94,1169.0,15025.18,0.0,9673.38,596.04,922.51,586.28,1876.32,13654.52,28679.7,15166.58,153.57,0.0,37.03,0.0,267.72,0.0,7335.17,0.0,0.0,0.0,15.62,0.0,28.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,356.81,356.81,14064.93,14064.93,15184.79,8250.0,2689.64,1035.13,23.17,3747.94,956.0,822.17,3968.71,17.84,5764.72,32947.45,309.1,162.72,0.0,3469.76,3956.75,9251.33,1624.39,470.75,1227.56,16530.78,949.6,9731.64,404.91,1008.85,2394.58,1927.09,16416.66,32947.45,10200.92,342.93,0.0,1.74,0.0,267.72,0.0,9251.33,7335.17,0.0,750.1,12.94,0.0,15.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,441.44,441.44,19063.46,19063.46,20255.01,2824.92,1999.89,999.53,26.75,3026.17,1378.97,720.8,8931.22,18.29,11049.28,37155.38,280.47,157.83,0.0,1273.95,1731.06,9627.79,3674.51,457.41,1428.31,16919.08,0.0,11357.26,170.8,3612.83,2219.56,2875.84,20236.3,37155.38,12817.58,456.77,0.0,0.92,0.0,267.72,0.0,91.89,0.0,0.0,750.1,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,495.06,495.06,26308.89,26308.89,26803.95,0.67,2294.02,1084.44,39.54,3418.0,2239.21,716.67,8967.14,17.71,11940.73,42163.35,371.89,150.94,0.0,1140.21,1663.03,14657.23,2473.88,540.18,1541.6,20875.91,100.41,10687.81,146.08,1714.68,7583.4,1055.06,21287.44,42163.35,10020.85,524.94,0.0,11.93,0.0,267.72,0.0,101.33,100.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,495.06,495.06,27188.71,27188.71,27683.77,0.0,2097.59,1027.56,32.24,3157.39,2215.64,875.33,6131.86,9.8,9232.63,40073.79,272.57,146.25,0.0,1107.37,1526.19,22120.32,2196.96,353.75,1250.81,27448.03,335.19,9803.95,100.65,681.06,804.42,900.49,12625.75,40073.79,7104.63,552.1,0.0,0.0,0.0,267.72,0.0,148.43,335.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,495.06,495.06,26734.58,26734.58,27229.64,0.0,1962.05,978.54,31.36,2971.95,1725.17,1126.0,4253.33,9.58,7114.08,37315.67,233.49,144.85,0.0,1225.57,1603.9,19792.68,1921.25,218.11,1178.87,24714.81,203.7,10670.94,41.56,249.19,454.48,980.99,12600.86,37315.67,6340.12,291.29,0.0,0.0,0.0,267.72,0.0,236.49,203.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,495.06,495.06,28308.55,28308.55,28803.61,0.0,1049.66,976.73,30.16,2056.55,2008.46,1058.23,3345.13,9.63,6421.46,37281.62,200.82,140.38,0.0,1249.41,1590.61,19795.47,1491.86,224.79,1239.94,24342.66,100.05,9790.98,49.21,683.81,1176.94,1137.97,12938.96,37281.62,7200.97,28.86,0.0,0.0,0.31,267.72,0.0,231.38,100.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,495.06,495.06,28569.74,28569.74,29064.8,0.0,1840.98,938.01,31.66,2810.65,1478.01,1187.82,3794.44,15.17,6475.44,38350.89,168.87,135.23,2.6,983.14,1289.84,19434.24,1281.77,223.75,1271.07,23500.66,50.0,10329.42,84.19,1491.91,884.99,2009.72,14850.23,38350.89,2449.72,53.94,0.0,0.0,1.41,267.72,0.0,0.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
