Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-06-30,52.18,0.0,52.18,8.26,1.84,12.41,29.66,14.79,44.44,0.01,44.44,44.44,7.43,37.01,0.0,37.01,104.5,3.54,3.54
2020-09-30,70.24,0.0,70.24,8.72,2.0,18.91,40.61,8.91,49.52,0.01,49.51,49.51,11.45,38.06,0.0,38.06,104.5,3.64,3.64
2020-12-31,68.76,0.0,68.76,8.42,2.06,14.27,44.01,12.49,56.5,0.01,56.49,56.49,13.47,43.02,0.0,43.02,104.5,4.12,4.12
2021-03-31,79.41,0.0,79.41,8.78,1.39,18.89,50.35,5.59,55.93,0.01,55.93,55.93,13.96,41.97,0.0,41.97,104.5,4.02,4.02
2021-06-30,88.68,0.0,88.68,9.67,1.36,21.26,56.39,33.01,89.4,0.0,89.39,89.39,16.27,73.13,0.0,73.13,104.5,7.0,7.0
2021-09-30,111.94,0.0,111.94,9.98,2.72,24.06,75.19,15.98,91.17,0.0,91.17,91.17,22.77,68.4,0.0,68.4,104.5,6.55,6.55
2021-12-31,113.8,0.0,113.8,10.67,2.8,23.46,76.87,7.75,84.62,0.0,84.62,84.62,20.86,63.77,0.0,63.77,104.5,6.1,6.1
2022-03-31,100.39,0.0,100.39,10.74,3.22,22.84,63.58,8.58,72.16,0.0,72.16,72.16,13.69,58.47,0.0,58.47,104.5,5.6,5.6
2022-06-30,111.76,0.0,111.76,21.82,3.5,28.56,57.88,46.05,103.93,0.0,103.93,103.93,14.83,89.11,0.0,89.11,104.5,8.53,8.53
2022-09-30,122.8,0.0,122.8,16.32,4.09,29.0,73.4,17.73,91.14,0.0,91.14,91.14,22.53,68.61,0.0,68.61,104.5,6.57,6.57
2022-12-31,117.75,0.0,117.75,14.64,4.04,31.08,68.0,15.19,83.19,0.0,83.19,83.19,20.47,62.71,0.0,62.71,104.5,6.0,6.0
2023-03-31,98.29,0.0,98.29,15.7,4.23,26.52,51.84,14.4,66.23,0.0,66.23,66.23,14.58,51.66,0.0,51.66,104.5,4.94,4.94
2023-06-30,122.54,0.0,122.54,18.36,4.5,35.07,64.61,47.87,112.48,0.0,112.48,112.48,20.24,92.24,0.0,92.24,104.5,8.83,8.83
2023-09-30,163.76,0.0,163.76,18.65,5.0,41.88,98.23,18.17,116.4,0.01,116.4,116.4,28.46,87.93,0.0,87.93,104.5,8.41,8.41
2023-12-31,169.57,0.0,169.57,19.71,5.31,44.47,100.08,16.27,116.35,0.01,116.34,116.34,30.62,85.72,0.0,85.72,104.5,8.2,8.2
2024-03-31,185.08,0.0,185.08,23.5,6.42,47.21,107.96,19.63,127.58,0.0,127.58,127.58,30.15,97.43,0.0,97.43,104.5,9.32,9.32
2024-06-30,197.89,0.0,197.89,22.47,8.12,53.71,113.59,22.83,136.43,0.01,136.42,136.42,31.17,105.25,0.0,105.25,104.5,10.07,10.07
2024-09-30,247.81,0.0,247.81,26.06,9.97,66.93,144.85,76.17,221.02,0.0,221.02,221.02,49.86,171.15,0.0,171.15,209.0,8.19,8.19
2024-12-31,220.97,0.0,220.97,27.06,10.59,62.76,120.56,13.9,134.46,0.0,134.46,134.46,29.53,104.93,0.0,104.93,209.0,5.02,5.02
2025-03-31,181.54,0.0,181.54,26.12,11.88,65.33,78.21,23.46,101.67,0.04,101.63,101.63,20.87,80.76,0.0,80.76,209.0,3.86,3.86
