Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,364.39,20.65,385.04,228.36,-5.05,40.1,13.41,52.03,56.18,9.16,65.35,0.0,65.35,65.35,17.85,47.49,47.49,9.48,25.04,25.04,0.47,25.0,1.42,100.0,75.0
2015-09-30,404.1,24.81,428.92,223.87,30.7,41.65,13.95,67.56,51.2,9.18,60.37,0.0,60.37,60.37,12.06,48.31,48.31,9.48,25.47,25.47,0.47,25.0,1.42,100.0,75.0
2015-12-31,432.01,25.79,457.8,287.76,-13.86,45.35,14.2,60.89,63.45,6.06,69.51,0.0,69.51,69.51,17.99,51.52,51.52,9.48,27.16,27.16,0.0,0.0,0.0,0.0,0.0
2016-03-31,539.36,27.16,566.52,381.12,-33.15,46.69,14.67,91.32,65.87,10.21,76.08,0.15,75.93,75.93,18.64,57.29,57.29,9.48,30.2,30.2,0.0,0.0,0.0,0.0,0.0
2016-06-30,512.39,24.3,536.68,313.81,2.95,43.49,15.15,72.03,89.25,9.35,98.59,0.0,98.59,98.59,24.7,73.9,73.9,9.48,38.96,38.96,0.0,0.0,0.0,0.0,0.0
2016-09-30,475.85,28.89,504.75,309.74,3.81,49.58,14.9,73.42,53.31,9.41,62.72,0.02,62.7,62.7,15.49,47.21,47.21,9.48,24.89,24.89,0.0,0.0,0.0,0.0,0.0
2016-12-31,505.58,28.95,534.53,335.79,1.11,48.78,16.32,72.63,59.89,6.54,66.44,0.03,66.41,66.41,23.62,42.79,42.79,9.48,22.56,22.56,0.0,0.0,0.0,0.0,0.0
2017-03-31,551.39,25.47,576.85,401.66,-45.46,49.26,15.25,93.82,62.32,10.85,73.17,0.42,72.75,72.75,23.17,49.58,49.58,9.48,26.14,26.14,0.0,0.0,0.0,0.0,0.0
2017-06-30,495.84,29.77,525.6,257.45,61.62,51.99,15.22,75.48,63.84,10.55,74.39,0.08,74.32,74.32,20.09,54.22,54.22,9.48,28.59,28.59,0.0,0.0,0.0,0.0,0.0
2017-09-30,578.24,31.53,609.77,406.08,-34.08,55.9,15.22,79.22,87.44,13.94,101.38,0.2,101.18,101.18,23.59,77.59,77.59,9.48,40.91,40.91,0.0,0.0,0.0,0.0,0.0
2017-12-31,615.5,34.41,649.91,373.77,27.63,57.86,15.26,90.36,85.01,6.42,91.44,0.1,91.34,91.34,27.53,63.8,63.8,9.48,33.64,33.64,0.0,0.0,0.0,0.0,0.0
2018-03-31,747.86,37.0,784.86,540.11,-30.69,63.35,16.03,99.9,96.15,20.04,116.19,1.24,114.95,114.95,37.74,77.21,77.21,9.48,40.71,40.71,0.0,0.0,0.0,0.0,0.0
2018-06-30,713.56,33.75,747.31,465.51,28.86,60.49,16.11,92.76,83.59,25.06,108.65,0.0,108.65,108.65,33.9,74.75,74.75,9.48,39.41,39.41,0.0,0.0,0.0,0.0,0.0
2018-09-30,663.64,79.14,742.78,456.65,-0.74,66.5,16.93,97.27,106.17,25.72,131.9,0.0,131.9,131.9,36.37,95.52,95.52,9.48,50.36,50.36,0.0,0.0,0.0,0.0,0.0
2018-12-31,653.19,46.71,699.9,437.65,6.0,65.36,17.73,90.41,82.75,9.72,92.47,0.0,92.47,92.47,32.68,59.79,59.79,9.48,31.52,31.52,0.0,0.0,0.0,0.0,0.0
2019-03-31,620.25,42.65,662.9,474.74,-46.49,61.28,20.68,88.01,64.68,13.22,77.9,0.0,77.9,77.9,25.8,52.1,52.1,9.48,27.47,27.47,0.0,0.0,0.0,0.0,0.0
2019-06-30,591.65,46.12,637.76,385.77,20.59,63.76,22.19,80.66,64.79,15.35,80.13,0.3,79.83,79.83,25.07,54.76,54.76,9.48,28.87,28.87,0.0,0.0,0.0,0.0,0.0
2019-09-30,392.5,53.49,446.0,255.65,3.04,66.19,20.89,68.47,31.75,14.61,46.36,0.55,45.8,45.8,11.95,33.86,33.86,9.48,17.85,17.85,0.0,0.0,0.0,0.0,0.0
2019-12-31,385.11,55.83,440.95,252.61,2.86,68.63,22.34,56.66,37.85,15.8,53.65,0.45,53.19,53.19,14.5,38.7,38.7,9.48,20.4,20.4,0.0,0.0,0.0,0.0,0.0
2020-03-31,404.85,0.0,404.85,232.33,-4.17,67.11,24.69,57.91,26.99,18.13,45.12,0.61,44.51,44.51,13.01,31.5,31.5,9.48,16.61,16.61,0.0,0.0,0.0,0.0,0.0
2020-06-30,165.97,0.0,165.97,68.54,9.03,77.01,23.1,39.98,-51.7,13.41,-38.3,0.65,-38.95,-38.95,-7.59,-31.36,-31.36,9.48,-16.54,-16.54,0.0,0.0,0.0,0.0,0.0
2020-09-30,418.71,0.0,418.71,240.24,-1.5,64.17,22.39,52.63,40.78,11.08,51.86,0.94,50.92,50.92,15.82,35.11,35.11,9.48,18.51,18.51,0.0,0.0,0.0,0.0,0.0
2020-12-31,566.5,0.0,566.5,351.04,-4.24,70.85,22.27,61.1,65.47,7.82,73.29,0.25,73.04,73.04,20.61,52.43,52.43,9.48,27.64,27.64,0.0,0.0,0.0,0.0,0.0
2021-03-31,712.32,0.0,712.32,476.0,-4.89,78.42,22.64,79.34,60.82,6.59,67.41,0.16,67.25,67.25,19.62,47.63,47.63,9.48,25.11,25.11,0.0,0.0,0.0,0.0,0.0
2021-06-30,491.92,0.0,491.92,319.53,-3.01,74.53,22.61,58.76,19.5,11.9,31.4,0.54,30.85,30.85,9.47,21.38,21.38,9.48,11.27,11.27,0.0,0.0,0.0,0.0,0.0
2021-09-30,616.53,0.0,616.53,384.17,6.24,82.14,24.94,81.26,37.78,7.61,45.39,0.44,44.95,44.95,12.7,32.25,32.25,9.48,17.0,17.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,652.92,0.0,652.92,423.2,0.08,81.83,23.95,89.14,34.72,8.89,43.61,0.39,43.22,43.22,11.39,31.84,31.84,9.48,16.78,16.78,0.0,0.0,0.0,0.0,0.0
2022-03-31,781.98,0.0,781.98,522.45,-9.33,90.19,20.93,89.64,68.11,9.14,77.25,0.53,76.72,76.72,20.11,56.6,56.6,9.48,29.84,29.84,0.0,0.0,0.0,0.0,0.0
2022-06-30,798.42,0.0,798.42,514.82,4.76,88.01,22.67,92.12,76.04,11.15,87.19,1.11,86.08,86.08,23.68,62.4,62.4,9.48,32.9,32.9,0.0,0.0,0.0,0.0,0.0
2022-09-30,792.83,0.0,792.83,497.39,6.46,91.6,27.32,89.83,80.23,12.21,92.44,2.14,90.3,90.3,21.66,68.64,68.64,9.48,36.19,36.19,0.0,0.0,0.0,0.0,0.0
2022-12-31,876.06,0.0,876.06,555.48,-3.71,94.55,28.05,109.68,92.01,25.59,117.6,1.96,115.65,115.65,30.22,85.42,85.42,9.48,45.04,45.04,0.0,0.0,0.0,0.0,0.0
2023-03-31,977.28,0.0,977.28,629.07,-7.21,102.55,26.73,108.88,117.26,18.07,135.32,0.47,134.85,134.85,33.64,101.21,101.21,9.48,53.36,53.36,0.0,0.0,0.0,0.0,0.0
2023-06-30,960.54,0.0,960.54,591.6,1.98,114.46,27.64,111.3,113.56,21.41,134.98,1.32,133.65,133.65,33.89,99.76,99.76,9.48,52.59,52.59,0.0,0.0,0.0,0.0,0.0
2023-09-30,980.83,0.0,980.83,604.29,2.37,116.16,27.02,114.01,116.97,24.22,141.19,1.33,139.86,139.86,35.53,104.33,104.33,9.48,55.01,55.01,0.0,0.0,0.0,0.0,0.0
2023-12-31,886.82,0.0,886.82,535.87,8.59,115.83,26.15,95.49,104.9,30.15,135.05,1.38,133.67,133.67,34.06,99.62,99.62,9.48,52.52,52.52,0.0,0.0,0.0,0.0,0.0
2024-03-31,955.52,0.0,955.52,592.4,-16.03,117.52,28.68,114.74,118.22,19.99,138.21,0.97,137.24,137.24,36.16,101.07,101.07,9.48,53.29,53.29,0.0,0.0,0.0,0.0,0.0
2024-06-30,938.31,0.0,938.31,544.73,10.96,136.26,28.66,108.19,109.52,25.52,135.03,1.77,133.26,133.26,34.05,99.21,99.21,9.48,52.31,52.31,0.0,0.0,0.0,0.0,0.0
2024-09-30,906.7,0.0,906.7,528.09,-4.21,132.84,31.09,110.51,108.39,39.65,148.04,1.29,146.75,146.75,37.41,109.34,109.34,9.48,57.65,57.65,0.0,0.0,0.0,0.0,0.0
2024-12-31,955.89,0.0,955.89,538.31,3.71,140.22,31.42,98.35,143.88,17.18,161.06,1.24,159.82,159.82,34.91,124.91,124.91,9.48,65.85,65.85,0.0,0.0,0.0,0.0,0.0
2025-03-31,1003.19,0.0,1003.19,600.73,-16.6,129.22,31.52,117.34,140.97,27.41,168.37,1.41,166.97,166.97,41.77,125.19,125.19,9.48,66.0,66.0,0.0,0.0,0.0,0.0,0.0
