Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Revaluation Reserves,Deferred Tax Assets [Net],Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,69.93,69.93,1473.46,1688.53,1758.46,1986.56,268.48,97.25,13.87,2366.16,198.5,246.73,498.36,34.52,978.12,5102.74,2311.49,1.07,1101.99,3414.55,253.01,0.0,3809.98,46.5,541.95,111.71,347.55,14.23,1292.76,5102.74,950.62,1.82,0.02,52.57,0.0,15.05,238.01,49.39,142.42,230.82,137.82,137.81,215.07,0.0,20.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,69.93,69.93,1576.61,1576.61,1646.54,2158.8,279.85,116.77,16.59,2572.01,263.35,229.26,589.2,47.67,1129.48,5348.03,3335.99,1.98,191.18,3529.14,284.01,0.0,3966.55,30.5,509.79,139.4,407.71,9.54,1381.48,5348.03,1058.4,4.71,0.0,28.79,0.0,0.0,284.01,284.01,153.4,284.54,144.48,92.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,69.93,69.93,1644.48,1644.48,1714.41,2307.88,328.44,139.65,18.29,2794.25,196.21,280.65,645.77,47.72,1170.34,5679.0,3488.84,2.0,152.4,3643.24,362.8,0.0,4168.55,61.5,474.24,165.69,475.87,8.32,1510.46,5679.0,964.02,4.09,0.0,9.28,0.0,0.0,362.8,63.38,162.51,324.83,163.9,89.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,69.93,69.93,1801.6,1801.6,1871.52,2282.37,262.81,263.05,22.38,2830.6,167.29,377.74,588.86,7.06,1140.95,5843.08,3674.46,5.57,104.82,3784.85,470.38,104.71,4494.51,65.26,498.07,148.13,426.92,210.18,1348.57,5843.08,1122.68,0.0,0.0,0.0,0.0,14.96,455.42,65.26,134.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,69.93,69.93,2077.42,2077.42,2147.35,2069.71,267.19,299.11,25.08,2661.08,113.52,643.06,399.96,18.84,1175.38,5983.81,3590.52,6.17,87.81,3684.5,556.94,186.23,4427.68,77.58,531.61,187.97,543.52,215.45,1556.13,5983.81,1158.87,0.0,0.0,0.0,0.0,41.28,515.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,77.27,77.27,2815.54,2815.54,2892.81,1956.48,312.5,314.42,34.68,2618.08,159.82,407.36,774.03,95.17,1436.38,6947.26,3624.97,10.5,556.44,4191.91,610.39,249.75,5052.05,394.31,557.87,202.22,429.74,311.07,1895.21,6947.26,1533.04,267.59,0.0,0.0,11.06,43.87,566.52,394.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,77.27,77.27,3051.63,3051.63,3128.9,2283.91,418.11,364.2,40.38,3106.6,138.85,452.64,917.4,110.7,1619.58,7855.08,4455.05,13.04,509.2,4977.29,565.21,197.09,5739.59,1.03,627.17,223.45,631.13,632.71,2115.49,7855.08,1429.38,315.61,0.0,0.0,10.88,40.1,525.11,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,77.27,77.27,3655.82,3655.82,3733.09,2671.97,593.94,402.41,41.92,3710.25,115.09,549.95,975.83,84.72,1725.6,9168.93,4781.02,27.9,488.53,5297.44,718.75,176.66,6192.85,88.25,686.66,316.09,1161.78,723.3,2976.07,9168.93,822.5,647.59,0.0,0.0,6.95,39.78,678.97,88.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,77.27,77.27,4174.4,4174.4,4251.67,2475.51,738.48,501.71,47.06,3762.76,751.88,669.15,826.66,80.14,2327.83,10342.26,5340.31,27.39,71.03,5438.73,1540.07,182.08,7160.89,204.7,1113.57,397.79,282.6,1182.71,3181.36,10342.26,1110.8,843.39,0.0,0.0,4.29,0.0,1540.07,204.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,77.27,77.27,4624.23,4624.23,4701.5,2488.6,835.83,556.39,46.89,3927.71,722.63,604.18,843.99,90.89,2261.68,10890.9,5288.32,25.49,168.83,5482.64,2189.58,415.84,8088.06,70.82,777.9,371.16,567.73,1015.23,2802.84,10890.9,2282.06,966.77,0.0,0.0,4.43,0.0,2189.58,70.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,77.27,77.27,5276.12,5276.12,5353.39,4177.22,1053.92,615.89,51.73,5898.76,1000.74,809.17,1118.65,103.84,3032.4,14284.55,7965.63,115.97,415.18,8496.78,1371.11,346.5,10214.39,99.83,1067.53,460.4,777.66,1664.74,4070.16,14284.55,1202.32,1077.65,0.0,0.0,3.93,206.47,1164.64,99.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
