Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Short Term Provisions,Capital Work-In-Progress,Non-Current Investments,Long Term Loans And Advances,Expenditure In Foreign Currency,Money Received Against Share Warrants,Deferred Tax Liabilities [Net],Inventories,Trade/Other Goods,Equity Share Application Money,Raw Materials,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Capital Goods
2014-03-31,38.02,152.25,1225.99,1225.99,0.0,1378.24,2774.56,0.0,131.51,2942.62,4655.07,229.33,2069.5,6997.13,11317.99,154.23,2.82,0.0,0.0,182.09,0.0,146.75,6609.66,96.41,15.51,695.42,3806.07,94.93,4708.33,11317.99,580.23,4.02,0.0,0.05,224.65,96.41,114.22,43.22,25.05,224.37,6056.44,0.58,0.0,36.56,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,38.09,135.09,1345.47,1345.47,0.0,1480.56,2881.73,0.0,197.95,3094.33,5444.05,198.91,2051.34,7736.86,12311.75,171.94,23.41,0.0,0.0,203.41,0.0,98.16,7667.68,71.98,7.52,565.95,3905.67,92.94,4644.06,12311.75,510.07,2.91,0.0,0.06,169.72,71.98,97.0,42.55,8.06,169.45,7196.67,0.77,0.0,14.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,47.37,60.37,1984.05,1984.05,0.0,2057.42,2603.63,0.0,291.44,2895.08,5954.12,160.83,1798.57,7969.33,12908.82,173.66,27.87,0.0,0.0,213.39,27.63,82.33,8177.96,25.97,7.07,360.46,4256.24,81.12,4730.86,12908.82,239.68,0.0,0.0,0.0,432.18,25.97,13.0,55.8,11.86,432.18,7422.44,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,47.39,47.39,1990.5,1990.5,0.0,2037.89,2386.77,0.0,185.35,2572.12,4873.36,210.38,1711.23,6809.24,11419.26,183.15,27.8,0.0,0.0,216.44,19.72,169.14,7182.97,47.37,6.43,272.49,3830.34,79.65,4236.28,11419.26,299.13,0.87,0.0,0.0,532.84,47.37,0.0,14.27,5.49,532.84,6244.84,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,47.41,47.41,1763.37,1763.37,0.0,1810.78,11098.03,82.18,12.01,11192.22,0.0,318.9,246.23,565.13,13568.12,163.43,27.63,0.96,0.0,192.15,245.36,122.69,560.2,305.57,3.72,397.8,12154.36,146.48,13007.92,13568.12,25.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,53.86,53.86,2501.94,2501.94,0.0,2555.8,1276.84,71.31,12.16,1360.3,10472.87,364.87,237.2,11074.94,14991.05,157.97,25.59,0.95,0.0,187.1,143.59,141.13,471.82,302.42,10.97,932.69,13137.85,135.29,14519.22,14991.05,34.79,0.0,0.0,0.0,0.0,302.42,0.0,0.0,2.59,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,53.9,53.9,2461.41,2461.41,0.0,2515.31,1406.0,79.14,10.26,1495.41,8598.57,19.66,326.25,8944.49,12955.2,205.74,15.46,5.53,0.0,226.74,103.98,132.81,463.53,402.42,9.91,648.36,11174.91,256.06,12491.67,12955.2,18.64,0.0,0.0,0.0,0.0,402.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,53.92,53.92,1876.81,1876.81,11.33,1942.06,1559.91,103.46,11.25,1674.62,6354.88,84.58,285.86,6725.32,10342.0,153.62,17.69,0.18,0.08,171.57,297.98,118.71,588.25,428.92,12.92,612.42,8565.31,134.17,9753.74,10342.0,14.99,0.0,0.0,0.0,0.0,428.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,152.98,152.98,5541.79,5541.79,19.73,5714.51,1149.12,64.28,9.74,1223.14,5576.69,12.7,282.63,5872.02,12809.67,157.63,16.69,0.46,0.08,174.86,203.79,128.62,507.26,819.71,14.03,537.16,10678.37,253.13,12302.41,12809.67,23.36,0.0,0.0,0.0,0.0,819.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,153.59,153.59,6271.11,6271.11,0.0,6424.7,0.0,89.82,8.26,98.08,11119.58,2.02,377.44,11499.04,18021.82,192.88,14.25,4.56,0.08,211.77,45.88,154.7,412.35,310.91,20.67,657.43,15229.45,1391.01,17609.47,18021.82,27.23,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,154.11,154.11,7962.29,7962.29,0.0,8116.4,0.0,94.94,8.53,103.47,15080.13,3.37,732.85,15816.35,24036.22,177.13,17.0,0.26,0.07,194.46,163.42,198.57,556.45,878.33,28.66,268.54,22046.41,257.83,23479.77,24036.22,22.9,0.0,0.0,0.0,0.0,878.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,154.58,154.58,7969.4,7969.4,0.0,8123.98,0.0,55.6,12.67,68.27,25880.55,4.25,902.21,26787.01,34979.26,237.82,16.41,0.0,0.0,254.23,205.48,246.93,706.64,1341.63,18.71,32.29,32694.96,185.03,34272.62,34979.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
