Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-12-31,222.03,222.03,29.8,1.07,15.55,175.61,49.6,225.21,225.21,0.0,225.21,56.71,168.5,0.0,168.5,79.57,10.6,10.6,0.0,0.0,0.0,0.0,0.0
2022-03-31,29.83,29.83,20.91,0.71,7.02,1.19,19.32,20.51,20.51,0.0,20.51,3.64,16.87,0.0,16.87,79.57,1.1,1.1,0.0,0.0,0.0,0.0,0.0
2022-06-30,341.24,341.24,30.53,0.78,13.37,296.56,15.6,312.16,312.16,0.0,312.16,79.11,233.05,0.0,233.05,79.57,14.6,14.6,0.0,0.0,0.0,0.0,0.0
2022-09-30,671.33,671.33,30.78,0.79,15.32,624.44,18.09,642.53,642.53,0.0,642.53,157.45,485.08,0.0,485.08,159.14,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,32.84,32.84,30.38,0.8,12.53,-10.87,17.0,6.13,6.13,0.0,6.13,1.2,4.93,0.0,4.93,159.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,31.06,31.06,22.52,0.83,14.36,-6.65,20.45,13.8,13.8,0.0,13.8,4.34,9.46,0.0,9.46,159.26,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2023-06-30,595.21,595.21,34.54,0.83,19.24,540.6,8.06,548.66,548.66,0.0,548.66,145.15,403.51,0.0,403.51,159.26,2.5,2.5,0.0,0.0,0.0,0.0,0.0
2023-09-30,1011.05,1011.05,30.94,0.88,20.66,958.57,8.02,966.59,966.59,0.0,966.59,212.25,754.34,0.0,754.34,159.26,4.7,4.7,0.0,0.0,0.0,0.0,0.0
2023-12-31,49.4,49.4,32.1,0.89,16.94,-0.53,7.9,7.37,7.37,0.0,7.37,2.98,4.39,0.0,4.39,159.26,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,43.63,43.63,29.25,0.88,9.84,3.66,10.64,14.3,14.3,0.0,14.3,6.48,7.82,0.0,7.82,159.41,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-30,909.11,909.11,40.57,0.89,18.84,848.81,8.63,857.44,857.44,0.0,857.44,224.4,633.04,0.0,633.04,159.53,4.0,3.9,0.0,0.0,0.0,0.0,0.0
2024-09-30,1217.11,1217.11,41.73,0.91,18.75,1155.72,10.03,1165.75,1165.75,0.0,1165.75,258.18,907.57,0.0,907.57,159.53,5.7,5.6,0.0,0.0,0.0,0.0,0.0
2024-12-31,70.82,70.82,42.25,0.91,22.68,4.98,9.57,14.55,14.55,0.0,14.55,3.86,10.69,0.0,10.69,159.53,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2025-03-31,64.64,64.64,33.53,1.55,27.18,2.38,9.28,11.66,11.66,0.0,11.66,4.09,7.57,0.0,7.57,159.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0
