Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Raw Materials,Trade/Other Goods,Capital Goods,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,64.49,64.49,1908.85,1908.85,0.0,1973.34,0.0,12.75,0.0,264.29,156.59,320.64,387.07,41.65,905.95,3143.58,483.24,10.9,2.06,0.0,496.2,1132.93,0.0,67.82,154.92,1851.87,233.83,663.96,148.45,128.95,89.63,26.89,1291.71,3143.58,879.8,20.3,162.76,212.0,55.5,2499.38,1100.45,0.0,233.83,0.0,140.0,6.83,3.59,251.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,64.5,64.5,2278.39,2278.39,0.0,2342.89,0.0,12.25,0.0,182.69,8.64,404.38,233.38,59.08,705.48,3231.06,458.0,23.56,2.07,0.0,483.63,1128.86,0.0,69.19,120.67,1802.35,206.18,791.59,130.55,96.97,170.32,33.1,1428.71,3231.06,819.27,28.32,207.09,102.73,55.5,3308.12,1100.26,0.0,198.19,1.7,155.85,5.08,3.56,168.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,129.02,129.02,2468.66,2468.66,0.0,2597.68,0.0,9.17,0.0,11.31,25.83,483.52,314.11,60.19,883.65,3492.64,436.18,17.95,36.54,0.0,490.67,1152.74,0.0,110.06,58.13,1811.6,337.98,767.56,192.1,134.54,221.71,27.15,1681.04,3492.64,923.26,23.8,174.94,118.34,120.01,3131.69,1114.12,0.0,322.98,2.14,207.38,13.82,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,129.05,129.05,2795.19,2795.19,0.0,2924.24,0.0,9.75,13.08,22.83,108.35,476.24,174.94,56.41,815.94,3763.01,473.91,21.58,7.94,23.86,527.29,1162.76,0.0,3.73,66.01,1759.79,501.49,1082.96,227.61,77.21,4.36,109.59,1990.77,3763.01,286.71,0.0,0.0,0.0,120.01,2361.48,1120.7,15.94,485.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,129.09,129.09,2912.1,2912.1,0.0,3041.19,0.0,18.05,9.5,27.55,122.38,586.65,184.94,57.18,951.15,4019.89,465.55,20.11,24.61,23.43,533.7,1057.32,0.0,3.73,90.66,1685.41,449.56,1313.18,288.15,60.81,2.69,220.09,2334.48,4019.89,411.95,208.72,0.0,324.86,120.01,2753.0,1019.76,25.24,424.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,129.0,129.0,3360.0,3360.0,0.0,3489.0,0.0,0.0,116.0,116.0,131.0,715.0,250.0,57.0,1153.0,4758.0,610.0,22.0,42.0,11.0,685.0,1060.0,188.0,15.0,96.0,2044.0,380.0,1234.0,430.0,339.0,3.0,328.0,2714.0,4758.0,515.0,154.58,0.0,401.22,120.01,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,129.0,129.0,2734.0,2734.0,25.0,2888.0,0.0,0.0,117.0,117.0,110.0,702.0,261.0,58.0,1131.0,4136.0,669.0,21.0,55.0,11.0,756.0,465.0,148.0,16.0,103.0,1488.0,628.0,1165.0,465.0,80.0,3.0,307.0,2648.0,4136.0,570.0,153.43,0.0,382.97,120.01,0.0,51.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,129.0,129.0,2877.0,2877.0,29.0,3035.0,0.0,0.0,115.0,115.0,142.0,841.0,333.0,16.0,1332.0,4482.0,632.0,26.0,14.0,11.0,683.0,715.0,176.0,16.0,83.0,1673.0,628.0,873.0,310.0,711.0,62.0,225.0,2809.0,4482.0,599.0,223.89,0.0,461.61,120.01,0.0,209.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,129.0,129.0,2893.0,2893.0,27.0,3049.0,0.0,0.0,89.0,89.0,95.0,1000.0,247.0,16.0,1358.0,4496.0,621.0,25.0,27.0,21.0,694.0,731.0,171.0,4.0,92.0,1692.0,641.0,1093.0,555.0,295.0,4.0,216.0,2804.0,4496.0,722.0,176.68,0.0,509.9,120.01,0.0,170.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,129.0,129.0,3505.0,3505.0,43.0,3677.0,0.0,0.0,91.0,91.0,59.0,1006.0,239.0,17.0,1321.0,5089.0,665.0,24.0,32.0,15.0,736.0,1250.0,118.0,4.0,107.0,2215.0,575.0,895.0,838.0,149.0,3.0,414.0,2874.0,5089.0,930.0,147.32,0.0,265.55,120.01,0.0,783.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,129.0,129.0,3468.0,3468.0,0.0,3597.0,0.0,0.0,91.0,91.0,123.0,913.0,236.0,5.0,1277.0,4965.0,698.0,23.0,38.0,15.0,774.0,1378.0,24.0,3.0,216.0,2395.0,239.0,936.0,870.0,36.0,107.0,382.0,2570.0,4965.0,888.0,339.75,0.0,362.69,120.01,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,129.0,129.0,4633.0,4633.0,0.0,4762.0,1.0,10.0,113.0,123.0,139.0,767.0,234.0,12.0,1152.0,6038.0,770.0,0.0,33.0,0.0,803.0,1320.0,0.0,163.0,159.0,2445.0,1367.0,804.0,935.0,127.0,4.0,356.0,3593.0,6038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
