Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,472.78,472.78,321.22,0.17,3.18,18.71,17.43,71.42,40.65,2.61,43.26,38.29,4.97,0.0,4.97,1.31,3.66,3.66,32.75,1.12,1.12,1.15,35.11,1.85,87.16,56.56
2015-09-30,409.11,409.11,289.06,0.43,3.9,16.93,17.7,56.94,24.15,2.63,26.78,40.48,-13.7,0.0,-13.7,-4.97,-8.73,-8.73,32.75,-2.67,-2.67,1.15,35.11,1.85,87.16,56.56
2015-12-31,342.84,342.84,241.94,24.45,-18.94,14.55,17.8,52.82,10.22,3.31,13.53,42.46,-28.93,0.0,-28.93,-9.97,-18.96,-18.96,32.75,-5.79,-5.79,0.0,0.0,0.0,0.0,0.0
2016-03-31,314.16,314.16,204.75,35.12,-5.63,18.25,18.06,50.64,-7.03,3.73,-3.3,43.26,-46.56,0.0,-46.56,-7.2,-39.36,-39.36,32.76,-12.02,-12.02,0.0,0.0,0.0,0.0,0.0
2016-06-30,378.57,378.57,263.34,5.87,13.33,16.25,19.35,57.94,2.49,1.31,3.8,44.88,-41.08,0.0,-41.08,-11.38,-29.7,-29.7,32.76,-9.07,-9.07,0.0,0.0,0.0,0.0,0.0
2016-09-30,364.88,364.88,292.15,0.05,-25.14,15.88,19.7,56.59,5.65,4.14,9.79,43.98,-34.19,0.0,-34.19,11.03,-45.22,-45.22,32.76,-13.8,-13.8,0.0,0.0,0.0,0.0,0.0
2016-12-31,348.18,348.18,209.21,0.26,29.14,17.75,19.71,50.59,21.52,5.75,27.27,41.44,-14.17,0.0,-14.17,-0.59,-13.58,-13.58,32.76,-4.15,-4.15,0.0,0.0,0.0,0.0,0.0
2017-03-31,454.39,454.39,297.19,0.0,-8.45,16.99,19.42,73.94,55.3,2.54,57.84,46.41,11.43,0.0,11.43,0.37,11.06,11.06,34.11,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2017-06-30,474.98,474.98,311.88,0.0,-3.7,19.65,22.43,75.43,49.29,3.33,52.62,45.6,7.02,0.0,7.02,0.3,6.72,6.72,34.11,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2017-09-30,454.69,454.69,291.81,0.0,-18.86,19.59,22.85,78.94,60.36,0.62,60.98,46.88,14.1,13.8,27.9,5.29,22.61,22.61,34.11,6.63,6.63,0.0,0.0,0.0,0.0,0.0
2017-12-31,573.71,573.71,294.66,7.17,53.81,20.47,22.31,73.29,102.0,0.42,102.42,45.68,56.74,-0.09,56.65,-7.56,64.21,64.21,34.11,18.82,18.82,0.0,0.0,0.0,0.0,0.0
2018-03-31,622.52,622.52,373.76,0.0,-10.3,20.38,21.89,85.66,131.13,3.84,134.97,46.65,88.32,-19.22,69.1,-19.3,88.4,88.4,34.11,25.09,25.09,0.0,0.0,0.0,0.0,0.0
2018-06-30,643.37,643.37,372.97,0.0,3.01,23.63,22.67,89.3,131.79,0.55,132.34,45.27,87.07,0.0,87.07,31.54,55.53,55.53,34.11,16.28,16.28,0.0,0.0,0.0,0.0,0.0
2018-09-30,712.51,712.51,403.01,15.21,-10.39,24.05,22.97,113.91,143.75,0.69,144.44,47.16,97.28,0.0,97.28,35.45,61.83,61.83,34.11,18.13,18.13,0.0,0.0,0.0,0.0,0.0
2018-12-31,753.29,753.29,435.52,24.52,-0.38,24.78,22.46,121.63,124.76,0.81,125.57,44.28,81.29,0.0,81.29,31.28,50.01,50.01,34.11,14.66,14.66,0.0,0.0,0.0,0.0,0.0
2019-03-31,766.08,766.08,481.41,16.54,-52.13,25.07,22.41,143.95,128.83,0.93,129.76,45.41,84.35,0.0,84.35,38.46,45.89,45.89,34.11,13.02,13.02,0.0,0.0,0.0,0.0,0.0
2019-06-30,727.5,727.5,441.12,9.9,-8.12,26.27,22.83,131.48,104.02,1.49,105.51,40.53,64.98,0.0,64.98,24.47,40.51,40.51,34.11,11.5,11.5,0.0,0.0,0.0,0.0,0.0
2019-09-30,680.29,680.29,361.35,11.26,16.03,26.96,23.2,153.58,87.91,0.87,88.78,39.75,49.03,0.0,49.03,16.18,32.85,32.85,34.11,9.32,9.32,0.0,0.0,0.0,0.0,0.0
2019-12-31,716.76,716.76,408.6,46.79,-9.03,27.62,23.35,148.78,70.65,2.98,73.63,37.98,35.65,0.0,35.65,14.56,21.09,21.09,34.11,6.18,6.18,0.0,0.0,0.0,0.0,0.0
2020-03-31,646.69,646.69,303.12,0.3,36.86,27.47,22.22,173.66,83.06,0.32,83.38,35.4,47.98,0.0,47.98,21.03,26.95,26.95,34.11,7.65,7.65,0.0,0.0,0.0,0.0,0.0
2020-06-30,573.98,573.98,272.8,5.83,5.26,27.29,24.31,166.46,72.03,0.88,72.91,33.75,39.16,0.0,39.16,14.54,24.62,24.62,34.11,6.99,6.99,0.0,0.0,0.0,0.0,0.0
2020-09-30,876.46,876.46,440.79,39.72,-38.56,31.38,24.6,203.21,175.32,0.51,175.83,31.55,144.28,0.0,144.28,50.11,94.17,94.17,34.11,26.72,26.72,0.0,0.0,0.0,0.0,0.0
2020-12-31,953.8,953.8,452.46,0.15,12.49,30.85,24.49,178.49,254.87,0.67,255.54,25.98,229.56,63.0,292.56,89.53,203.03,203.03,34.11,59.52,59.52,0.0,0.0,0.0,0.0,0.0
2021-03-31,1236.64,1236.64,510.26,25.42,-3.25,34.43,23.09,201.4,445.29,3.14,448.43,18.71,429.72,0.0,429.72,125.78,303.94,303.94,34.11,86.26,86.26,0.0,0.0,0.0,0.0,0.0
2021-06-30,1126.18,1126.18,460.36,0.0,-173.29,34.17,25.17,231.81,547.96,0.88,548.84,10.64,538.2,0.0,538.2,135.44,402.76,402.76,34.11,114.3,114.3,0.0,0.0,0.0,0.0,0.0
2021-09-30,1246.7,1246.7,492.51,29.56,31.98,35.13,25.21,241.96,390.35,2.52,392.87,3.51,389.36,0.0,389.36,97.67,291.69,291.69,34.11,82.78,82.78,0.0,0.0,0.0,0.0,0.0
2021-12-31,1401.48,1401.48,621.67,57.48,33.83,34.99,25.62,233.17,394.72,4.93,399.65,2.83,396.82,0.0,396.82,99.78,297.04,297.04,68.22,21.77,21.77,0.0,0.0,0.0,0.0,0.0
2022-03-31,1300.24,1300.24,557.05,56.23,62.23,39.0,25.75,213.77,346.21,10.01,356.22,0.37,355.85,98.74,454.59,95.12,359.47,359.47,68.22,26.35,26.35,0.0,0.0,0.0,0.0,0.0
2022-06-30,1482.68,1482.68,722.31,84.54,-50.37,40.68,26.26,257.22,402.04,11.37,413.41,2.51,410.9,2.08,412.98,109.2,303.78,303.78,68.22,22.26,22.26,0.0,0.0,0.0,0.0,0.0
2022-09-30,1201.05,1201.05,709.94,0.0,19.45,41.65,28.99,197.8,203.22,26.33,229.55,1.99,227.56,0.0,227.56,51.42,176.14,176.14,68.22,12.91,12.91,0.0,0.0,0.0,0.0,0.0
2022-12-31,1378.12,1378.12,742.01,223.7,-18.32,43.48,31.33,210.62,145.3,33.58,178.88,5.94,172.94,0.0,172.94,46.53,126.41,126.41,68.22,9.26,9.26,0.0,0.0,0.0,0.0,0.0
2023-03-31,1222.87,1222.87,589.16,44.33,45.69,46.69,30.42,222.63,243.95,24.96,268.91,4.76,264.15,0.0,264.15,72.25,191.9,191.9,68.22,14.06,14.06,0.0,0.0,0.0,0.0,0.0
2023-06-30,1206.94,1206.94,609.4,127.56,-59.16,45.44,31.22,183.59,268.89,19.04,287.93,6.71,281.22,17.84,299.06,75.42,223.64,223.64,65.72,17.01,17.01,0.0,0.0,0.0,0.0,0.0
2023-09-30,1217.92,1217.92,605.97,1.31,4.5,45.93,31.73,199.57,328.91,21.29,350.2,8.09,342.11,0.0,342.11,86.13,255.98,255.98,65.72,19.48,19.48,0.0,0.0,0.0,0.0,0.0
2023-12-31,1214.44,1214.44,663.21,0.18,-33.55,46.94,31.87,213.57,292.22,20.62,312.84,16.7,296.14,0.0,296.14,67.55,228.59,228.59,65.72,17.39,17.39,0.0,0.0,0.0,0.0,0.0
2024-03-31,1402.82,1402.82,657.74,16.5,87.29,51.68,32.32,269.21,288.08,28.81,316.89,18.77,298.12,-0.32,297.8,88.56,209.24,209.24,65.72,15.92,15.8,0.0,0.0,0.0,0.0,0.0
2024-06-30,1194.08,1194.08,626.07,0.0,-68.93,62.65,33.91,183.1,357.28,27.58,384.86,12.02,372.84,0.0,372.84,98.0,274.84,274.84,65.72,20.91,20.76,0.0,0.0,0.0,0.0,0.0
2024-09-30,1096.31,1096.31,555.2,0.0,38.52,65.87,34.93,206.77,195.02,24.43,219.45,10.75,208.7,0.0,208.7,54.14,154.56,154.56,64.65,11.95,11.87,0.0,0.0,0.0,0.0,0.0
2024-12-31,1095.26,1095.26,723.57,0.0,-92.58,63.49,32.48,200.08,168.22,22.5,190.72,10.8,179.92,0.0,179.92,44.17,135.75,135.75,64.65,2.1,2.08,0.0,0.0,0.0,0.0,0.0
2025-03-31,1275.59,1275.59,583.43,9.54,80.82,72.72,35.85,233.02,260.21,27.14,287.35,13.06,274.29,0.0,274.29,69.8,204.49,204.49,64.65,3.16,3.14,0.0,0.0,0.0,0.0,0.0
