Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Raw Materials,Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,32.76,32.76,731.57,731.57,764.32,777.67,57.7,3.21,2.11,840.68,288.7,203.02,139.66,3.29,634.66,2239.67,1224.48,23.5,65.18,0.0,1313.15,288.89,4.49,8.86,1615.38,0.0,284.14,77.07,14.4,248.68,0.0,624.28,2239.67,143.34,21.42,1.57,0.0,12.92,21.09,265.02,0.0,0.0,16.94,123.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,32.76,32.76,787.51,787.51,820.26,775.08,63.34,2.98,2.89,844.29,258.82,419.8,180.78,5.8,865.2,2529.76,1296.85,42.63,108.76,5.08,1453.32,294.18,4.51,15.66,1767.66,0.0,317.54,116.42,39.04,289.1,0.0,762.1,2529.76,98.49,20.15,0.0,0.0,12.92,0.0,293.95,0.0,0.0,132.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,32.76,32.76,724.12,724.12,756.87,841.24,41.42,2.37,3.83,888.86,276.99,431.46,255.11,0.23,963.8,2609.53,1261.21,86.75,157.56,8.15,1513.66,273.53,3.44,0.0,1790.64,0.0,400.12,89.89,72.11,256.77,0.0,818.89,2609.53,96.08,35.76,0.0,0.0,12.92,0.0,273.31,0.0,0.0,205.54,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,34.11,34.11,650.55,650.55,684.66,1360.61,0.0,1.83,5.79,1368.24,171.31,101.38,62.73,0.34,335.76,2388.66,1334.4,100.76,58.92,0.0,1494.08,279.76,0.0,4.9,1780.64,0.0,270.23,73.69,37.82,62.61,163.67,608.03,2388.66,87.2,0.0,0.0,0.0,12.92,0.0,279.6,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,34.11,34.11,833.23,833.23,867.34,1285.01,0.0,2.03,7.07,1294.11,129.76,142.01,149.91,0.43,422.11,2583.56,1284.07,123.84,88.59,0.0,1496.5,280.93,0.0,5.1,1840.14,0.0,383.61,107.85,39.82,68.58,143.55,743.41,2583.56,125.86,129.33,0.0,0.0,12.92,0.0,280.4,0.0,57.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,34.11,34.11,1043.39,1043.39,1077.5,1117.26,2.34,1.6,8.89,1130.08,127.54,182.23,145.32,0.59,455.68,2663.27,1311.51,113.27,44.84,0.0,1469.62,347.82,0.14,7.75,1825.32,0.0,558.36,123.13,28.09,0.0,128.37,837.95,2663.27,114.18,0.0,0.0,0.0,12.92,0.0,347.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,34.11,34.11,1163.11,1163.11,1197.22,1002.29,40.24,2.07,11.65,1056.25,152.71,129.8,90.21,0.71,373.43,2626.9,1368.89,102.94,52.9,0.0,1524.72,346.25,0.0,11.98,1882.96,0.0,445.86,155.38,16.83,0.0,125.87,743.94,2626.9,89.22,0.0,0.0,0.0,12.92,0.0,345.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,34.11,34.11,1771.88,1771.88,1805.99,411.16,161.15,2.95,13.88,589.14,78.89,195.83,130.18,0.77,405.68,2800.82,1313.46,92.75,60.98,0.0,1467.18,341.14,0.0,10.95,1819.27,0.0,498.09,266.13,48.03,0.0,169.29,981.54,2800.82,65.78,0.0,0.0,0.0,12.92,0.0,340.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,68.22,68.22,3025.53,3025.53,3093.75,0.0,149.78,14.06,23.23,187.06,395.51,464.64,139.68,1.24,1001.07,4281.88,1299.49,82.53,416.37,0.0,1798.39,341.35,0.0,83.5,2223.25,0.0,744.39,292.72,548.68,189.53,283.31,2058.63,4281.88,528.06,0.0,0.0,0.0,47.03,0.19,341.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,68.22,68.22,3694.03,3694.03,3762.25,0.0,173.72,0.0,32.1,205.82,142.96,463.66,88.01,1.84,696.47,4664.54,1674.27,72.67,239.88,0.0,1986.82,646.07,50.0,58.65,2741.53,43.21,670.55,267.41,650.45,115.45,175.94,1923.01,4664.54,533.34,939.68,0.0,540.75,47.03,0.0,646.07,43.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,65.72,65.72,4253.79,4253.79,4319.51,0.0,194.18,0.0,6.18,200.36,0.0,443.54,138.23,24.99,606.76,5126.62,1857.21,62.37,339.7,2.36,2261.64,646.1,50.0,54.95,3012.7,0.0,684.83,180.43,864.99,162.5,221.17,2113.92,5126.62,577.56,784.11,0.0,340.92,45.31,0.0,646.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
