Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Government/Other Grants,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Preference Share Capital,"Stores, Spares And Loose Tools",Trade/Other Goods,Intangible Assets,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Current Investments
2014-03-31,288.0,588.0,2374.41,-2143.62,230.79,818.79,0.0,0.0,0.0,260.97,104.38,365.35,875.93,2034.43,660.23,332.86,3903.44,5087.58,2451.29,21.15,0.0,2474.01,0.41,1.95,208.12,2684.48,96.21,1943.52,32.34,330.69,0.35,2403.1,5087.58,346.4,81.73,1.17,44.81,0.0,0.0,0.41,300.0,0.12,7.68,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,288.0,588.0,2360.41,-2427.85,-67.45,520.55,192.0,0.0,301.56,423.06,88.74,813.37,920.83,1864.7,676.67,352.53,3814.72,5340.64,2423.44,33.02,0.0,2456.46,0.41,2.52,377.91,2837.29,93.34,1840.81,271.22,297.75,0.23,2503.35,5340.64,594.85,7.71,0.09,0.0,0.0,0.0,0.41,300.0,0.07,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,288.0,588.0,2354.37,-2157.18,197.19,1085.19,192.0,0.0,300.0,242.35,83.91,626.26,838.91,1875.11,1275.43,241.9,4231.36,5834.81,2458.44,91.68,0.0,2550.12,0.41,0.23,1050.88,3601.63,103.83,1713.59,121.19,288.47,6.09,2233.18,5834.81,615.58,12.71,55.08,0.0,0.0,0.0,0.41,300.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,560.0,860.0,2348.31,-1848.96,499.35,1359.35,0.0,122.89,0.0,14.44,58.31,72.75,879.17,1976.0,954.29,148.37,3957.83,5512.83,2478.68,101.59,27.71,2607.98,0.41,0.26,0.0,2608.65,142.29,2195.95,166.31,333.48,66.15,2904.18,5512.83,989.13,0.0,0.0,0.0,0.0,0.0,0.41,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,760.0,760.0,2339.08,-1608.24,730.84,1490.84,137.0,119.09,300.0,18.15,68.0,386.15,926.32,2261.65,1566.44,120.06,4874.47,7007.55,2584.08,149.29,35.59,2768.97,0.41,0.18,5.88,2775.43,155.9,3079.94,324.75,385.48,286.07,4232.12,7007.55,1465.56,225.94,65.22,130.3,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,897.0,897.0,2334.57,-1492.88,841.7,1738.7,55.0,118.46,300.0,70.33,81.13,451.46,958.71,1804.86,1725.7,106.09,4595.35,6958.97,2626.96,164.85,67.56,2859.37,0.41,0.17,1.21,2861.15,148.76,2657.4,203.53,470.51,617.63,4097.83,6958.97,1794.69,71.62,31.64,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,925.12,925.12,2330.48,-923.91,1406.57,2331.69,0.0,114.07,180.0,133.93,74.34,388.27,1035.58,2183.05,1505.43,127.04,4851.1,7685.14,2625.29,188.63,67.48,2881.4,0.41,0.17,359.36,3241.34,173.34,2761.14,245.07,572.88,691.38,4443.8,7685.14,1147.85,31.84,12.15,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,933.52,933.52,0.0,1486.53,1486.53,2420.06,0.0,47.32,300.0,73.12,53.25,426.37,1164.26,1885.67,2794.88,136.65,5981.46,8875.19,2632.92,168.87,67.47,2869.25,0.41,0.07,352.73,3222.46,193.7,2552.1,547.64,557.64,1801.65,5652.73,8875.19,2165.71,16.97,2.75,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,933.52,933.52,0.0,1580.9,1580.9,2514.42,71.56,42.5,299.4,74.0,46.19,419.59,1312.59,2108.11,2919.69,153.99,6494.39,9542.46,2658.46,154.39,68.38,2881.24,0.41,0.0,236.26,3117.9,193.4,2729.9,306.61,753.05,2441.61,6424.56,9542.46,1998.04,0.53,9.47,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,949.58,949.58,0.0,1283.02,1283.02,2232.6,107.0,45.01,180.0,250.9,51.41,482.31,1695.84,1376.68,3322.77,194.42,6589.7,9456.62,2684.08,138.63,68.28,2890.99,0.41,0.0,196.5,3087.9,249.75,2429.28,214.84,733.03,2741.83,6368.73,9456.62,1816.86,5.21,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,960.89,960.89,0.0,788.58,788.58,1749.46,0.0,44.96,120.0,188.88,53.63,362.52,1675.46,1557.47,4016.34,156.96,7406.23,9563.18,2663.79,142.28,68.18,2874.25,0.41,0.0,115.32,2989.98,222.2,2440.81,832.42,799.58,2278.19,6573.2,9563.18,2477.33,3.75,0.0,7.64,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
