Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2014-03-31,28.12,28.12,485.2,485.2,513.32,8.28,98.63,1.14,108.05,49.83,78.59,162.25,42.52,333.2,954.57,263.7,0.02,0.29,0.0,264.02,24.84,11.8,161.22,86.3,548.18,15.19,34.07,117.09,11.18,146.57,82.3,406.39,954.57,383.64,0.0,0.0,2.27,567.19,13.5,0.17,24.69,0.0,15.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,28.12,28.12,541.08,541.08,569.21,0.16,67.13,1.72,69.01,88.05,70.51,177.5,29.19,365.24,1003.46,224.27,0.01,2.63,0.0,226.91,22.77,23.92,178.59,73.22,525.4,8.74,35.91,176.5,15.73,150.62,90.56,478.06,1003.46,176.24,1.18,1.7,0.04,636.9,13.5,0.28,22.58,0.0,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,28.12,28.12,698.84,698.84,726.96,6.98,178.67,2.31,187.95,105.53,112.08,94.6,50.94,363.14,1278.05,240.82,0.03,5.94,0.0,246.79,35.48,27.59,390.18,68.87,768.91,7.91,35.35,129.36,16.14,227.59,92.8,509.15,1278.05,76.01,0.68,4.45,0.05,1936.27,13.5,0.26,35.29,0.0,7.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,28.12,28.12,867.35,867.35,895.47,130.28,29.71,1.73,161.72,0.0,134.39,413.53,12.81,560.73,1617.93,260.69,0.02,1.53,61.48,323.71,479.75,81.55,3.13,81.97,970.11,55.34,57.36,163.96,24.64,31.77,314.76,647.82,1617.93,97.31,0.18,2.83,0.16,0.0,13.5,0.0,479.75,40.25,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,28.12,28.12,1129.71,1129.71,1157.83,211.85,24.24,4.22,240.3,0.0,210.17,343.33,14.21,567.71,1965.84,331.37,0.15,0.02,62.04,393.58,510.0,140.76,1.63,92.58,1138.54,25.61,71.18,231.98,43.85,26.31,428.36,827.3,1965.84,501.74,0.54,18.85,0.13,0.0,13.5,0.0,510.0,0.0,25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,28.12,28.12,1386.19,1386.19,1414.31,221.24,13.4,4.67,239.31,16.94,223.61,364.39,11.76,616.7,2270.32,370.92,0.11,0.01,63.0,434.03,620.01,173.91,2.61,134.67,1365.23,24.74,95.09,234.41,13.02,3.94,533.89,905.1,2270.32,643.83,0.7,0.0,0.0,0.0,13.5,0.0,130.03,0.1,24.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,28.12,28.12,1595.76,1595.76,1623.89,180.46,11.75,5.88,198.09,33.64,251.1,593.73,17.34,895.81,2717.79,380.37,0.15,10.15,65.88,456.56,324.17,160.99,2.84,112.2,1056.75,0.0,123.16,476.11,33.05,2.87,1025.85,1661.04,2717.79,564.4,0.56,2.85,0.03,0.0,13.5,0.0,138.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,56.25,56.25,1811.58,1811.58,1867.83,0.0,11.11,8.66,19.76,0.71,239.71,766.94,25.73,1033.09,2920.69,339.15,0.07,2.38,65.88,407.48,489.83,148.6,2.98,102.59,1151.47,0.0,147.99,863.21,117.33,7.57,633.12,1769.21,2920.69,374.5,0.42,9.98,0.0,0.0,41.65,0.0,248.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,56.25,56.25,2185.72,2185.72,2241.97,0.0,17.03,9.97,27.0,0.0,294.55,741.99,23.96,1060.49,3329.46,423.7,0.05,20.62,65.88,510.25,341.36,118.26,3.13,202.22,1175.21,0.1,227.04,849.39,173.3,10.1,894.32,2154.25,3329.46,755.5,0.0,0.0,5.93,0.0,41.65,0.0,85.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,56.25,56.25,2678.03,2678.03,2734.28,0.0,16.94,11.51,28.44,0.25,376.04,546.03,14.58,936.91,3699.62,415.32,0.05,2.51,65.88,483.77,524.39,122.93,3.29,155.48,1289.86,0.0,234.07,983.44,199.85,0.11,992.28,2409.76,3699.62,666.33,0.0,0.0,1.71,0.0,41.65,0.0,197.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,56.25,56.25,3169.41,3169.41,3225.66,0.0,14.93,6.63,21.56,0.0,273.89,708.64,8.0,990.52,4237.75,370.52,0.04,2.18,66.35,439.1,661.98,136.75,3.47,138.04,1379.34,0.0,220.72,1364.22,234.6,1.84,1037.03,2858.41,4237.75,904.2,0.0,0.0,7.63,0.0,41.65,0.0,350.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
