Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-03-31,256.21,-0.54,255.67,97.02,11.03,12.57,0.0,112.92,22.13,5.4,27.53,3.18,24.35,0.0,24.35,-0.03,24.39,0.0,24.39,28.12,8.67,8.67,0.97,34.48,1.84,100.0,65.52
2015-06-30,174.63,-3.42,171.21,83.94,9.84,10.54,0.0,52.86,14.03,5.59,19.61,2.53,17.08,0.0,17.08,2.06,15.01,0.0,15.01,28.12,5.34,5.34,1.1,39.14,1.71,100.0,60.86
2015-09-30,212.67,4.28,216.94,66.15,11.54,10.78,0.0,100.11,28.36,7.9,36.26,3.45,32.81,0.0,32.81,-22.54,55.36,0.0,55.36,28.12,19.68,19.68,1.1,39.25,1.71,100.0,60.75
2015-12-31,203.49,15.07,218.56,58.41,10.57,10.83,0.0,103.01,35.73,1.63,37.37,2.6,34.76,0.0,34.76,1.96,32.8,0.0,32.8,28.12,11.66,11.66,1.1,39.25,1.71,100.0,60.75
2016-03-31,294.32,1.52,295.84,70.67,11.57,10.99,0.0,168.47,34.15,15.37,49.52,4.04,45.48,0.0,45.48,5.71,39.77,18.18,57.95,28.12,20.61,20.61,1.1,39.25,1.71,100.0,60.75
2016-06-30,303.64,-0.47,303.17,79.32,12.87,13.17,0.0,167.29,30.52,5.85,36.37,4.28,32.1,0.0,32.1,1.88,30.21,0.0,30.21,28.12,10.74,10.74,1.1,39.25,1.71,100.0,60.75
2016-09-30,363.24,10.26,373.5,77.74,12.99,14.63,0.0,226.79,41.34,13.22,54.56,5.56,49.0,0.0,49.0,5.07,43.93,0.0,43.93,28.12,15.62,15.62,1.18,41.91,1.63,100.0,58.09
2016-12-31,380.55,1.73,382.28,80.56,14.81,16.59,0.0,229.22,41.1,10.22,51.33,6.64,44.69,-10.87,33.82,3.15,30.67,0.0,30.67,28.12,2.18,2.18,5.89,41.91,8.17,100.0,58.09
2017-03-31,485.11,-3.01,482.1,97.47,14.56,19.49,72.87,224.98,52.74,0.98,53.72,5.42,48.3,0.0,48.3,-4.14,52.43,0.0,52.43,28.12,3.73,3.73,0.0,0.0,0.0,0.0,0.0
2017-06-30,480.75,0.0,480.75,101.27,14.81,24.38,0.0,280.14,60.15,12.26,72.41,5.19,67.22,0.0,67.22,-0.37,67.59,0.0,67.59,28.12,4.81,4.81,0.0,0.0,0.0,0.0,0.0
2017-09-30,393.34,0.0,393.34,112.16,19.26,23.53,0.0,179.43,58.96,2.69,61.65,4.26,57.4,0.0,57.4,-1.67,59.07,0.0,59.07,28.12,4.2,4.2,0.0,0.0,0.0,0.0,0.0
2017-12-31,433.19,0.0,433.19,127.62,18.08,37.14,0.0,189.11,61.24,6.08,67.33,4.9,62.43,0.0,62.43,-3.27,65.69,0.0,65.69,28.12,4.67,4.67,0.0,0.0,0.0,0.0,0.0
2018-03-31,624.37,0.0,624.37,164.46,19.97,49.1,0.0,319.22,71.62,18.28,89.9,8.79,81.11,0.0,81.11,1.37,79.74,0.0,79.74,28.12,5.67,5.67,0.0,0.0,0.0,0.0,0.0
2018-06-30,556.36,0.0,556.36,136.98,19.59,36.0,0.0,289.92,73.86,17.76,91.62,7.19,84.42,0.0,84.42,10.42,74.0,0.0,74.0,28.12,5.26,5.26,0.0,0.0,0.0,0.0,0.0
2018-09-30,416.29,0.0,416.29,165.22,24.93,39.26,0.0,143.0,43.88,8.81,52.69,7.42,45.27,0.0,45.27,0.26,45.0,0.0,45.0,28.12,3.2,3.2,0.0,0.0,0.0,0.0,0.0
2018-12-31,448.89,0.0,448.89,148.03,23.57,45.0,0.0,187.18,45.12,21.67,66.78,7.26,59.53,0.0,59.53,7.42,52.11,0.0,52.11,28.12,3.71,3.71,0.0,0.0,0.0,0.0,0.0
2019-03-31,715.71,0.0,715.71,192.97,24.77,47.84,0.0,353.87,96.26,15.14,111.41,7.49,103.92,-2.55,101.37,9.22,92.15,0.0,92.15,28.12,6.55,6.55,0.0,0.0,0.0,0.0,0.0
2019-06-30,464.6,0.0,464.6,185.99,27.14,38.87,0.0,161.46,51.15,16.78,67.92,9.04,58.88,0.0,58.88,11.17,47.72,0.0,47.72,28.12,3.39,3.39,0.0,0.0,0.0,0.0,0.0
2019-09-30,546.2,0.0,546.2,172.08,36.28,47.52,0.0,212.05,78.26,25.56,103.82,9.76,94.06,-4.01,90.05,19.96,70.09,0.0,70.09,28.12,4.98,4.98,0.0,0.0,0.0,0.0,0.0
2019-12-31,557.88,0.0,557.88,175.2,30.3,51.69,0.0,227.99,72.7,6.97,79.67,14.15,65.52,-6.72,58.8,18.6,40.21,0.0,40.21,28.12,2.86,2.86,0.0,0.0,0.0,0.0,0.0
2020-03-31,675.56,0.0,675.56,220.01,31.5,53.76,0.0,277.17,93.12,7.28,100.4,14.46,85.94,0.0,85.94,18.73,67.21,0.0,67.21,28.12,4.78,4.78,0.0,0.0,0.0,0.0,0.0
2020-06-30,479.37,0.0,479.37,189.85,27.76,33.09,0.0,167.42,61.24,6.1,67.34,10.21,57.13,0.0,57.13,17.34,39.79,0.0,39.79,28.12,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2020-09-30,601.2,0.0,601.2,190.45,29.26,35.18,0.0,257.45,88.87,7.59,96.46,15.79,80.67,-11.25,69.42,19.59,49.83,0.0,49.83,28.12,3.54,3.54,0.0,0.0,0.0,0.0,0.0
2020-12-31,686.27,0.0,686.27,214.09,40.24,37.33,0.0,296.68,97.94,26.58,124.51,18.4,106.11,0.0,106.11,28.53,77.58,0.0,77.58,28.12,5.52,5.52,0.0,0.0,0.0,0.0,0.0
2021-03-31,935.79,0.0,935.79,332.06,34.83,38.77,0.0,386.71,143.42,9.38,152.79,4.32,148.48,0.0,148.48,71.5,76.98,0.0,76.98,56.25,2.74,2.74,0.0,0.0,0.0,0.0,0.0
2021-06-30,739.98,0.0,739.98,329.24,33.5,26.93,0.0,233.94,116.36,4.8,121.17,7.9,113.27,0.0,113.27,40.26,73.01,0.0,73.01,56.25,2.6,2.6,0.0,0.0,0.0,0.0,0.0
2021-09-30,755.57,0.0,755.57,274.57,36.06,31.97,0.0,277.4,135.57,10.54,146.11,7.19,138.91,0.0,138.91,43.67,95.24,0.0,95.24,56.25,3.39,3.39,0.0,0.0,0.0,0.0,0.0
2021-12-31,766.3,0.0,766.3,270.18,34.25,35.82,0.0,302.98,123.08,7.83,130.91,6.35,124.56,21.4,145.95,45.19,100.76,0.0,100.76,56.25,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2022-03-31,1010.74,0.0,1010.74,306.72,40.97,39.87,0.0,455.05,168.14,18.51,186.65,6.0,180.64,0.0,180.64,67.86,112.79,0.0,112.79,56.25,4.01,4.01,0.0,0.0,0.0,0.0,0.0
2022-06-30,890.6,0.0,890.6,433.11,38.58,32.67,0.0,253.93,132.31,9.08,141.38,6.93,134.45,0.0,134.45,33.61,100.84,0.0,100.84,56.25,3.59,3.59,0.0,0.0,0.0,0.0,0.0
2022-09-30,847.4,0.0,847.4,315.41,46.94,36.61,0.0,296.29,152.15,7.57,159.72,8.4,151.32,0.0,151.32,43.76,107.55,0.0,107.55,56.25,3.82,3.82,0.0,0.0,0.0,0.0,0.0
2022-12-31,830.21,0.0,830.21,336.24,44.46,38.09,0.0,293.48,117.94,5.87,123.82,15.96,107.86,137.97,245.82,83.99,161.84,0.0,161.84,56.25,5.75,5.75,0.0,0.0,0.0,0.0,0.0
2023-03-31,1175.59,0.0,1175.59,409.99,41.02,40.05,0.0,512.63,171.89,9.57,181.45,7.97,173.48,0.0,173.48,44.88,128.6,0.0,128.6,56.25,4.57,4.57,0.0,0.0,0.0,0.0,0.0
2023-06-30,929.59,0.0,929.59,390.04,39.27,28.34,0.0,327.02,144.91,7.07,151.98,5.02,146.96,0.0,146.96,36.7,110.26,0.0,110.26,56.25,3.92,3.92,0.0,0.0,0.0,0.0,0.0
2023-09-30,941.47,0.0,941.47,378.83,41.64,31.06,0.0,354.74,135.2,5.02,140.21,5.79,134.43,0.0,134.43,34.57,99.86,0.0,99.86,56.25,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2023-12-31,905.43,0.0,905.43,376.38,49.4,32.54,0.0,332.3,114.81,6.02,120.83,7.21,113.62,0.0,113.62,28.09,85.53,0.0,85.53,56.25,3.04,3.04,0.0,0.0,0.0,0.0,0.0
2024-03-31,1314.5,0.0,1314.5,514.9,43.24,32.56,0.0,542.26,181.54,124.06,305.6,11.28,294.32,0.0,294.32,96.14,198.18,0.0,198.18,56.25,7.05,7.05,0.0,0.0,0.0,0.0,0.0
2024-06-30,880.18,0.0,880.18,365.47,41.92,22.52,0.0,280.74,169.52,19.6,189.12,4.06,185.06,0.0,185.06,51.17,133.89,0.0,133.89,56.25,4.76,4.76,0.0,0.0,0.0,0.0,0.0
2024-09-30,883.8,0.0,883.8,387.89,52.56,22.61,0.0,278.55,142.19,297.0,439.19,2.04,437.15,-15.01,422.14,87.74,334.4,0.0,334.4,56.25,11.89,11.89,0.0,0.0,0.0,0.0,0.0
2024-12-31,743.47,0.0,743.47,338.89,41.35,22.86,0.0,211.65,128.73,116.55,245.28,3.08,242.2,0.0,242.2,60.01,182.19,0.0,182.19,56.25,6.48,6.48,0.0,0.0,0.0,0.0,0.0
