Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Capital Goods,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Raw Materials,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,8245.46,8245.46,77569.86,77569.86,85815.32,62405.75,1051.61,4122.34,879.36,68459.06,0.0,6633.34,11343.86,7302.6,25279.8,179554.18,71865.86,244.97,44886.74,1.93,0.0,116999.5,8120.9,12776.22,1786.77,139683.39,1636.96,5373.35,5220.08,15311.37,3117.08,9211.95,39870.79,179554.18,81582.53,2472.14,855.77,3.13,0.0,81.36,8108.9,1636.96,115.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,8245.46,8245.46,73411.89,73411.89,81657.35,78532.33,979.07,4280.74,1115.71,84907.85,0.0,5953.15,16807.62,7758.75,30519.52,197084.72,78586.91,262.16,56463.11,30.38,0.0,135342.56,7154.07,15527.89,1696.77,159721.29,1878.06,7453.0,7604.37,12878.81,2407.59,5141.6,37363.43,197084.72,65900.89,2788.44,882.11,3.41,0.0,97.08,7142.07,1878.06,80.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,8245.46,8245.46,83048.24,83048.24,91293.7,85096.95,1152.21,3057.32,436.41,89742.89,1299.5,5311.64,20714.9,6775.69,34101.73,215138.32,91499.36,273.89,66205.59,217.61,0.0,158196.45,8014.32,440.93,18730.17,185381.87,378.72,7010.37,7732.22,4460.78,251.78,9922.58,29756.45,215138.32,96434.18,0.0,5376.9,5.82,0.0,76.8,7937.52,378.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,8245.46,8245.46,87985.77,87985.77,96231.23,97339.28,1484.84,2277.79,463.15,101565.06,3000.56,4876.08,22939.64,7964.92,38781.2,236577.49,99062.7,293.02,80302.46,434.63,0.0,180092.81,8248.11,530.59,18783.25,207654.76,0.0,6504.81,8137.92,2930.49,236.92,11112.59,28922.73,236577.49,94612.99,0.0,0.0,0.0,0.0,112.08,8136.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,8245.46,8245.46,93532.31,93532.31,101777.77,108697.6,2408.63,2188.0,480.9,113775.13,6500.32,5592.64,24458.87,8088.83,44640.66,260193.56,120720.61,331.6,77313.87,469.36,0.0,198835.44,10047.48,655.67,13201.54,222740.13,0.0,6057.38,7577.97,3978.38,280.22,19559.48,37453.43,260193.56,89398.18,0.0,3565.46,2.01,0.0,104.88,9942.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,9894.56,9894.56,97513.61,97513.61,107408.17,119698.08,4200.14,1362.46,588.74,125849.42,15502.9,7550.94,27725.98,6840.36,57620.18,290877.77,125290.68,329.94,90808.89,397.8,0.0,216827.31,13145.94,544.38,14693.59,245211.22,0.0,7988.02,8433.86,2144.34,305.79,26794.54,45666.55,290877.77,97370.02,0.0,0.0,0.0,1649.09,88.14,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,9894.56,9894.56,103674.88,103674.88,113569.44,146538.7,8093.98,1262.13,826.74,156721.55,14049.36,9000.63,27687.3,6639.17,57376.46,327667.45,156273.02,538.28,73066.76,292.52,0.0,230170.58,26400.89,600.26,12547.78,269719.51,0.0,10731.86,15668.11,2209.11,308.56,29030.3,57947.94,327667.45,112448.68,1580.74,1980.62,0.0,1649.09,46.5,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,9696.67,9696.67,109288.82,109288.82,118985.49,151229.62,9160.99,2582.49,826.25,163799.35,12859.74,7182.47,33116.29,7276.05,60434.55,343219.39,163892.12,556.74,75343.6,94.9,0.0,239887.36,28125.65,1498.12,14978.86,284489.99,499.99,9178.94,13701.72,2338.46,416.82,32593.47,58729.4,343219.39,127550.29,1144.69,1735.64,0.0,1616.11,93.3,3.78,499.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,9696.67,9696.67,118354.4,118354.4,128051.07,147374.75,10006.29,2786.77,1446.02,161613.83,23272.33,9326.31,25137.5,7095.76,64831.9,354496.8,179580.37,485.41,68598.66,98.47,0.0,248762.91,29881.07,1288.4,13101.2,293033.58,0.0,9487.21,22293.32,2455.59,477.7,26749.4,61463.22,354496.8,67976.31,1505.23,1475.77,0.0,1616.11,98.7,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,9696.67,9696.67,129193.21,129193.21,138889.88,156315.69,10614.07,1391.89,1727.78,170049.43,28681.96,12007.34,25288.4,7470.25,73447.95,382387.26,196441.71,454.17,61743.88,44.92,465.18,259149.86,29719.75,1233.47,15676.35,305779.43,50.0,13679.75,24741.45,3741.73,312.45,34082.45,76607.83,382387.26,65555.58,0.0,0.0,0.0,1616.11,102.3,528.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,9696.67,9696.67,140188.35,140188.35,149885.02,146159.07,13066.53,1373.39,1898.03,162497.02,39059.55,9474.66,26002.07,6376.21,80912.49,393294.53,211323.43,427.69,47153.81,3.19,859.9,259768.02,33107.93,800.66,13734.78,307411.39,50.0,17369.83,27347.52,4600.5,415.85,36099.44,85883.14,393294.53,73570.22,0.0,0.0,0.0,1616.11,223.2,478.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
