Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-03-31,7811.32,0.0,7811.32,0.0,472.57,2406.5,814.67,4117.58,287.61,4405.19,2005.51,2399.68,0.0,2399.68,553.55,1846.13,0.0,158.55,2004.68,5231.59,0.0,3.53,3.53,0.0,0.0,0.0,0.0,0.0
2018-06-30,8127.1,0.0,8127.1,0.0,452.13,2450.61,747.88,4476.48,300.57,4777.05,2140.61,2636.44,0.0,2636.44,605.27,2031.17,0.0,209.37,2240.54,5231.59,0.0,4.28,4.28,0.0,0.0,0.0,0.0,0.0
2018-09-30,8283.03,0.0,8283.03,0.0,452.94,2548.28,857.62,4424.19,406.92,4831.11,2309.53,2521.58,0.0,2521.58,617.03,1904.55,0.0,404.94,2309.49,5231.59,0.0,4.42,4.42,0.0,0.0,0.0,0.0,0.0
2018-12-31,8471.17,0.0,8471.17,0.0,474.95,2604.74,426.82,4964.66,419.04,5383.7,2275.29,3108.41,0.0,3108.41,617.67,2490.74,0.0,-159.57,2331.17,5231.59,0.0,4.45,4.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,9218.08,0.0,9218.08,0.0,403.55,2597.04,1021.11,5196.38,392.16,5588.54,2365.99,3222.55,0.0,3222.55,-5256.77,8479.32,0.0,-5425.36,3053.96,5231.59,0.0,5.84,5.84,0.0,0.0,0.0,0.0,0.0
2019-06-30,8804.11,0.0,8804.11,0.0,498.01,2659.05,409.68,5237.37,424.26,5661.63,2359.09,3302.54,0.0,3302.54,868.35,2434.19,0.0,-6.3,2427.89,5231.59,0.0,4.64,4.64,0.0,0.0,0.0,0.0,0.0
2019-09-30,8684.98,0.0,8684.98,0.0,484.62,2748.16,643.45,4808.75,498.2,5306.95,2376.14,2930.81,0.0,2930.81,755.54,2175.27,0.0,351.87,2527.14,5231.59,0.0,4.83,4.83,0.0,0.0,0.0,0.0,0.0
2019-12-31,8991.98,0.0,8991.98,0.0,479.1,2802.41,636.64,5073.83,504.92,5578.75,2474.04,3104.71,0.0,3104.71,793.31,2311.4,0.0,362.09,2673.49,5231.59,0.0,5.11,5.11,0.0,0.0,0.0,0.0,0.0
2020-03-31,9704.47,0.0,9704.47,0.0,497.74,2863.56,1134.58,5208.59,705.05,5913.64,2604.35,3309.29,0.0,3309.29,1102.37,2206.92,0.0,975.74,3182.66,5231.59,0.0,6.09,6.09,0.0,0.0,0.0,0.0,0.0
2020-06-30,8988.72,0.0,8988.72,0.0,486.06,2797.02,625.49,5080.15,631.41,5711.56,2278.6,3432.96,-1075.0,2357.96,773.11,1584.85,0.0,394.06,1978.91,5231.59,0.0,3.78,3.03,0.0,0.0,0.0,0.0,0.0
2020-09-30,9057.89,0.0,9057.89,0.0,489.43,2896.65,597.41,5074.4,832.25,5906.65,2095.03,3811.62,-11.86,3799.76,682.35,3117.41,0.0,0.0,3117.41,5231.59,0.0,5.96,5.97,0.0,0.0,0.0,0.0,0.0
2020-12-31,9676.55,0.0,9676.55,0.0,483.16,2992.75,732.86,5467.78,634.8,6102.58,2151.07,3951.51,379.51,4331.02,1007.17,3323.85,0.0,0.0,3323.85,5231.59,0.0,6.35,6.35,0.0,0.0,0.0,0.0,0.0
2021-03-31,9942.49,0.0,9942.49,0.0,652.09,3025.26,543.21,5721.93,763.0,6484.93,1976.31,4508.62,-366.5,4142.12,626.51,3515.61,0.0,0.0,3515.61,5231.59,0.0,6.72,6.72,0.0,0.0,0.0,0.0,0.0
2021-06-30,9776.62,0.0,9776.62,0.0,518.25,3026.68,686.01,5545.68,508.76,6054.44,2297.58,3756.86,3169.58,6926.44,1359.03,5567.41,0.0,0.0,5567.41,5231.59,0.0,8.72,8.72,0.0,0.0,0.0,0.0,0.0
2021-09-30,9929.24,0.0,9929.24,0.0,537.92,3143.45,606.21,5641.66,542.76,6184.42,1959.02,4225.4,-338.11,3887.29,549.02,3338.27,0.0,0.0,3338.27,6975.45,0.0,4.79,4.79,0.0,0.0,0.0,0.0,0.0
2021-12-31,10001.0,0.0,10001.0,0.0,611.05,3192.96,701.64,5495.35,635.56,6130.91,1851.68,4279.23,-67.38,4211.85,862.41,3349.44,0.0,0.0,3349.44,6975.45,0.0,4.8,4.9,0.0,0.0,0.0,0.0,0.0
2022-03-31,10221.23,0.0,10221.23,0.0,567.54,3187.49,777.76,5688.44,720.7,6409.14,2102.66,4306.48,-45.24,4261.24,-59.4,4320.64,0.0,0.0,4320.64,6975.45,0.0,6.2,6.2,0.0,0.0,0.0,0.0,0.0
2022-06-30,10446.08,0.0,10446.08,0.0,560.56,3202.62,1083.8,5599.1,570.8,6169.9,1981.75,4188.15,80.0,4268.15,502.29,3765.86,0.0,0.0,3765.86,6975.45,0.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0
2022-09-30,10655.7,0.0,10655.7,0.0,658.49,3219.27,1039.06,5738.88,534.72,6273.6,2205.81,4067.79,-34.06,4033.73,382.69,3651.04,0.0,0.0,3651.04,6975.45,0.0,5.23,5.23,0.0,0.0,0.0,0.0,0.0
