Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,"Stores, Spares And Loose Tools",Deferred Tax Assets [Net],Raw Materials,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,5231.59,5231.59,29228.04,29228.04,34459.63,76790.22,2442.96,5854.76,524.37,85612.31,2700.0,329.07,15520.04,968.02,19517.13,139589.07,72501.95,652.12,31502.41,349.0,17625.3,122630.78,814.33,4552.99,0.0,127998.1,184.35,712.4,1578.46,4417.52,472.04,1735.63,9100.4,139589.07,35582.73,4767.62,547.61,294.07,22.6,0.0,81.36,802.33,0.0,184.35,0.0,2490.57,18.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,5231.59,5231.59,32935.0,32935.0,38166.59,89375.84,2472.15,1097.88,580.23,93526.1,1200.0,392.97,19040.36,1211.95,21845.28,158300.88,88902.51,783.7,39670.9,211.29,0.0,129568.4,740.99,4177.89,15883.5,150370.78,185.43,717.75,2118.65,2062.98,566.42,2278.87,7930.1,158300.88,32089.37,3718.56,424.64,0.0,38.04,0.0,97.08,728.99,0.0,185.43,4762.91,0.0,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,5231.59,5231.59,37502.38,37502.38,42733.97,100239.75,2489.37,7061.81,650.45,110441.38,2000.0,313.89,21391.3,1548.38,25253.57,178428.92,114207.36,950.54,33778.58,172.11,9859.27,158967.86,771.28,4838.56,0.0,164577.7,35.64,823.68,2737.97,2453.72,794.0,3136.79,9981.8,178428.92,43196.44,2481.15,468.87,0.0,20.28,0.0,76.8,759.28,0.0,35.64,0.0,3869.42,16.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,5231.59,5231.59,44575.66,44575.66,49807.25,110963.17,2550.54,927.44,789.56,115230.71,1500.0,413.98,27190.31,537.21,29641.5,194679.46,134252.57,1255.39,35806.8,77.33,0.03,171392.12,1327.55,3618.41,7183.73,183521.81,2.5,906.95,3221.1,3340.59,35.14,3651.37,11157.65,194679.46,42848.64,0.0,0.0,0.0,0.0,0.0,112.08,1215.47,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,5231.59,5231.59,49183.37,49183.37,54414.96,122420.32,2569.5,916.76,716.87,126623.45,1000.0,240.34,29567.42,1059.58,31867.34,212905.75,152243.89,1366.46,30261.17,45.95,0.03,183917.5,1608.24,8253.12,6511.86,200290.72,0.0,1038.45,3638.96,2170.43,46.88,5720.31,12615.03,212905.75,31138.84,2853.36,728.38,0.0,26.01,0.0,104.88,1503.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,5231.59,5231.59,53785.55,53785.55,59017.14,131039.51,10093.02,4384.01,368.15,145884.69,4300.0,364.11,36206.47,700.59,41571.17,246473.0,162266.88,1593.1,33364.02,214.06,0.03,197438.09,2756.53,10708.99,9613.81,220517.42,0.0,1226.28,4628.74,4332.04,416.87,15351.65,25955.58,246473.0,23953.95,4788.68,1047.69,0.0,24.89,0.0,88.14,2668.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,5231.59,5231.59,59208.1,59208.1,64439.69,135421.11,11381.85,3876.67,424.71,151104.34,3000.0,225.72,36037.96,741.95,40005.63,255549.66,168339.02,1497.41,30180.08,219.55,0.03,200236.09,3763.66,12783.75,10233.98,227017.48,0.0,1400.56,4867.9,5394.5,696.87,16172.35,28532.18,255549.66,26621.71,1414.29,1234.75,0.0,35.15,0.0,46.5,3717.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,5231.59,5231.59,64347.25,64347.25,69578.84,129080.07,11941.88,3932.11,461.93,145415.99,1800.0,186.3,36514.92,835.88,39337.1,254331.93,175392.06,1551.44,17896.67,74.86,0.03,194915.06,4265.36,10474.09,9061.0,218715.51,0.0,1362.82,3621.34,5273.54,5428.83,19929.89,35616.42,254331.93,22928.31,671.71,857.56,0.0,16.3,0.0,93.3,4172.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6975.45,6975.45,69176.12,69176.12,76151.57,114199.4,11424.78,3790.93,517.05,129932.16,20465.87,266.14,20129.59,932.31,41793.91,247877.64,178175.63,1556.13,7344.46,31.53,0.0,187107.75,7228.53,14269.78,8942.19,217548.25,0.0,1352.6,9106.82,2971.04,328.27,16570.66,30329.39,247877.64,19183.04,343.37,533.85,0.0,27.23,1743.86,1926.43,5302.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6975.45,6975.45,75857.51,75857.51,82832.96,113891.29,10631.12,3823.4,577.61,128923.42,12703.61,325.02,20727.14,781.41,34537.18,246293.56,170801.36,1476.19,7668.13,31.08,0.0,179976.76,7414.95,16897.29,9777.78,214066.78,0.0,1323.55,12381.52,4734.44,455.1,13332.17,32226.78,246293.56,33640.3,367.72,1022.28,0.0,46.64,1743.86,1774.46,5640.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,9300.6,9300.6,77566.45,77566.45,86867.05,105066.95,9981.4,3595.23,643.11,119286.69,18381.67,354.07,19948.57,583.36,39267.67,245421.41,161333.81,1366.7,9581.16,91.01,1.84,172374.52,8731.63,21502.52,9514.67,212123.34,608.26,1303.73,10825.8,5026.73,450.49,15083.06,33298.07,245421.41,53240.36,105.0,1951.4,0.0,51.6,4069.01,1515.93,7215.7,608.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
