Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Intangible Assets,Capital Work-In-Progress,Non-Current Investments,Long Term Loans And Advances,Money Received Against Share Warrants,Equity Share Application Money,Short Term Borrowings,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,53.25,53.25,3133.09,3133.09,0.0,3186.33,45.31,13.84,0.0,3.29,62.43,73.8,34.77,274.94,3523.7,297.11,397.77,0.0,0.08,3042.05,146.87,153.89,12.24,91.19,11.32,481.65,3523.7,293.7,12.74,260.51,0.0,11.53,0.0,2597.51,0.03,146.86,53.84,2.92,97.75,2597.51,46.69,0.0,0.0,112.54,66.15,98.58,3.01,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,53.3,53.3,3400.34,3400.34,0.0,3453.64,0.0,0.0,0.0,2.83,2.83,11.23,7.62,53.12,3509.59,12.52,13.14,0.0,0.08,2896.24,519.96,0.0,63.61,9.38,20.4,613.35,3509.59,115.76,8.38,0.0,0.0,11.53,0.0,2809.64,0.04,519.96,34.27,0.6,0.02,2798.57,84.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,53.4,53.4,1616.53,1616.53,0.0,1669.92,0.0,0.0,0.0,2.65,2.65,8.88,8.99,66.71,1739.28,8.27,8.73,0.0,0.01,1452.17,269.98,0.0,3.07,8.47,5.59,287.1,1739.28,764.64,6.34,0.0,0.0,11.53,0.0,1434.81,0.03,269.97,48.83,0.47,0.0,1434.81,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,53.45,53.45,1774.84,1774.84,0.0,1828.29,0.0,0.0,0.0,3.28,3.28,11.68,9.46,25.33,1856.9,6.2,6.54,0.0,0.09,1807.63,28.4,7.69,9.78,3.39,0.0,49.27,1856.9,0.0,6.15,0.0,0.0,11.53,0.0,1767.32,0.0,28.4,4.19,0.34,0.0,1793.44,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,53.68,53.68,1865.87,1865.87,0.0,1919.55,0.0,0.0,5.68,4.86,10.54,10.17,130.64,140.81,2070.9,30.98,31.43,0.0,7.98,39.42,1964.32,6.69,2.96,0.83,56.69,2031.48,2070.9,9.83,6.06,0.0,0.0,11.53,0.0,0.0,0.0,1964.32,0.0,0.21,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,53.88,53.88,1946.15,1946.15,0.0,2000.02,0.0,0.0,6.23,2.87,9.1,14.2,172.27,186.46,2195.59,30.36,30.45,0.0,7.7,38.16,2131.32,21.8,3.1,0.07,1.14,2157.43,2195.59,9.64,4.49,0.0,0.0,11.53,0.0,0.0,0.0,2131.32,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,53.9,53.9,2222.18,2222.18,4.24,2280.32,2.73,0.0,126.2,11.91,140.84,10.05,94.35,104.4,2525.56,25.5,25.5,0.0,9.78,35.28,2468.4,19.25,1.94,0.01,0.68,2490.28,2525.56,8.16,4.37,0.0,0.0,11.53,0.0,0.0,0.0,2468.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,69.02,69.02,6575.64,6575.64,0.81,6645.46,0.0,0.0,2.97,13.16,16.12,10.25,4.72,14.96,6676.55,25.12,25.12,8.84,5.04,39.0,6616.37,19.18,1.47,0.0,0.54,6637.55,6676.55,8.15,4.37,0.0,0.0,11.53,0.0,0.0,0.0,6616.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,69.02,69.02,6680.57,6680.57,0.0,6749.59,0.0,3.82,1.28,12.05,17.14,8.21,2.07,10.28,6777.02,4.31,4.31,0.0,2.68,6.99,6723.17,15.08,31.0,0.0,0.78,6770.03,6777.02,8.39,5.36,0.0,0.0,11.53,0.0,0.0,0.0,6723.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,69.02,69.02,6694.38,6694.38,0.0,6763.4,0.0,0.0,0.55,10.64,11.19,3.63,2.19,5.81,6780.41,3.85,3.85,1.67,3.63,9.15,6695.14,17.28,57.67,0.0,1.17,6771.26,6780.41,8.26,6.4,0.0,0.0,11.53,0.0,0.0,0.0,6695.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,69.02,69.02,6683.05,6683.05,0.0,6752.07,0.0,0.0,0.69,10.97,11.66,3.98,1.9,5.87,6769.61,2.91,2.91,2.02,5.31,10.24,6698.53,12.27,47.8,0.0,0.77,6759.37,6769.61,8.49,2.84,0.0,0.0,11.53,0.0,0.0,0.0,6698.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
