Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Trade/Other Goods,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Deferred Tax Liabilities [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2014-03-31,113.28,113.28,1239.25,1239.25,1352.53,123.0,3.0,0.0,126.0,210.92,231.65,537.93,241.73,1222.23,2700.76,310.57,72.84,7.57,0.0,390.98,0.19,1.18,7.43,72.18,471.96,396.37,929.08,556.43,184.33,162.59,2228.8,2700.76,381.54,254.43,0.0,208.74,73.8,0.19,0.0,116.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,113.28,113.28,1447.79,1447.79,1561.07,123.0,2.61,19.32,144.93,0.0,171.93,759.49,377.83,1309.25,3015.25,296.78,80.66,12.78,0.0,390.22,0.19,17.73,36.09,30.75,474.98,303.1,585.06,1419.45,178.74,53.93,2540.27,3015.25,604.62,205.85,0.0,62.62,1.21,0.19,0.0,150.77,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,113.28,113.28,1710.92,1710.92,1824.2,123.0,2.61,18.97,144.58,0.0,209.88,955.13,215.07,1380.08,3348.86,296.44,73.78,24.17,0.0,394.39,0.09,32.21,1.52,234.17,662.39,231.69,454.1,1820.41,0.4,179.87,2686.47,3348.86,989.74,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,113.28,113.28,1915.3,1915.3,2028.58,123.0,2.61,21.42,147.03,0.0,160.88,769.12,210.92,1140.92,3316.53,302.85,67.76,53.92,0.0,424.54,0.09,24.33,1.45,60.69,511.1,186.47,306.99,1991.29,0.47,320.21,2805.43,3316.53,1491.61,0.0,408.46,441.66,104.42,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,135.94,135.94,3119.93,3119.93,3255.87,123.0,2.75,22.66,148.41,0.0,272.14,1522.51,279.15,2073.8,5478.07,284.47,64.52,114.84,0.0,463.83,16.37,43.32,1.48,126.7,651.7,314.56,580.13,3490.34,0.38,440.96,4826.37,5478.07,3766.79,949.85,0.0,35.42,4.97,16.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,131.54,131.54,3200.54,3200.54,3332.08,123.0,2.74,24.29,150.03,0.0,346.59,1045.54,369.32,1761.46,5243.56,313.03,61.61,341.08,0.0,715.71,60.37,65.75,1.29,337.04,1180.17,283.37,392.34,2522.85,0.39,864.45,4063.4,5243.56,4256.5,825.44,0.0,125.23,0.0,60.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,131.54,131.54,3600.25,3600.25,3731.8,123.0,375.98,28.72,527.71,0.0,418.72,1345.03,381.37,2145.12,6404.62,696.54,59.66,768.21,0.0,1524.4,65.45,46.36,1.08,361.8,1999.09,313.41,288.23,2175.92,0.31,1627.66,4405.54,6404.62,4645.14,1028.64,0.0,106.45,3.46,65.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,131.54,131.54,3846.03,3846.03,3977.57,123.0,386.46,31.61,541.08,0.0,435.43,1950.62,494.85,2880.9,7399.54,698.41,57.49,1061.64,0.0,1817.54,214.45,78.81,8.63,295.74,2415.16,432.21,353.3,2146.38,0.57,2051.91,4984.38,7399.54,5149.41,590.02,0.0,63.53,71.38,214.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,131.54,131.54,4227.64,4227.64,4359.18,123.0,389.51,35.51,548.02,0.0,372.11,2571.64,467.52,3411.27,8318.47,681.66,58.56,1247.2,0.0,1987.43,255.45,67.86,8.48,248.34,2567.54,296.11,390.06,3162.83,0.69,1901.25,5750.93,8318.47,5059.74,0.0,0.0,538.77,23.0,255.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,131.54,131.54,4291.88,4291.88,4423.42,23.02,397.38,39.23,459.63,102.8,208.07,4321.34,393.79,5026.0,9909.05,706.74,9.45,1587.47,16.02,2319.69,335.61,56.92,10.34,205.98,2928.53,350.45,330.21,4671.81,1.0,1627.06,6980.52,9909.05,2017.66,0.0,330.43,538.57,279.97,335.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,131.54,131.54,4894.33,4894.33,5025.87,23.02,437.05,44.5,504.57,0.0,422.01,5301.88,625.94,6349.83,11880.27,704.74,17.35,2188.7,0.61,2911.39,355.25,59.64,10.83,133.18,3470.29,958.94,334.82,3783.95,1.15,3331.12,8409.98,11880.27,1827.06,0.0,0.0,1963.32,283.43,355.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
