Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,34.04,34.04,2990.32,2990.32,3024.36,1.64,3.79,4.24,9.67,0.88,797.63,623.27,30.24,1452.02,4486.05,237.24,867.85,147.99,0.0,1253.08,2064.99,0.0,117.84,1.44,3437.35,102.0,493.57,139.26,205.26,107.63,0.98,1048.7,4486.05,2246.1,3.59,0.05,122.68,47.95,0.0,0.0,2064.99,0.0,102.0,191.54,0.02,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,34.04,34.04,3349.01,3349.01,3383.05,1.11,4.02,3.99,9.12,0.34,804.53,683.38,41.66,1529.91,4922.08,242.93,817.26,178.83,0.0,1239.02,2148.83,0.0,175.39,0.06,3563.3,151.38,489.51,142.94,495.36,72.06,7.53,1358.78,4922.08,1067.7,9.2,0.05,120.73,54.87,0.0,0.0,2148.83,0.0,151.38,185.65,0.12,3.11,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,34.05,34.05,3789.2,3789.2,3823.25,0.13,0.0,2.72,2.85,2.75,638.76,528.39,30.35,1200.25,5026.35,459.01,769.85,11.05,2.17,1242.08,2423.29,0.0,144.77,0.24,3810.38,141.69,555.88,276.94,149.52,83.91,8.03,1215.97,5026.35,3074.21,14.31,0.05,136.49,59.17,0.0,0.0,2426.13,0.0,141.69,224.85,0.12,2.23,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,34.06,34.06,4339.55,4339.55,4373.61,224.24,27.32,40.95,292.51,148.97,1120.36,190.94,35.72,1495.99,6162.11,457.43,826.07,37.03,2.32,1322.85,3002.05,0.0,15.33,68.67,4408.9,652.86,561.92,209.33,98.45,0.11,230.54,1753.21,6162.11,4304.33,315.33,0.0,0.0,197.75,0.0,153.89,2848.39,52.89,600.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,68.13,68.13,4573.46,4573.46,4641.59,228.46,17.75,51.66,297.87,0.0,1452.92,194.77,36.93,1684.62,6624.08,489.68,824.38,50.58,1.8,1366.44,3054.81,0.0,16.32,69.94,4507.51,847.65,576.25,248.58,98.11,0.25,345.73,2116.57,6624.08,4057.38,324.04,0.0,0.0,397.69,34.06,84.79,2970.15,339.38,511.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,102.22,102.22,4823.94,4823.94,4926.16,0.0,28.09,56.32,84.41,0.0,1457.61,157.45,38.92,1653.98,6664.55,526.2,817.31,30.84,1.16,1375.51,2947.46,374.23,16.99,106.01,4820.2,477.34,615.12,353.18,97.24,0.14,301.33,1844.35,6664.55,3828.14,448.53,0.0,0.0,219.82,68.13,0.0,2947.46,329.94,148.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,102.23,102.23,5025.39,5025.39,5127.62,0.0,26.85,61.86,88.71,317.33,1243.14,117.45,46.34,1724.26,6940.59,556.8,808.47,35.33,1.37,1401.97,2957.78,404.08,19.09,96.31,4879.23,635.4,657.72,305.52,85.68,0.05,376.99,2061.36,6940.59,3794.1,458.39,0.0,0.0,204.22,68.13,0.0,0.0,80.1,555.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,102.25,102.25,6256.93,6256.93,6359.18,0.0,46.29,63.52,109.81,0.14,949.6,214.15,62.71,1226.6,7695.59,585.44,804.69,32.96,4.46,1427.55,3923.76,327.21,18.27,95.9,5792.69,644.42,702.83,247.46,83.71,1.22,223.26,1902.9,7695.59,2288.72,487.16,0.0,0.0,232.93,68.13,0.0,0.0,55.3,589.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,102.26,102.26,7748.86,7748.86,7851.12,0.0,27.35,57.43,84.78,0.0,625.3,256.79,65.08,947.17,8883.07,588.05,803.75,76.62,1.69,1470.11,4434.6,349.91,0.03,147.24,6401.89,766.4,790.84,336.92,344.97,0.05,242.0,2481.18,8883.07,1469.56,737.1,0.0,0.0,264.49,68.13,0.0,25.2,127.19,639.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,102.27,102.27,9283.75,9283.75,9386.02,0.0,32.21,58.93,91.14,23.82,711.09,283.96,65.35,1084.22,10561.38,715.62,806.97,21.58,3.81,1547.98,5298.21,322.03,0.03,111.9,7280.15,2109.59,591.6,320.79,50.47,0.05,208.73,3281.23,10561.38,1101.94,618.92,0.0,0.0,292.18,68.13,199.08,0.0,1934.33,175.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,102.28,102.28,9450.3,9450.3,9552.58,47.17,15.62,89.56,152.35,1979.88,872.82,346.35,84.34,3283.39,12988.32,741.46,3574.37,65.06,5.21,4386.1,5477.81,0.0,0.01,165.57,10029.49,1286.61,646.86,491.34,243.9,0.01,290.11,2958.83,12988.32,459.94,532.22,0.0,0.0,546.65,68.13,213.76,1005.05,583.87,702.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,102.3,102.3,8263.39,8263.39,8365.69,404.0,78.03,76.33,558.36,2578.06,1317.97,442.63,99.55,4438.21,13362.26,1401.9,3010.14,395.47,0.0,4807.51,4087.63,0.0,0.0,174.12,9069.26,2508.54,697.14,595.62,152.32,11.14,328.24,4293.0,13362.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
