Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Share Capital Suspense,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,28.32,28.32,2204.74,2204.74,2233.06,186.86,30.09,17.11,465.38,1161.74,2572.42,454.88,174.59,4363.63,7062.33,1206.19,4.92,26.92,0.0,1238.03,743.83,57.68,0.0,2039.54,0.18,1671.4,1294.14,457.03,1586.05,13.99,5022.79,7062.33,538.15,69.57,4.53,104.5,35.38,13.86,315.73,336.58,0.18,0.0,0.0,231.32,5213.82,3.71,599.6,0.02,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,29.13,29.13,2135.4,2135.4,2164.53,187.4,30.01,16.78,301.0,2033.4,3079.68,623.89,106.06,5843.03,8308.56,1358.37,6.91,38.55,7.89,1411.72,352.02,68.25,0.0,1831.99,0.19,2252.35,1436.68,296.16,2487.79,3.4,6476.57,8308.56,507.72,74.22,4.37,567.03,3.81,13.86,0.04,351.92,0.2,0.01,0.0,66.81,6015.09,3.7,1411.72,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,29.13,29.13,2473.63,2473.63,2502.76,166.05,12.31,17.79,240.21,2582.63,3231.15,481.22,7.88,6302.88,9045.85,1309.93,5.32,30.86,10.77,1356.88,369.41,0.0,91.54,1817.83,0.27,2345.76,1639.74,182.6,480.1,2579.55,7228.02,9045.85,79.67,7357.97,2.21,485.04,487.49,13.86,0.05,369.36,0.26,0.01,0.0,44.06,5643.31,2.57,1646.49,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,29.17,29.17,2782.76,2782.76,2811.93,148.51,11.46,14.17,174.14,2230.56,2931.65,399.96,14.74,5576.91,8562.98,1315.7,7.92,13.71,8.25,1345.58,334.06,0.0,66.24,1745.88,0.13,1724.61,1618.49,163.52,515.1,2795.25,6817.1,8562.98,95.88,5284.57,0.0,0.0,527.12,13.86,0.12,333.94,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,29.24,29.24,3142.52,3142.52,3171.76,125.62,11.03,14.39,151.04,2730.81,3358.7,349.1,9.06,6447.67,9770.47,1293.32,8.36,35.96,10.62,1348.26,287.69,0.0,81.49,1717.44,0.14,2227.13,1523.13,547.87,400.1,3354.66,8053.03,9770.47,123.28,6254.12,0.0,0.0,618.27,13.86,0.13,287.56,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,29.25,29.25,3404.68,3404.68,3433.93,110.59,10.76,13.97,135.32,2956.94,3762.67,340.42,18.1,7078.13,10647.38,1300.58,6.0,175.69,14.53,1496.8,320.45,0.0,112.11,1929.36,0.14,3234.23,4222.18,138.12,420.11,703.24,8718.02,10647.38,272.35,8762.85,0.0,0.0,839.26,13.86,0.12,320.33,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,29.3,29.3,4347.33,4347.33,4389.04,56.29,385.64,21.08,463.01,1627.6,3347.17,376.34,14.6,5365.71,10217.76,2017.96,4.95,49.19,15.56,2087.66,334.64,0.0,45.51,2467.81,0.0,2691.93,4040.57,60.12,420.11,537.22,7749.95,10217.76,179.49,6274.99,0.0,0.0,672.3,13.86,0.03,334.61,0.0,0.0,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,29.34,29.34,5183.26,5183.26,5212.6,55.87,371.94,13.72,441.53,1.21,2921.63,349.56,21.6,3294.0,8948.13,1998.79,7.9,75.68,13.47,2095.84,334.34,0.0,54.34,2484.52,0.0,2593.31,1148.73,683.92,1500.12,537.53,6463.61,8948.13,147.98,7428.11,0.0,0.0,735.86,13.86,0.18,334.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,29.35,29.35,6268.66,6268.66,6298.01,63.77,380.63,14.28,458.68,0.04,3913.18,524.15,18.98,4456.35,11213.04,2076.51,6.28,119.82,21.39,2224.0,266.78,400.0,63.47,2954.25,0.0,3655.31,536.63,1704.92,1540.0,821.93,8258.79,11213.04,279.45,11531.78,0.0,0.0,967.91,13.86,0.59,266.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,29.4,29.4,7838.56,7838.56,7867.96,56.89,391.76,19.53,468.18,4.5,5315.96,511.89,22.98,5855.33,14191.47,2183.87,8.54,375.0,22.95,2590.36,219.97,920.0,125.86,3856.19,0.0,4412.51,2969.11,1355.38,876.55,721.73,10335.28,14191.47,206.09,20764.61,0.0,0.0,982.71,13.86,0.24,219.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,29.44,29.44,9373.79,9373.79,9403.23,65.23,433.8,22.18,521.21,0.29,5346.9,386.13,24.01,5757.33,15681.77,2768.41,8.41,203.08,22.67,3002.57,495.28,0.0,71.46,3569.31,622.96,4574.34,1404.55,2751.94,169.7,2588.97,12112.46,15681.77,221.43,1472.69,0.0,0.0,1091.03,13.86,0.22,495.06,0.0,622.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,29.46,29.46,10969.9,10969.9,10999.36,66.79,535.93,3.94,606.66,0.18,5985.08,586.5,57.93,6629.69,18235.71,3151.96,10.02,350.88,0.0,3512.86,736.0,784.64,191.41,5224.91,783.6,4684.18,1221.71,3480.22,13.15,2827.94,13010.8,18235.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
