Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,619.6,0.05,619.65,0.0,91.8,9.23,447.3,71.32,6.11,77.43,7.76,69.67,0.0,69.67,24.08,45.59,45.59,23.73,19.22,19.22,0.59,25.0,1.78,100.0,75.0
2015-09-30,651.44,0.02,651.46,0.0,95.86,9.77,462.85,82.98,5.56,88.54,7.86,80.68,0.0,80.68,26.93,53.75,53.75,23.73,22.65,22.65,0.59,25.0,1.78,100.0,75.0
2015-12-31,652.31,0.7,653.01,0.0,110.74,10.15,452.79,79.33,6.6,85.93,7.84,78.09,0.0,78.09,28.04,50.05,50.05,23.73,21.09,21.09,0.0,0.0,0.0,0.0,0.0
2016-03-31,629.71,0.03,629.74,0.0,99.23,10.55,461.09,58.87,10.14,69.01,7.68,61.33,0.0,61.33,20.84,40.49,40.49,23.73,17.06,17.06,0.0,0.0,0.0,0.0,0.0
2016-06-30,621.37,0.0,621.37,0.0,99.34,10.88,444.95,66.2,8.31,74.51,7.74,66.77,0.0,66.77,22.69,44.08,44.08,23.73,18.58,18.58,0.0,0.0,0.0,0.0,0.0
2016-09-30,663.22,0.0,663.22,0.0,101.22,10.9,487.19,63.91,6.99,70.9,7.87,63.03,0.0,63.03,20.23,42.8,42.8,23.73,18.04,18.04,0.0,0.0,0.0,0.0,0.0
2016-12-31,720.0,0.0,720.0,0.0,120.12,11.14,542.22,46.52,6.57,53.09,7.84,45.25,0.0,45.25,17.08,28.17,28.17,23.73,11.87,11.87,0.0,0.0,0.0,0.0,0.0
2017-03-31,676.28,0.0,676.28,0.0,105.67,11.01,515.74,43.86,5.95,49.81,7.8,42.01,0.0,42.01,17.49,24.52,24.52,23.73,10.33,10.33,0.0,0.0,0.0,0.0,0.0
2017-06-30,666.66,0.0,666.66,0.0,117.61,11.41,503.21,34.43,5.67,40.1,7.76,32.34,0.0,32.34,11.25,21.09,21.09,23.73,8.89,8.89,0.0,0.0,0.0,0.0,0.0
2017-09-30,702.83,0.0,702.83,0.0,113.05,11.44,513.04,65.3,5.81,71.11,7.85,63.26,0.0,63.26,21.87,41.39,41.39,23.73,17.44,17.44,0.0,0.0,0.0,0.0,0.0
