Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Trade/Other Goods,Preference Share Capital,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,125.35,125.35,3217.1,3230.72,0.0,3356.07,0.54,73.59,28.03,41.91,144.07,29.99,1563.07,362.95,130.3,2086.31,5586.45,674.51,80.39,42.42,25.31,822.63,805.71,0.0,42.67,0.0,1671.01,20.63,557.78,1907.92,442.8,919.22,67.09,3915.44,5586.45,1676.17,61.97,2.26,902.16,88.6,90.01,0.44,805.27,20.72,686.9,6.79,11.2,13.62,143.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,125.35,125.35,3873.5,3884.28,0.0,4009.63,634.26,68.01,2.81,48.22,753.3,21.5,1431.6,408.38,88.4,1949.88,6712.81,658.81,74.63,24.82,30.23,788.49,1005.04,0.0,23.14,0.0,1816.67,160.45,523.77,2263.7,302.44,1533.89,111.89,4896.14,6712.81,1470.33,58.7,1.43,938.46,86.11,90.01,0.44,1005.04,160.62,650.6,3.34,4.14,10.78,136.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,125.35,125.35,4002.7,4002.7,0.0,4128.05,4.15,240.25,1.21,52.7,298.31,522.98,1102.6,478.57,75.62,2179.77,6606.13,1346.57,37.95,2.0,0.0,1386.52,458.61,0.0,9.44,65.8,1920.37,0.95,407.17,1703.19,512.03,1033.54,1028.88,4685.76,6606.13,78.85,49.89,0.0,834.75,149.62,90.01,0.44,458.61,0.95,484.38,2.34,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,125.35,125.35,4073.94,4073.94,0.0,4199.29,503.6,214.75,1.1,59.77,779.22,710.23,1091.33,542.31,68.75,2412.62,7391.13,1232.78,46.23,8.23,28.01,1315.25,440.65,0.0,6.64,50.07,1812.61,5.22,750.76,1480.37,555.75,1466.97,1319.45,5578.52,7391.13,72.65,39.22,0.0,669.46,136.96,90.01,0.44,440.21,5.22,482.02,4.45,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,125.35,125.35,4029.09,4029.09,0.0,4154.44,1011.65,235.68,391.46,53.3,1692.09,876.14,1252.83,706.09,101.12,2936.18,8782.71,1287.69,49.18,8.19,32.19,1377.25,1028.51,0.0,2391.58,1294.03,6091.37,0.01,414.05,1599.88,194.13,30.2,453.07,2691.34,8782.71,463.6,483.52,0.0,902.27,0.0,90.01,0.37,1028.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,125.35,125.35,2387.82,2387.82,0.0,2513.17,751.16,131.81,298.27,54.83,1236.07,1036.61,1554.64,838.62,75.83,3505.7,7254.94,967.21,39.69,11.37,23.42,1041.69,898.86,0.0,1399.44,1441.18,4781.17,0.01,531.16,1178.53,120.41,40.18,603.48,2473.77,7254.94,438.02,452.93,0.0,854.72,0.0,90.01,0.39,898.47,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,125.35,125.35,-442.04,-442.04,0.0,-316.69,292.89,0.0,16.22,33.33,342.44,1037.93,1189.96,979.61,116.97,3324.47,3350.22,843.44,39.17,1.21,14.25,898.07,14.75,867.03,6.52,38.85,1825.22,0.01,272.69,403.06,140.62,35.64,672.98,1525.0,3350.22,249.83,121.03,0.0,431.37,0.0,90.01,0.39,14.36,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,267.6,267.6,728.73,728.73,37.5,1033.83,812.99,0.0,12.77,27.19,852.95,131.64,998.72,713.5,148.15,1992.01,3878.79,769.14,31.71,2.43,7.82,811.1,303.64,733.41,6.51,7.9,1862.56,0.01,381.92,521.67,393.21,35.1,684.32,2016.23,3878.79,50.01,65.08,0.0,201.57,0.0,90.01,0.39,303.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,288.37,288.37,1530.95,1530.95,0.0,1819.32,302.31,0.0,18.89,30.15,351.35,0.0,1125.23,401.04,141.41,1667.68,3838.35,741.3,26.5,16.96,7.73,792.49,302.41,622.69,0.0,16.89,1734.48,40.62,446.77,889.48,413.27,0.81,312.92,2103.87,3838.35,36.87,239.09,0.0,305.76,0.0,90.01,0.39,302.02,40.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,305.43,305.43,2124.63,2124.63,0.0,2430.06,2.87,0.0,12.66,42.66,58.19,0.0,1252.93,329.63,147.62,1730.18,4218.43,745.09,25.74,18.01,11.03,799.87,302.76,434.17,0.0,20.74,1557.54,0.01,490.46,1229.72,654.89,0.0,285.81,2660.89,4218.43,47.76,342.15,0.0,308.26,0.0,90.01,0.39,302.37,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,305.47,305.47,2939.97,2939.97,0.0,3245.44,0.0,0.0,19.72,35.46,55.18,2.69,1456.84,472.09,192.54,2124.16,5424.78,804.63,26.57,65.6,19.6,916.4,406.91,152.8,0.0,129.39,1605.5,587.7,689.62,1463.88,781.14,0.0,296.94,3819.28,5424.78,116.97,478.85,0.0,557.9,0.0,90.01,0.43,406.48,587.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,305.78,305.78,3762.8,3762.8,0.0,4068.58,2.69,38.29,38.64,43.72,123.34,0.0,1777.26,641.56,209.58,2628.4,6820.32,830.85,44.68,220.12,0.0,1095.65,1436.88,0.0,0.0,154.31,2686.84,156.29,1033.29,1878.86,795.93,0.0,269.11,4133.48,6820.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
