Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Trade/Other Goods,Capital Goods,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools"
2014-03-31,286.0,286.0,41806.0,41806.0,0.0,42092.0,0.0,364.0,364.0,68.0,4071.0,6117.0,10256.0,52712.0,5719.0,13.0,954.0,6686.0,3968.0,542.0,2227.0,52.0,13475.0,2749.0,7336.0,24100.0,2660.0,2392.0,39237.0,52712.0,1020.0,21400.0,369.0,43150.0,7.0,267.66,0.0,2668.0,0.0,2649.0,3.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,574.0,574.0,47494.0,47494.0,0.0,48068.0,0.0,30.0,30.0,124.0,5546.0,8045.0,13715.0,61813.0,7347.0,0.0,769.0,8116.0,6108.0,433.0,4378.0,26.0,19061.0,749.0,8627.0,27722.0,3231.0,2423.0,42752.0,61813.0,1461.0,21627.0,647.0,46153.0,5.0,554.66,1269.0,4874.0,0.0,749.0,3.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1148.0,1148.0,59934.0,59934.0,0.0,61082.0,0.0,62.0,62.0,623.0,10529.0,436.0,11588.0,72732.0,8248.0,0.0,934.0,9182.0,11076.0,405.0,5.0,5967.0,26635.0,2.0,9798.0,29176.0,355.0,6766.0,46097.0,72732.0,1483.0,26529.0,0.0,52866.0,0.0,1128.89,1627.0,9543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1148.0,1148.0,66869.0,66869.0,0.0,68017.0,0.0,82.0,82.0,269.0,11167.0,350.0,11786.0,79885.0,8605.0,0.0,1247.0,9852.0,15334.0,346.0,5.0,6666.0,32203.0,9643.0,10960.0,19153.0,310.0,7616.0,47682.0,79885.0,0.0,29088.0,0.0,57734.0,0.0,1128.89,0.0,9569.0,0.0,7635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1092.0,1092.0,62410.0,62410.0,0.0,63502.0,505.0,208.0,713.0,738.0,10488.0,436.0,11662.0,75877.0,9027.0,130.0,1442.0,10599.0,11993.0,1128.0,19.0,8048.0,31787.0,5906.0,12151.0,16770.0,393.0,8870.0,44090.0,75877.0,0.0,31358.0,0.0,60329.0,0.0,1073.82,0.0,6917.0,0.0,5194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2178.0,2178.0,60533.0,60533.0,0.0,62711.0,541.0,248.0,789.0,1604.0,13321.0,505.0,15430.0,78930.0,10394.0,103.0,1212.0,11709.0,12062.0,1114.0,16.0,7806.0,32707.0,6077.0,13370.0,15551.0,1048.0,10177.0,46223.0,78930.0,4617.0,39467.0,0.0,71719.0,0.0,2165.82,4374.0,0.0,6131.0,12219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2129.0,2129.0,59808.0,59808.0,297.0,62234.0,556.0,3031.0,3587.0,1529.0,13185.0,506.0,15220.0,81041.0,13897.0,77.0,945.0,14919.0,13916.0,1429.0,298.0,6659.0,37221.0,4006.0,15459.0,13562.0,307.0,10486.0,43820.0,81041.0,4730.0,44254.0,0.0,77974.0,0.0,2117.09,4048.0,9490.0,1101.0,3578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2130.0,2130.0,69029.0,69029.0,372.0,71531.0,511.0,4275.0,4786.0,1562.0,15399.0,661.0,17622.0,93939.0,14365.0,234.0,906.0,15505.0,22118.0,955.0,30.0,7049.0,45657.0,2037.0,16394.0,17612.0,229.0,12010.0,48282.0,93939.0,4372.0,46433.0,0.0,84252.0,0.0,2117.09,11507.0,11003.0,713.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2103.0,2103.0,66597.0,66597.0,606.0,69306.0,841.0,4264.0,5105.0,2669.0,21387.0,920.0,24976.0,99387.0,14695.0,243.0,411.0,15349.0,22869.0,970.0,34.0,7728.0,46950.0,5467.0,18966.0,12270.0,219.0,15515.0,52437.0,99387.0,5348.0,57224.0,0.0,101854.0,0.0,2017.09,12552.0,15134.0,1003.0,1337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2074.0,2074.0,64793.0,64793.0,878.0,67745.0,866.0,5284.0,6150.0,2426.0,23853.0,1163.0,27442.0,101337.0,15217.0,214.0,275.0,15706.0,23686.0,779.0,39.0,9045.0,49255.0,4476.0,20773.0,6534.0,291.0,20008.0,52082.0,101337.0,5148.0,70534.0,0.0,121605.0,0.0,1989.2,11336.0,16034.0,1050.0,3445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2075.0,2075.0,79101.0,79101.0,0.0,81176.0,1509.0,5179.0,6688.0,2493.0,23129.0,1464.0,27086.0,114950.0,14116.0,211.0,277.0,14604.0,23352.0,0.0,34.0,6008.0,43998.0,11307.0,25152.0,8191.0,208.0,26094.0,70952.0,114950.0,3342.0,72639.0,0.0,125794.0,0.0,1989.2,10978.0,12589.0,1942.0,9365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,2076.0,2076.0,85256.0,85256.0,0.0,87332.0,1062.0,4780.0,5842.0,2728.0,28041.0,993.0,31762.0,124936.0,13359.0,0.0,778.0,14137.0,27371.0,497.0,26.0,5737.0,47768.0,11147.0,26413.0,14265.0,207.0,25136.0,77168.0,124936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
