Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-03-31,2020.79,4.94,2025.73,763.01,86.07,88.71,389.41,141.71,92.46,368.15,96.21,32.91,129.12,24.98,104.14,0.0,104.14,37.88,66.26,66.26,551.69,0.0,1.2,1.2,11.03,20.0,44.14,100.0,80.0
2015-06-30,1898.39,3.31,1901.7,810.32,255.49,-177.88,464.66,120.61,34.27,296.75,97.48,17.6,115.08,32.92,82.16,0.0,82.16,29.32,52.84,52.84,551.69,0.0,0.96,0.96,11.03,20.0,44.14,100.0,80.0
2015-09-30,2556.48,2.91,2559.39,999.39,362.99,-73.26,711.7,116.91,32.8,326.08,82.78,28.96,111.74,31.58,80.16,0.0,80.16,32.22,47.94,47.94,551.69,0.0,0.87,0.87,11.03,20.0,44.14,100.0,80.0
2015-12-31,2103.34,7.32,2110.66,979.43,136.1,-224.44,655.09,120.31,34.5,315.22,94.45,18.85,113.3,32.19,81.11,0.0,81.11,27.25,53.86,53.86,551.69,0.0,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2016-03-31,2068.94,8.74,2077.68,710.31,112.7,243.15,509.98,134.61,43.56,276.87,46.5,46.8,93.3,45.63,47.67,0.0,47.67,11.08,36.59,36.59,551.69,0.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0
2016-06-30,1537.2,3.79,1540.99,586.09,95.98,-68.69,443.3,116.32,33.96,272.66,61.37,16.74,78.11,47.6,30.51,0.0,30.51,10.92,19.59,19.59,551.69,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2016-09-30,1768.95,3.18,1772.13,750.63,93.07,-86.82,512.86,117.55,36.15,284.64,64.05,16.9,80.95,13.54,67.41,0.0,67.41,23.99,43.42,43.42,551.69,0.0,0.79,0.79,0.0,0.0,0.0,0.0,0.0
2016-12-31,1670.88,9.3,1680.18,722.9,32.21,-39.95,397.8,123.58,35.12,335.12,73.4,18.94,92.34,15.81,76.53,0.0,76.53,12.62,63.91,63.91,551.69,0.0,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2017-03-31,2209.36,6.88,2216.24,749.5,4.42,342.39,533.86,146.19,35.87,330.57,73.44,20.62,94.06,17.03,77.03,0.0,77.03,21.94,55.09,55.09,551.69,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,1560.28,0.0,1560.28,670.98,108.88,-184.31,499.4,141.5,34.67,257.09,32.07,8.96,41.03,10.26,30.77,0.0,30.77,10.22,20.55,20.55,551.69,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2017-09-30,1802.36,0.0,1802.36,717.86,98.95,32.23,525.36,140.87,35.06,223.3,28.73,14.98,43.71,17.13,26.58,0.0,26.58,15.79,10.79,10.79,551.69,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2017-12-31,1985.06,0.0,1985.06,779.23,4.41,83.83,596.11,141.89,32.96,268.19,78.44,21.51,99.95,9.12,90.83,-53.26,37.57,19.65,17.92,17.92,551.69,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2018-03-31,1970.93,0.0,1970.93,827.82,1.42,82.89,621.01,149.49,34.35,263.5,-9.55,15.79,6.24,26.08,-19.84,53.14,33.3,3.76,29.54,29.54,551.69,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2018-06-30,1943.48,0.0,1943.48,936.61,1.78,-189.62,685.63,148.59,37.65,266.35,56.49,12.48,68.97,33.76,35.21,0.0,35.21,12.22,22.99,22.99,551.69,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2018-09-30,2321.49,0.0,2321.49,1014.02,300.29,-209.11,703.83,146.35,38.47,270.31,57.33,16.05,73.38,37.6,35.78,0.0,35.78,17.98,17.8,17.8,551.69,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2018-12-31,2353.52,0.0,2353.52,911.18,5.26,268.09,652.03,135.5,39.81,253.78,87.87,20.44,108.31,26.74,81.57,0.0,81.57,31.66,49.91,49.91,551.69,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2019-03-31,2266.98,0.0,2266.98,1018.2,490.82,-474.63,653.5,160.97,39.76,292.06,86.3,30.7,117.0,57.75,59.25,23.44,82.69,34.22,48.47,48.47,551.69,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.0
2019-06-30,2409.48,0.0,2409.48,947.54,314.99,-49.03,691.02,141.3,38.64,276.68,48.34,24.81,73.15,61.97,11.18,0.0,11.18,3.05,8.13,8.13,551.69,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2019-09-30,2456.6,0.0,2456.6,972.09,5.69,346.11,697.34,140.55,41.23,247.96,5.63,26.35,31.98,54.72,-22.74,0.0,-22.74,-1.85,-20.89,-20.89,551.69,0.0,-0.38,-0.38,0.0,0.0,0.0,0.0,0.0
2019-12-31,2225.87,0.0,2225.87,935.46,-0.65,123.12,672.0,143.24,47.43,269.76,35.51,19.7,55.21,40.85,14.36,0.0,14.36,-64.27,78.63,78.63,551.69,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2020-03-31,2606.0,0.0,2606.0,921.13,-25.6,183.05,698.51,192.17,43.74,268.33,324.67,55.91,380.58,80.28,300.3,-100.17,200.13,57.85,142.28,142.28,551.69,0.0,2.58,2.58,0.0,0.0,0.0,0.0,0.0
2020-06-30,1621.05,0.0,1621.05,613.46,483.1,-369.47,442.61,135.07,42.59,218.46,55.23,28.59,83.82,56.28,27.54,0.0,27.54,8.36,19.18,19.18,551.69,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2020-09-30,2316.94,0.0,2316.94,740.34,100.6,336.05,501.5,141.94,42.93,297.62,155.96,32.09,188.05,48.88,139.17,0.0,139.17,35.33,103.84,103.84,551.69,0.0,1.88,1.88,0.0,0.0,0.0,0.0,0.0
2020-12-31,2047.88,0.0,2047.88,797.94,13.16,20.46,565.28,148.91,45.45,299.91,156.77,25.04,181.81,36.75,145.06,0.0,145.06,46.99,98.07,98.07,551.69,0.0,1.78,1.78,0.0,0.0,0.0,0.0,0.0
2021-03-31,2295.31,0.0,2295.31,870.93,152.35,-17.77,612.86,137.91,45.66,304.95,188.42,46.93,235.35,35.66,199.69,4.71,204.4,52.38,152.02,152.02,551.69,0.0,2.76,2.76,0.0,0.0,0.0,0.0,0.0
2021-06-30,2390.7,0.0,2390.7,910.73,175.75,-11.93,0.0,152.84,45.16,956.64,161.51,26.56,188.07,30.59,157.48,127.35,284.83,71.87,212.96,212.96,551.69,0.0,3.86,3.86,0.0,0.0,0.0,0.0,0.0
2021-09-30,2612.38,0.0,2612.38,1136.04,4.89,146.93,0.0,145.59,45.89,993.51,139.53,35.72,175.25,16.86,158.39,0.0,158.39,42.15,116.24,116.24,551.69,0.0,2.11,2.11,0.0,0.0,0.0,0.0,0.0
2021-12-31,3699.21,0.0,3699.21,1570.52,559.21,-122.05,1000.77,162.14,45.49,305.58,177.55,43.39,220.94,26.59,194.35,0.0,194.35,52.74,141.61,141.61,551.69,0.0,2.57,2.57,0.0,0.0,0.0,0.0,0.0
2022-03-31,4109.88,0.0,4109.88,1885.54,1002.36,-872.54,0.0,190.71,46.38,1560.27,297.16,30.78,327.94,50.65,277.29,0.28,277.57,65.25,212.32,212.32,551.69,0.0,3.85,3.85,0.0,0.0,0.0,0.0,0.0
2022-06-30,4956.51,0.0,4956.51,1842.03,190.92,721.16,0.0,172.53,45.39,1596.56,387.92,60.9,448.82,49.97,398.85,0.0,398.85,103.77,295.08,295.08,551.69,0.0,5.35,5.35,0.0,0.0,0.0,0.0,0.0
2022-09-30,5575.95,0.0,5575.95,2596.02,1783.26,-1399.96,1693.89,164.27,56.25,333.49,348.73,21.57,370.3,59.1,311.2,0.0,311.2,53.74,257.46,257.46,551.69,0.0,4.67,4.67,0.0,0.0,0.0,0.0,0.0
2022-12-31,6235.14,0.0,6235.14,2504.76,35.27,1113.87,0.0,173.7,51.14,1969.23,387.17,38.35,425.52,70.47,355.05,0.0,355.05,111.87,243.18,243.18,551.69,0.0,4.41,4.41,0.0,0.0,0.0,0.0,0.0
2023-03-31,4683.94,0.0,4683.94,1896.79,1037.98,-182.11,0.0,181.87,59.34,1552.82,137.25,22.48,159.73,44.32,115.41,93.47,208.88,37.45,171.43,171.43,551.69,0.0,3.11,3.11,0.0,0.0,0.0,0.0,0.0
2023-06-30,4042.95,0.0,4042.95,1434.23,1160.35,-178.88,0.0,138.88,56.05,1359.12,73.2,32.66,105.86,39.27,66.59,25.28,91.87,23.92,67.95,67.95,551.69,0.0,1.23,1.23,0.0,0.0,0.0,0.0,0.0
2023-09-30,4155.19,0.0,4155.19,1659.49,766.96,33.74,0.0,142.89,56.1,1446.19,49.82,66.95,116.77,43.98,72.79,0.0,72.79,21.15,51.64,51.64,551.69,0.0,0.92,0.92,0.0,0.0,0.0,0.0,0.0
2023-12-31,4903.52,0.0,4903.52,1839.29,1479.66,-283.76,0.0,132.07,56.49,1652.17,27.6,37.34,64.94,48.41,16.53,0.0,16.53,6.03,10.5,10.5,551.69,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2024-03-31,3879.65,0.0,3879.65,1415.49,904.15,-97.54,965.92,128.94,64.46,367.33,130.9,28.48,159.38,51.98,107.4,15.04,122.44,24.79,97.65,97.65,551.69,4064.71,1.77,1.77,0.0,0.0,0.0,0.0,0.0
2024-06-30,4396.06,0.0,4396.06,1195.78,1235.74,509.79,823.06,141.23,59.76,374.59,56.11,30.14,86.25,69.98,16.27,0.0,16.27,5.54,10.73,10.73,551.69,4074.67,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2024-09-30,4289.56,0.0,4289.56,1562.17,1220.34,-277.34,0.0,155.12,61.62,1427.76,139.89,42.6,182.49,76.49,106.0,0.0,106.0,27.4,78.6,78.6,551.69,0.0,1.42,1.42,0.0,0.0,0.0,0.0,0.0
2024-12-31,4518.35,0.0,4518.35,1473.83,852.35,493.0,965.9,156.28,63.2,398.1,115.69,42.17,157.86,53.15,104.71,0.0,104.71,25.06,79.65,79.65,551.69,0.0,1.44,1.44,0.0,0.0,0.0,0.0,0.0
