Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,34.23,0.07,34.3,2.18,1.88,0.48,1.04,28.72,0.11,28.83,6.2,22.63,0.0,22.63,3.85,18.78,0.0,18.78,14.21,1.33,1.3,0.0,0.0,0.0,0.0,0.0
2016-03-31,16.29,0.07,16.36,2.81,2.41,-1.07,1.82,10.39,0.37,10.76,7.74,3.02,0.0,3.02,0.26,2.76,0.0,2.76,14.22,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2016-06-30,36.53,0.07,36.6,2.26,1.74,1.25,2.09,29.26,0.39,29.65,10.16,19.49,0.83,20.32,2.45,17.87,0.0,17.87,14.29,1.25,1.24,0.0,0.0,0.0,0.0,0.0
2016-09-30,67.48,0.07,67.55,2.26,1.74,0.05,2.24,61.26,0.57,61.83,9.75,52.08,2.85,54.93,-2.02,56.95,0.0,56.95,14.35,3.98,3.94,0.0,0.0,0.0,0.0,0.0
2016-12-31,18.59,0.05,18.64,2.07,1.73,0.65,1.58,12.61,0.58,13.19,8.71,4.48,0.0,4.48,-1.16,5.64,0.0,5.64,14.35,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2017-03-31,17.61,0.0,17.61,1.95,1.73,0.0,3.03,10.9,0.42,11.32,7.76,3.56,2.42,5.98,0.14,5.84,0.0,5.84,14.45,0.41,0.4,0.0,0.0,0.0,0.0,0.0
2017-06-30,22.42,0.0,22.42,2.73,1.6,0.0,2.26,15.83,0.16,15.99,8.94,7.05,0.0,7.05,2.12,4.93,0.0,4.93,14.45,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2017-09-30,92.81,0.0,92.81,2.52,1.6,0.0,2.59,86.1,2.87,88.97,9.15,79.82,0.0,79.82,17.35,62.47,0.0,62.47,14.47,4.32,4.26,0.0,0.0,0.0,0.0,0.0
2017-12-31,77.79,0.0,77.79,2.7,1.67,0.0,2.96,70.46,0.22,70.68,7.42,63.26,0.0,63.26,12.39,50.87,0.0,50.87,14.47,3.52,3.46,0.0,0.0,0.0,0.0,0.0
2018-03-31,26.95,0.0,26.95,2.71,1.66,0.0,3.71,18.87,0.14,19.01,6.68,12.33,0.0,12.33,0.91,11.42,0.0,11.42,14.51,0.79,0.78,0.0,0.0,0.0,0.0,0.0
2018-06-30,278.2,0.0,278.2,65.66,4.71,0.0,108.13,99.7,9.68,109.38,27.63,81.75,0.0,81.75,19.14,62.61,-0.85,61.76,14.51,4.2,4.14,0.0,0.0,0.0,0.0,0.0
2018-09-30,311.5,0.0,311.5,66.78,4.52,0.0,176.66,63.54,5.6,69.14,27.34,41.8,0.0,41.8,18.61,23.19,-0.47,22.72,14.56,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
2018-12-31,330.89,0.0,330.89,71.45,4.35,0.0,141.5,113.59,7.77,121.36,26.24,95.12,0.0,95.12,12.55,82.57,0.0,82.57,14.56,6.64,6.58,0.0,0.0,0.0,0.0,0.0
2019-03-31,374.76,8.66,383.42,75.17,4.42,0.0,114.3,189.53,8.37,197.9,23.07,174.83,0.0,174.83,19.58,155.25,0.0,155.25,14.57,10.66,10.38,0.0,0.0,0.0,0.0,0.0
2019-06-30,282.92,0.0,282.92,74.89,7.25,0.0,104.42,96.36,8.85,105.21,27.88,77.33,0.0,77.33,14.23,63.1,0.0,63.1,14.6,4.33,4.22,0.0,0.0,0.0,0.0,0.0
2019-09-30,348.59,9.36,357.95,81.37,7.4,1.94,109.76,157.48,8.86,166.34,31.94,134.4,0.0,134.4,-17.76,152.16,0.0,152.16,14.73,10.4,10.25,0.0,0.0,0.0,0.0,0.0
2019-12-31,314.49,7.55,322.04,77.99,7.05,5.75,119.46,111.79,11.06,122.85,30.55,92.3,0.0,92.3,1.59,90.71,0.0,90.71,14.8,6.14,6.06,0.0,0.0,0.0,0.0,0.0
2020-03-31,393.45,4.15,397.6,77.47,8.15,4.97,386.23,-79.22,8.13,-71.09,38.87,-109.96,0.0,-109.96,-0.75,-109.21,0.0,-109.21,14.81,-7.38,-7.23,0.0,0.0,0.0,0.0,0.0
2020-06-30,419.05,11.61,430.66,83.22,8.06,3.16,130.49,205.73,8.82,214.55,31.65,182.9,-88.96,93.94,3.85,90.09,0.0,90.09,14.79,6.09,5.96,0.0,0.0,0.0,0.0,0.0
2020-09-30,504.58,11.82,516.4,89.84,8.5,4.18,172.38,241.5,6.42,247.92,29.2,218.72,0.0,218.72,39.01,179.71,0.0,179.71,14.69,12.17,11.91,0.0,0.0,0.0,0.0,0.0
2020-12-31,528.53,17.82,546.35,99.37,8.93,5.19,172.1,260.76,4.97,265.73,30.01,235.72,0.0,235.72,44.97,190.75,0.0,190.75,14.65,13.05,12.76,0.0,0.0,0.0,0.0,0.0
2021-03-31,655.76,12.28,668.04,113.46,11.0,3.87,217.39,322.32,2.63,324.95,36.84,288.11,0.86,288.97,37.13,251.84,0.0,251.84,14.66,17.18,16.91,0.0,0.0,0.0,0.0,0.0
2021-06-30,541.55,8.86,550.41,110.25,8.38,5.04,227.3,199.44,6.21,205.65,34.92,170.73,0.0,170.73,38.12,132.61,0.0,132.61,14.67,9.04,8.9,0.0,0.0,0.0,0.0,0.0
2021-09-30,787.12,13.62,800.74,121.89,10.19,6.7,240.66,421.3,6.58,427.88,34.86,393.02,0.0,393.02,58.95,334.07,0.0,334.07,14.7,22.77,22.39,0.0,0.0,0.0,0.0,0.0
2021-12-31,616.74,0.0,616.74,146.82,9.98,0.0,269.59,190.35,12.04,202.39,44.77,157.62,0.0,157.62,31.55,126.07,0.0,126.07,14.72,8.57,8.4,0.0,0.0,0.0,0.0,0.0
2022-03-31,580.77,13.46,594.23,149.92,10.21,0.48,264.28,169.34,11.69,181.03,51.02,130.01,0.0,130.01,27.2,102.81,0.0,102.81,14.91,6.98,6.94,0.0,0.0,0.0,0.0,0.0
2022-06-30,462.27,9.34,471.61,143.41,10.99,3.51,253.72,59.98,10.21,70.19,45.97,24.22,0.0,24.22,19.86,4.36,0.0,4.36,14.91,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2022-09-30,857.1,9.44,866.54,154.11,13.16,7.72,276.43,415.12,10.57,425.69,55.05,370.64,0.0,370.64,47.53,323.11,0.0,323.11,14.76,21.86,21.74,0.0,0.0,0.0,0.0,0.0
2022-12-31,688.01,11.03,699.04,155.9,14.2,4.0,269.98,254.96,6.15,261.11,61.62,199.49,0.0,199.49,47.65,151.84,0.0,151.84,14.79,10.36,10.28,0.0,0.0,0.0,0.0,0.0
2023-03-31,606.88,17.32,624.2,157.53,11.71,0.25,268.59,186.12,7.07,193.19,62.23,130.96,0.0,130.96,41.35,89.61,0.0,89.61,14.79,6.17,6.15,0.0,0.0,0.0,0.0,0.0
2023-06-30,871.59,13.59,885.18,196.23,14.57,5.19,283.88,385.31,30.29,415.6,70.7,344.9,0.0,344.9,57.86,287.04,0.0,287.04,14.8,19.4,19.37,0.0,0.0,0.0,0.0,0.0
2023-09-30,1040.87,14.02,1054.89,194.02,14.67,7.27,372.13,466.8,9.99,476.79,99.74,377.05,0.0,377.05,69.09,307.96,0.0,307.96,14.82,20.8,20.76,0.0,0.0,0.0,0.0,0.0
2023-12-31,1105.58,13.37,1118.95,182.86,21.46,2.82,339.96,571.85,7.52,579.37,118.25,461.12,0.0,461.12,82.24,378.88,0.0,378.88,14.85,25.54,25.44,0.0,0.0,0.0,0.0,0.0
2024-03-31,1460.81,17.4,1478.21,242.25,21.32,22.63,442.2,749.81,12.21,762.02,152.83,609.19,0.0,609.19,92.7,516.49,0.0,516.49,14.9,34.72,34.41,0.0,0.0,0.0,0.0,0.0
2024-06-30,1508.39,9.17,1517.56,254.2,19.41,5.17,450.16,788.62,13.01,801.63,183.09,618.54,0.0,618.54,99.94,518.6,0.0,518.6,59.7,8.69,8.57,0.0,0.0,0.0,0.0,0.0
2024-09-30,1770.55,6.83,1777.38,295.99,20.56,4.32,499.77,956.74,15.83,972.57,204.7,767.87,0.0,767.87,176.38,591.49,0.0,591.49,59.86,9.9,9.74,0.0,0.0,0.0,0.0,0.0
2024-12-31,1236.55,1.29,1237.84,267.78,24.4,1.93,403.83,539.9,22.52,562.42,193.06,369.36,0.0,369.36,79.97,289.39,0.0,289.39,59.93,4.83,4.75,0.0,0.0,0.0,0.0,0.0
2025-03-31,817.54,3.81,821.35,268.46,23.02,-2.54,391.91,140.5,30.35,170.85,198.72,-27.87,0.0,-27.87,-19.72,-8.15,0.0,-8.15,59.93,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
