Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-09-30,2007.34,0.0,2007.34,191.87,1064.31,-294.8,224.14,69.07,679.02,73.73,18.7,92.43,49.7,42.73,0.0,42.73,0.0,42.73,42.73,771.72,0.55,0.55,0.0,0.0,0.0,0.0,0.0
2018-12-31,2281.55,0.0,2281.55,161.56,752.95,228.12,236.13,68.04,729.86,104.89,13.37,118.26,48.01,70.25,0.0,70.25,0.0,70.25,70.25,771.76,0.91,0.91,0.0,0.0,0.0,0.0,0.0
2019-03-31,1915.31,0.0,1915.31,227.95,851.74,-179.92,235.14,72.92,655.9,51.58,24.24,75.82,45.3,30.52,0.0,30.52,-172.12,202.64,202.64,773.48,2.62,2.61,0.0,0.0,0.0,0.0,0.0
2019-06-30,2065.46,0.0,2065.46,182.98,706.81,58.51,260.13,202.24,542.97,111.82,17.51,129.33,94.19,35.14,0.0,35.14,13.58,21.56,21.56,773.5,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2019-09-30,2297.18,0.0,2297.18,207.58,1360.46,-426.29,247.66,221.33,561.61,124.83,16.22,141.05,105.22,35.83,0.0,35.83,28.93,6.9,6.9,773.63,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2019-12-31,2562.46,0.0,2562.46,169.87,910.98,149.27,275.74,220.78,647.5,188.32,14.48,202.8,104.69,98.11,0.0,98.11,131.47,-33.36,-33.36,773.66,-0.43,-0.43,0.0,0.0,0.0,0.0,0.0
2020-03-31,1817.43,0.0,1817.43,222.6,803.27,-140.28,274.87,232.47,500.92,-76.42,16.88,-59.54,118.63,-178.17,0.0,-178.17,-37.88,-140.29,-140.29,773.95,-1.82,-1.81,0.0,0.0,0.0,0.0,0.0
2020-06-30,319.96,0.0,319.96,60.95,52.8,73.64,240.7,233.4,243.19,-584.72,176.54,-408.18,125.28,-533.46,0.0,-533.46,-133.55,-399.91,-399.91,773.97,-5.2,-5.2,0.0,0.0,0.0,0.0,0.0
2020-09-30,1018.59,0.0,1018.59,80.85,311.98,142.53,169.07,237.54,315.9,-239.28,140.84,-98.44,143.98,-242.42,0.0,-242.42,-61.14,-181.28,-181.28,819.12,-2.26,-2.26,0.0,0.0,0.0,0.0,0.0
2020-12-31,2059.0,0.0,2059.0,114.22,517.19,350.89,204.41,227.09,503.84,141.36,56.97,198.33,109.54,88.79,0.0,88.79,22.4,66.39,66.39,819.55,0.81,0.81,0.0,0.0,0.0,0.0,0.0
2021-03-31,1783.59,0.0,1783.59,163.21,626.86,42.5,220.44,246.97,473.58,10.03,20.21,30.24,119.59,-89.35,0.0,-89.35,45.49,-134.84,-134.84,915.05,-1.54,-1.54,0.0,0.0,0.0,0.0,0.0
2021-06-30,774.02,0.0,774.02,102.58,520.2,-232.49,228.72,227.49,316.81,-389.29,24.15,-365.14,83.79,-448.93,0.0,-448.93,-113.71,-335.22,-335.22,915.08,-3.68,-3.68,0.0,0.0,0.0,0.0,0.0
2021-09-30,1996.02,0.0,1996.02,177.17,1037.71,-268.6,259.26,231.06,475.83,83.59,22.18,105.77,86.04,19.73,0.0,19.73,5.64,14.09,14.09,937.52,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2021-12-31,2872.78,0.0,2872.78,235.53,1096.45,-3.18,288.13,237.79,700.51,317.55,22.87,340.42,85.46,254.96,0.0,254.96,64.2,190.76,190.76,938.04,2.05,2.04,0.0,0.0,0.0,0.0,0.0
2022-03-31,2181.38,0.0,2181.38,294.48,1075.72,-379.74,267.32,250.51,552.31,120.78,24.89,145.67,84.9,60.77,0.0,60.77,11.1,49.67,49.67,938.29,0.53,0.53,0.0,0.0,0.0,0.0,0.0
2022-06-30,2773.95,0.0,2773.95,314.93,1234.62,-297.36,302.12,251.78,744.59,223.27,28.7,251.97,88.76,163.21,0.0,163.21,39.62,123.59,123.59,938.36,1.32,1.32,0.0,0.0,0.0,0.0,0.0
2022-09-30,2952.76,0.0,2952.76,246.39,1835.03,-722.18,328.42,265.36,821.63,178.11,21.41,199.52,94.39,105.13,0.0,105.13,25.0,80.13,80.13,948.68,0.86,0.85,0.0,0.0,0.0,0.0,0.0
2022-12-31,3358.86,0.0,3358.86,261.05,1306.23,-0.66,364.19,287.52,977.08,163.45,27.06,190.51,117.59,72.92,0.0,72.92,16.02,56.9,56.9,948.72,0.59,0.59,0.0,0.0,0.0,0.0,0.0
2023-03-31,2651.29,0.0,2651.29,277.22,1025.23,-71.1,343.33,309.8,851.32,-84.51,32.99,-51.52,123.49,-175.01,0.0,-175.01,-46.91,-128.1,-128.1,948.79,-1.33,-1.33,0.0,0.0,0.0,0.0,0.0
2023-06-30,2987.15,0.0,2987.15,313.75,964.49,117.12,351.39,323.26,876.1,41.04,58.47,99.51,164.71,-65.2,0.0,-65.2,-16.6,-48.6,-48.6,948.83,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0
2023-09-30,2995.28,0.0,2995.28,322.73,1469.92,-353.22,329.98,343.06,844.59,38.22,44.87,83.09,183.87,-100.78,0.0,-100.78,-25.88,-74.9,-74.9,949.17,-0.78,-0.78,0.0,0.0,0.0,0.0,0.0
2023-12-31,3516.24,0.0,3516.24,281.93,1054.83,265.73,345.7,347.9,999.34,220.81,42.48,263.29,202.61,60.68,0.0,60.68,15.63,45.05,45.05,949.18,0.47,0.47,0.0,0.0,0.0,0.0,0.0
2024-03-31,2852.48,0.0,2852.48,244.96,994.65,70.8,338.77,349.47,861.58,-7.75,68.49,60.74,190.16,-129.42,0.0,-129.42,-30.14,-99.28,-99.28,1015.01,-1.02,-1.02,0.0,0.0,0.0,0.0,0.0
2024-06-30,2985.99,0.0,2985.99,227.89,857.36,251.1,342.85,342.99,840.99,122.81,44.45,167.26,179.35,-12.09,0.0,-12.09,-3.12,-8.97,-8.97,1015.02,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0
2024-09-30,3269.83,0.0,3269.83,230.75,1395.13,-159.5,412.42,399.7,970.65,20.68,47.5,68.18,218.95,-150.77,-98.33,-249.1,-53.97,-195.13,-195.13,1071.16,-1.84,-1.84,0.0,0.0,0.0,0.0,0.0
2024-12-31,3740.34,0.0,3740.34,321.4,1041.06,288.06,447.84,410.83,1047.57,183.58,53.93,237.51,214.36,23.15,0.0,23.15,-4.97,28.12,28.12,1071.22,0.26,0.26,0.0,0.0,0.0,0.0,0.0
