Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-03-31,1192.29,0.0,1192.29,55.51,153.27,325.5,658.01,478.33,1136.34,661.03,475.31,0.0,475.31,152.23,323.08,323.08,406.35,1.59,1.59,0.0,0.0,0.0,0.0,0.0
2021-06-30,1210.82,0.0,1210.82,60.01,156.16,686.2,308.45,519.18,827.63,533.36,294.27,0.0,294.27,105.87,188.4,188.4,408.35,0.92,0.92,0.0,0.0,0.0,0.0,0.0
2021-09-30,1090.02,0.0,1090.02,64.88,155.65,291.84,577.65,656.29,1233.94,630.9,603.04,-120.6,482.44,153.7,328.74,328.74,408.35,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2021-12-31,1078.51,0.0,1078.51,58.44,153.68,319.4,546.99,777.47,1324.46,659.8,664.66,0.0,664.66,181.29,483.37,483.37,408.35,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2022-03-31,1057.78,0.0,1057.78,57.19,149.3,880.57,-29.28,566.38,537.1,670.58,-133.48,-491.23,-624.71,-22.22,-602.49,-602.49,422.47,-2.85,-2.85,0.0,0.0,0.0,0.0,0.0
2022-06-30,1254.51,0.0,1254.51,77.38,153.64,1564.59,-541.1,597.48,56.38,653.34,-596.96,0.0,-596.96,-212.46,-384.5,-384.5,422.47,-1.82,-1.82,0.0,0.0,0.0,0.0,0.0
2022-09-30,1220.58,0.0,1220.58,59.75,154.74,1339.39,-333.3,514.67,181.37,632.22,-450.85,0.0,-450.85,-152.67,-298.18,-298.18,422.47,-1.38,-1.38,0.0,0.0,0.0,0.0,0.0
2022-12-31,1378.24,0.0,1378.24,70.64,152.1,909.83,245.67,428.06,673.73,650.46,23.27,0.0,23.27,11.87,11.4,11.4,432.03,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2023-03-31,1383.82,0.0,1383.82,86.93,152.5,304.13,840.26,1458.58,2298.84,744.37,1554.47,-1558.16,-3.69,-195.54,191.85,191.85,432.03,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2023-06-30,1426.61,0.0,1426.61,86.37,160.18,364.33,815.73,450.17,1265.9,683.13,582.77,0.0,582.77,188.66,394.11,394.11,432.03,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2023-09-30,1529.79,0.0,1529.79,71.27,165.46,777.05,516.01,415.93,931.94,618.8,313.14,0.0,313.14,117.25,195.89,195.89,432.03,0.91,0.91,0.0,0.0,0.0,0.0,0.0
2023-12-31,1886.67,0.0,1886.67,65.76,167.51,637.02,1016.38,587.51,1603.89,794.31,809.58,0.0,809.58,284.09,525.49,525.49,432.03,2.43,2.43,0.0,0.0,0.0,0.0,0.0
2024-03-31,1963.59,0.0,1963.59,109.53,162.44,657.43,1034.19,523.75,1557.94,731.47,826.47,0.0,826.47,203.57,622.9,622.9,432.03,2.88,2.88,0.0,0.0,0.0,0.0,0.0
2024-06-30,1890.43,0.0,1890.43,88.07,163.77,742.66,895.93,851.51,1747.44,655.03,1092.41,0.0,1092.41,316.42,775.99,775.99,432.03,3.59,3.59,0.0,0.0,0.0,0.0,0.0
2024-09-30,1802.57,0.0,1802.57,78.97,163.11,457.09,1103.4,540.27,1643.67,771.38,872.29,0.0,872.29,300.15,572.14,572.14,432.03,2.65,2.65,0.0,0.0,0.0,0.0,0.0
2024-12-31,2182.08,0.0,2182.08,70.56,163.35,467.73,1480.44,521.08,2001.52,1402.05,599.47,0.0,599.47,190.58,408.89,408.89,432.03,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2025-03-31,2129.8,0.0,2129.8,62.7,170.34,633.68,1263.08,494.9,1757.98,762.62,995.36,0.0,995.36,295.23,700.13,700.13,432.03,3.24,3.24,0.0,0.0,0.0,0.0,0.0
