Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Capital Work-In-Progress,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency
2016-03-31,26.62,26.62,851.42,851.42,878.04,6965.45,0.0,69.66,7091.98,1659.62,0.0,1044.81,2824.1,10794.59,8.89,8.89,0.0,0.0,10640.52,0.0,0.0,17.35,136.54,0.18,154.07,10794.59,8.03,0.0,0.0,15.0,0.0,0.48,56.87,119.67,14.94,10616.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,26.62,26.62,1049.68,1049.68,1076.3,8028.25,0.0,109.5,8251.39,3081.15,2.33,947.82,4050.35,13378.52,10.17,10.17,0.0,7.48,12956.0,0.0,0.0,12.47,1.12,408.93,422.52,13378.52,8.02,0.0,15.49,0.0,0.0,0.48,113.65,19.06,15.94,12922.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,26.63,26.63,1460.35,1460.35,1486.99,13921.02,40.15,33.63,13994.79,0.0,8.7,239.05,247.75,15729.53,9.57,9.57,23.24,15.18,47.99,16.0,0.21,19.02,15644.0,2.31,15681.54,15729.53,1.95,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,26.63,26.63,1755.55,1755.55,1782.19,5998.7,14.8,26.64,6040.13,10881.39,3.47,22.32,10907.18,18729.49,9.85,9.85,24.01,22.1,55.96,16.3,0.14,420.25,18234.18,2.67,18673.53,18729.49,2.51,0.0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,26.63,26.63,2123.44,2123.44,2150.07,4217.55,15.89,66.23,4299.66,14530.9,4.24,58.72,14593.86,21043.59,37.9,37.9,33.89,26.08,97.87,24.31,0.26,392.44,20525.69,3.03,20945.72,21043.59,0.6,0.0,0.0,0.0,24.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,26.63,26.63,2583.17,2583.17,2609.81,5436.69,13.67,102.25,5552.62,13856.21,4.33,50.78,13911.32,22073.74,37.82,37.82,45.45,23.43,106.71,49.6,0.71,21.55,21891.48,3.7,21967.04,22073.74,0.08,0.0,0.0,0.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,26.63,26.63,3039.99,3039.99,3066.62,6665.84,21.2,25.47,6712.51,17981.84,5.55,177.82,18165.21,27944.35,34.62,34.62,47.73,26.81,109.15,1125.97,1.13,324.08,26378.06,5.95,27835.19,27944.35,0.01,0.0,0.0,0.0,1125.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,26.63,26.63,3620.65,3620.65,3647.28,6849.01,22.84,33.89,6905.74,22219.06,8.05,290.36,22517.47,33070.49,45.4,45.4,48.43,3.72,97.56,1459.03,1.14,308.47,31193.33,10.97,32972.93,33070.49,1408.08,0.0,0.0,0.0,1459.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,26.63,26.63,4317.22,4317.22,4343.85,7895.84,35.11,58.73,7989.69,23967.09,4.83,296.09,24268.01,36601.55,52.62,52.62,65.87,4.85,123.33,1459.03,0.89,457.42,34553.1,7.78,36478.22,36601.55,1452.36,0.0,0.0,0.0,1459.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,26.63,26.63,5040.86,5040.86,5067.49,0.0,27.6,56.74,84.34,35051.23,6.08,758.2,35815.5,40967.33,50.34,50.34,69.35,6.57,126.27,2373.98,0.93,307.64,37696.44,462.07,40841.06,40967.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
