Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-06-30,288.18,0.0,288.18,206.13,4.45,-12.64,50.22,4.25,41.92,-6.15,1.38,-4.77,11.31,-16.08,0.0,-16.08,0.0,-16.08,-16.08,47.82,-0.67,-0.67,0.0,0.0,0.0,0.0,0.0
2021-09-30,301.67,0.0,301.67,291.1,8.63,-92.35,58.75,4.19,31.82,-0.46,3.47,3.0,11.75,-8.74,0.0,-8.74,0.0,-8.74,-8.74,47.82,-0.37,-0.37,0.0,0.0,0.0,0.0,0.0
2021-12-31,600.46,0.0,600.46,312.46,9.51,110.25,50.59,4.49,50.36,62.81,1.98,64.78,12.41,52.38,0.0,52.38,0.0,52.38,52.38,47.82,2.19,2.19,0.0,0.0,0.0,0.0,0.0
2022-03-31,340.02,0.0,340.02,222.47,10.78,10.64,50.81,4.34,28.37,12.62,3.08,15.7,13.03,2.67,-2.6,0.07,0.0,0.07,0.07,47.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,371.48,0.0,371.48,259.15,9.77,-23.14,56.45,4.85,40.33,24.07,0.5,24.57,10.68,13.89,12.63,26.53,0.0,26.53,26.53,47.82,1.11,1.11,0.0,0.0,0.0,0.0,0.0
2022-09-30,420.81,0.0,420.81,303.78,10.13,-18.79,63.18,3.99,43.66,14.87,5.05,19.92,14.46,5.47,3.27,8.74,0.0,8.74,8.74,47.82,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2022-12-31,574.38,0.0,574.38,375.56,10.83,21.06,57.68,4.58,50.31,54.38,2.7,57.08,13.57,43.52,0.0,43.52,0.0,43.52,43.52,47.82,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2023-03-31,410.51,0.0,410.51,280.46,21.57,-41.81,58.57,5.12,30.76,55.85,3.94,59.79,14.34,45.44,-0.6,44.84,0.0,44.84,44.84,47.82,1.88,1.88,0.0,0.0,0.0,0.0,0.0
2023-06-30,495.25,0.0,495.25,273.93,21.68,20.02,69.35,5.09,60.81,44.37,2.32,46.69,11.77,34.92,0.0,34.92,0.0,34.92,34.92,47.82,1.46,1.46,0.0,0.0,0.0,0.0,0.0
2023-09-30,495.81,0.0,495.81,317.69,11.53,-12.11,64.56,5.69,51.51,56.94,1.72,58.66,12.38,46.28,-3.42,42.86,0.0,42.86,42.86,47.82,1.79,1.79,0.0,0.0,0.0,0.0,0.0
2023-12-31,743.87,0.0,743.87,437.05,4.23,41.22,73.36,5.76,77.56,104.69,1.63,106.32,12.36,93.96,0.0,93.96,2.99,90.97,90.97,47.82,3.8,3.8,0.0,0.0,0.0,0.0,0.0
2024-03-31,471.75,0.0,471.75,301.48,25.09,-43.89,63.86,5.51,52.0,67.7,3.63,71.33,32.38,38.95,-0.7,38.25,34.97,3.28,3.28,47.82,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2024-06-30,592.91,0.0,592.91,360.3,19.24,-23.0,77.53,5.87,77.12,75.85,2.6,78.45,13.14,65.31,0.0,65.31,16.83,48.48,48.48,47.82,2.03,2.03,0.0,0.0,0.0,0.0,0.0
2024-09-30,599.71,0.0,599.71,375.92,14.37,-14.18,70.64,6.33,78.76,67.87,8.93,76.8,12.28,64.52,0.0,64.52,10.25,54.27,54.27,47.82,2.27,2.27,0.0,0.0,0.0,0.0,0.0
2024-12-31,857.2,0.0,857.2,474.04,14.91,44.91,77.05,6.81,106.12,133.36,7.33,140.69,10.93,129.76,17.65,147.41,36.88,110.53,110.53,47.82,4.62,4.62,0.0,0.0,0.0,0.0,0.0
