Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-03-31,7571.9,7571.9,2333.6,172.0,0.0,4779.6,286.7,1257.7,1544.4,26.9,1517.5,0.0,1517.5,125.7,1391.8,0.0,0.0,1391.8,482.9,14.39,14.29,0.0,0.0,0.0,0.0,0.0
2020-06-30,7164.7,7164.7,2254.8,168.6,0.0,3892.6,848.7,271.5,1120.2,18.3,1101.9,0.0,1101.9,247.7,854.2,0.0,0.0,854.2,483.1,8.83,8.78,0.0,0.0,0.0,0.0,0.0
2020-09-30,7404.4,7404.4,2309.0,170.1,0.0,3809.3,1116.0,157.0,1273.0,15.4,1257.6,0.0,1257.6,296.1,961.5,0.0,0.0,961.5,483.3,9.93,9.88,0.0,0.0,0.0,0.0,0.0
2020-12-31,7565.0,7565.0,2400.9,165.9,0.0,3629.9,1368.3,286.3,1654.6,14.8,1639.8,0.0,1639.8,384.2,1255.6,0.0,0.0,1255.6,483.7,12.97,12.88,0.0,0.0,0.0,0.0,0.0
2021-03-31,7506.8,7506.8,2197.9,157.7,0.0,3816.2,1335.0,207.0,1542.0,14.7,1527.3,0.0,1527.3,359.5,1167.8,0.0,0.0,1167.8,484.1,12.06,11.96,0.0,0.0,0.0,0.0,0.0
2021-06-30,7931.5,7931.5,2601.9,153.5,0.0,4071.6,1104.5,239.7,1344.2,18.1,1326.1,0.0,1326.1,339.9,986.2,0.0,0.0,986.2,484.5,10.16,10.09,0.0,0.0,0.0,0.0,0.0
2021-09-30,8464.87,8464.87,2695.92,157.62,0.0,4242.6,1368.74,650.05,2018.78,14.48,2004.3,0.0,2004.3,444.79,1559.51,0.0,0.0,1559.51,484.9,16.05,15.94,0.0,0.0,0.0,0.0,0.0
2021-12-31,9010.8,9010.8,2811.3,153.3,0.0,4675.4,1370.8,405.9,1776.7,13.7,1763.0,0.0,1763.0,433.5,1329.5,0.0,0.0,1329.5,485.3,13.67,13.57,0.0,0.0,0.0,0.0,0.0
2022-03-31,9318.9,9318.9,2945.1,195.5,0.0,5197.1,981.2,227.4,1208.6,17.3,1191.3,0.0,1191.3,153.3,1038.0,0.0,0.0,1038.0,485.9,10.67,10.59,0.0,0.0,0.0,0.0,0.0
2022-06-30,9965.1,9965.1,3286.9,186.0,0.0,5439.9,1052.3,118.6,1170.9,25.1,1145.8,0.0,1145.8,263.6,882.2,0.0,0.0,882.2,486.3,9.05,9.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,10479.8,10479.8,3561.4,189.5,0.0,5970.3,758.6,771.9,1530.5,34.3,1496.2,0.0,1496.2,334.3,1161.9,0.0,0.0,1161.9,486.6,11.91,11.87,0.0,0.0,0.0,0.0,0.0
2022-12-31,10987.6,10987.6,3818.1,105.2,0.0,5864.6,1199.7,368.6,1568.3,58.5,1509.8,0.0,1509.8,305.4,1204.4,0.0,0.0,1204.4,486.9,12.34,12.29,0.0,0.0,0.0,0.0,0.0
2023-03-31,10938.5,10938.5,3936.8,202.1,133.7,5824.6,841.3,79.6,920.9,56.9,864.0,0.0,864.0,187.3,676.7,0.0,0.0,676.7,487.1,6.93,6.9,0.0,0.0,0.0,0.0,0.0
2023-06-30,10697.2,10697.2,3921.9,204.7,0.0,5988.7,581.9,201.0,782.9,54.3,728.6,0.0,728.6,169.1,559.5,0.0,0.0,559.5,487.4,5.72,5.71,0.0,0.0,0.0,0.0,0.0
2023-09-30,10439.7,10439.7,4029.2,206.2,0.0,6073.3,131.0,513.6,644.6,57.7,586.9,0.0,586.9,31.1,555.8,0.0,0.0,555.8,487.8,5.68,5.67,0.0,0.0,0.0,0.0,0.0
2023-12-31,10551.4,10551.4,4113.2,199.6,0.0,5886.7,351.9,265.2,617.1,75.3,541.8,0.0,541.8,55.9,485.9,0.0,0.0,485.9,488.1,4.97,4.96,0.0,0.0,0.0,0.0,0.0
2024-03-31,10411.0,10411.0,4018.0,204.4,89.6,5605.2,493.8,272.7,766.5,59.1,707.4,0.0,707.4,180.0,527.4,0.0,0.0,527.4,488.4,5.39,5.38,0.0,0.0,0.0,0.0,0.0
2024-06-30,10629.6,10629.6,4103.2,202.3,0.0,5574.6,749.5,123.4,872.9,50.6,822.3,0.0,822.3,197.5,624.8,0.0,0.0,624.8,489.0,6.38,6.37,0.0,0.0,0.0,0.0,0.0
2024-09-30,10938.6,10938.6,4222.1,203.1,0.0,5729.4,784.0,921.4,1705.4,65.1,1640.3,0.0,1640.3,346.5,1293.8,0.0,0.0,1293.8,489.2,13.21,13.19,0.0,0.0,0.0,0.0,0.0
2024-12-31,11176.2,11176.2,4343.7,217.0,0.0,5655.2,960.3,174.7,1135.0,59.8,1075.2,0.0,1075.2,216.9,858.3,0.0,0.0,858.3,489.4,8.76,8.75,0.0,0.0,0.0,0.0,0.0
2025-03-31,11583.6,11583.6,4291.9,215.9,180.9,6079.4,815.5,163.2,978.7,61.2,917.5,0.0,917.5,207.1,710.4,0.0,0.0,710.4,489.5,7.25,7.24,0.0,0.0,0.0,0.0,0.0
