Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Share Capital Suspense,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Long Term Borrowings,Long Term Loans And Advances,"Stores, Spares And Loose Tools",Capital Goods,Short Term Borrowings,Inventories,Government/Other Grants,Deferred Tax Liabilities [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,233.5,233.5,8355.1,8355.1,8588.6,1.5,1230.4,374.1,320.3,699.4,1431.9,1698.0,1089.4,4219.3,14739.2,1793.9,39.7,264.0,0.0,2097.6,2294.0,310.9,15.7,5658.8,0.0,3927.8,2826.3,1348.0,978.3,9080.4,14739.2,2385.1,8134.0,0.1,15550.2,5.8,105.35,16.2,2967.6,0.0,0.0,0.0,5.0,940.6,12.9,149.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,480.4,480.4,10775.4,10775.4,11255.8,0.3,1230.4,0.0,329.3,329.3,1833.1,890.3,1477.3,4200.7,17016.5,1948.5,32.5,551.1,0.0,2532.1,3630.9,288.0,0.1,7527.6,456.8,4240.8,1819.5,1745.2,1226.6,9488.9,17016.5,6390.6,10365.3,0.2,18366.9,18.7,345.51,44.7,4188.0,0.0,467.7,0.0,0.0,1076.5,22.3,209.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,483.9,483.9,13068.3,13068.3,13552.2,1.4,1230.4,0.0,346.6,517.5,2183.7,1015.3,2149.4,5348.4,20649.9,2256.9,22.8,627.5,0.0,2907.2,3796.3,385.7,26.5,8376.3,1049.0,5154.4,3284.8,1556.3,1229.1,12273.6,20649.9,2980.0,11755.2,0.3,19990.3,351.4,345.51,39.2,3992.8,0.0,1059.9,0.0,170.9,1260.6,45.1,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,486.8,486.8,16403.4,16403.4,16890.2,0.0,0.0,359.1,384.0,917.3,2211.2,3478.3,235.8,5925.3,23732.8,2427.6,25.1,361.8,45.5,2860.0,5747.6,24.9,1897.0,10603.9,1968.8,4571.7,2083.9,517.4,3987.1,13102.4,23732.8,11996.6,0.0,0.0,0.0,0.0,345.51,0.0,5563.6,0.0,1968.8,0.0,174.2,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,489.7,489.7,19051.4,19051.4,19541.1,0.0,0.0,461.2,395.4,1001.6,2031.4,3986.5,238.2,6256.1,26798.8,2237.9,863.6,235.4,128.9,3465.8,6865.0,275.0,1852.3,12458.1,3243.1,5070.0,1929.3,350.9,3747.4,14340.7,26798.8,12467.8,13267.6,0.0,22501.6,0.0,345.51,0.0,4617.8,0.0,3243.1,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,491.7,491.7,20153.7,20153.7,20645.4,2.0,1230.4,203.2,410.0,617.5,2888.0,4756.6,199.7,7844.3,30339.6,1901.9,769.5,271.3,114.1,3056.8,6628.7,218.2,2519.0,12422.7,6332.0,5963.3,1208.5,6.8,4406.3,17916.9,30339.6,7329.9,15021.8,0.0,0.0,25495.8,345.5,692.9,6095.3,1383.8,4948.2,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,482.9,482.9,21377.6,21377.6,22272.7,0.7,1230.4,645.0,459.4,1104.4,2525.6,3002.3,185.9,5713.8,30322.0,2545.2,690.8,35.2,99.7,3370.9,5888.3,436.4,2583.3,12278.9,4760.3,6212.0,1858.0,7.6,5205.2,18043.1,30322.0,7816.1,17416.5,0.0,0.0,27897.3,345.5,1.3,5887.0,1009.7,3750.6,412.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,484.1,484.1,24526.6,24526.6,25010.7,5.1,1230.4,674.2,493.0,1167.2,2527.8,3223.7,209.8,5961.3,33374.7,2320.4,638.2,111.4,89.1,3159.1,7498.2,405.4,2291.8,13354.5,9054.2,5152.6,1050.1,7.3,4756.0,20020.2,33374.7,7853.6,17029.1,0.0,0.0,27738.3,345.5,298.9,7199.3,174.8,8879.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,485.9,485.9,25359.7,25359.7,25845.6,3.6,1230.4,704.3,584.5,1288.8,3079.2,3290.8,266.4,6636.4,35004.8,2447.1,647.6,132.2,79.7,3306.6,11564.9,248.1,2920.2,18039.8,3256.3,9665.8,1306.8,0.0,2736.1,16965.0,35004.8,7644.9,19832.3,0.0,0.0,23269.8,345.5,398.3,12385.5,376.3,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,487.1,487.1,24334.2,24334.2,24821.3,1.3,381.3,626.8,609.0,1235.8,4107.2,5137.4,350.9,9595.5,36035.2,2723.1,843.5,47.6,74.8,3689.0,10822.6,435.8,3743.9,18691.3,2497.7,10351.6,1203.8,0.0,3290.8,17343.9,36035.2,6399.3,25381.7,0.0,0.0,39450.4,345.5,397.6,10425.0,121.9,2497.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,488.4,488.4,22680.5,22680.5,23168.9,1.6,1230.4,369.9,1054.7,1424.6,4426.6,3637.4,774.2,8838.2,34663.7,2432.7,720.4,94.3,71.3,3318.7,10662.5,614.2,3287.3,17882.7,2551.2,9437.3,1521.8,0.0,3270.7,16781.0,34663.7,6770.4,25997.5,0.0,0.0,39360.4,345.5,0.0,10662.5,2551.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,489.5,489.5,21931.2,21931.2,22420.7,1230.4,0.0,852.1,1174.0,2026.1,5507.6,4078.2,918.3,10504.1,36181.3,3479.6,398.2,17.8,0.0,3895.6,10071.0,855.1,3839.4,18661.1,2355.9,9844.2,1677.5,0.0,3642.6,17520.2,36181.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
