Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,3090.85,0.01,3090.86,3348.35,-439.3,23.42,2.41,57.87,98.11,6.49,104.6,22.35,82.25,0.0,82.25,28.1,54.15,54.15,79.96,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2016-03-31,3616.41,0.01,3616.42,3434.3,-4.57,29.19,2.67,79.13,75.7,12.01,87.71,24.67,63.04,0.0,63.04,23.09,39.95,39.95,79.96,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,3698.69,0.0,3698.69,3489.97,53.82,26.39,2.43,49.72,76.36,6.19,82.55,17.36,65.19,0.0,65.19,22.54,42.65,42.65,79.96,0.0,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2016-09-30,3576.71,0.02,3576.73,3303.81,90.23,27.02,2.67,70.81,82.19,25.32,107.51,25.42,82.09,0.0,82.09,21.41,60.68,60.68,79.97,0.0,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2016-12-31,4193.63,0.0,4193.63,4247.1,-253.32,27.79,2.79,81.29,87.98,5.09,93.07,16.86,76.21,0.0,76.21,27.29,48.92,48.92,79.97,0.0,1.22,1.22,0.0,0.0,0.0,0.0,0.0
2017-03-31,3962.89,0.0,3962.89,3686.58,67.78,31.26,3.11,89.58,84.58,12.78,97.36,19.92,77.44,0.0,77.44,28.0,49.44,49.44,79.97,0.0,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2017-06-30,3528.3,0.0,3528.3,3365.9,-37.6,29.3,3.4,90.3,77.0,7.0,84.0,23.8,60.2,0.0,60.2,21.2,39.0,39.0,80.0,0.0,0.97,0.97,0.0,0.0,0.0,0.0,0.0
2017-09-30,3874.11,0.0,3874.11,3258.84,420.32,34.53,3.35,67.31,89.76,25.78,115.54,24.73,90.81,0.0,90.81,24.41,66.4,66.4,80.02,0.0,1.66,1.66,0.0,0.0,0.0,0.0,0.0
2017-12-31,4012.81,0.0,4012.81,4036.85,-222.24,34.28,3.54,73.91,86.47,7.4,93.87,23.77,70.1,0.0,70.1,24.41,45.69,45.69,80.03,0.0,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2018-03-31,3847.41,0.0,3847.41,3342.9,315.98,33.83,3.2,80.17,71.33,5.46,76.79,26.54,50.25,0.0,50.25,17.38,32.87,32.87,80.03,1609.43,0.82,0.82,0.0,0.0,0.0,0.0,0.0
2018-06-30,3570.55,0.0,3570.55,3439.2,-52.63,35.31,3.11,98.6,46.96,15.59,62.55,21.3,41.25,0.0,41.25,14.79,26.46,26.46,80.03,0.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0
2018-09-30,4171.14,0.0,4171.14,4517.11,-509.68,34.86,3.13,77.27,48.45,42.6,91.05,26.95,64.1,0.0,64.1,16.09,48.01,48.01,80.03,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0
2018-12-31,4417.59,0.0,4417.59,4501.33,-319.63,35.45,3.13,104.29,93.02,5.54,98.56,35.39,63.17,0.0,63.17,21.66,41.51,41.51,77.82,0.0,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2019-03-31,4691.93,0.0,4691.93,4048.41,438.45,33.16,2.93,91.4,77.58,17.63,95.21,37.95,57.26,0.0,57.26,21.1,36.16,36.16,77.82,1526.12,0.93,0.93,0.0,0.0,0.0,0.0,0.0
2019-06-30,4075.83,0.0,4075.83,3786.14,115.83,33.32,6.45,51.01,83.08,5.37,88.45,34.55,53.9,0.0,53.9,19.34,34.56,34.56,77.82,0.0,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2019-09-30,4796.92,0.0,4796.92,4613.85,1.49,36.32,6.64,54.25,84.37,142.05,226.42,30.53,195.89,0.0,195.89,33.62,162.27,162.27,77.82,0.0,4.17,4.17,0.0,0.0,0.0,0.0,0.0
2019-12-31,5356.72,0.0,5356.72,5185.54,-38.5,37.49,6.5,61.2,104.49,67.57,172.06,19.71,152.35,0.0,152.35,36.65,115.7,115.7,77.82,0.0,2.97,2.97,0.0,0.0,0.0,0.0,0.0
2020-03-31,4403.1,0.0,4403.1,3873.63,335.77,37.06,6.63,65.18,84.83,158.85,243.68,20.02,223.66,0.0,223.66,46.59,177.07,177.07,77.82,1723.97,4.55,4.55,0.0,0.0,0.0,0.0,0.0
2020-06-30,3432.98,0.0,3432.98,3138.97,155.13,32.77,7.28,44.09,54.74,11.59,66.33,29.14,37.19,0.0,37.19,10.04,27.15,27.15,77.82,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2020-09-30,5221.14,0.0,5221.14,5199.83,-163.98,34.1,6.98,62.03,82.18,36.16,118.34,10.09,108.25,0.0,108.25,20.92,87.33,87.33,77.82,0.0,2.24,2.24,0.0,0.0,0.0,0.0,0.0
2020-12-31,7714.2,0.0,7714.2,7610.9,-176.5,44.81,6.75,69.64,158.6,8.38,166.98,1.68,165.3,0.0,165.3,131.92,33.38,33.38,77.82,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2021-03-31,6352.35,0.0,6352.35,5855.5,243.05,40.5,6.82,62.92,143.56,14.94,158.5,1.52,156.98,0.0,156.98,41.51,115.47,115.47,77.84,1989.89,2.97,2.96,0.0,0.0,0.0,0.0,0.0
2021-06-30,5359.97,0.0,5359.97,5166.47,-34.47,40.49,9.05,51.84,126.59,6.94,133.53,3.25,130.28,0.0,130.28,34.69,95.59,95.59,78.07,0.0,2.46,2.45,0.0,0.0,0.0,0.0,0.0
2021-09-30,6791.33,0.0,6791.33,6619.46,-105.29,40.14,9.0,63.43,164.59,459.26,623.85,1.54,622.31,0.0,622.31,43.74,578.57,578.57,156.26,0.0,7.41,7.41,0.0,0.0,0.0,0.0,0.0
2021-12-31,7088.75,0.0,7088.75,6955.21,-182.33,45.39,5.91,87.06,177.51,9.48,186.99,1.07,185.92,0.0,185.92,48.47,137.45,137.45,156.28,0.0,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2022-03-31,7778.89,0.0,7778.89,7943.3,-468.5,46.28,6.19,96.24,155.38,11.85,167.23,1.34,165.89,0.0,165.89,42.43,123.46,123.46,156.29,0.0,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2022-06-30,7611.64,0.0,7611.64,7475.64,-191.82,56.64,5.77,64.35,201.06,4.71,205.77,3.22,202.55,0.0,202.55,52.7,149.85,149.85,156.29,0.0,1.92,1.92,0.0,0.0,0.0,0.0,0.0
2022-09-30,8579.92,0.0,8579.92,8897.43,-693.49,55.96,6.64,89.85,223.53,498.9,722.43,10.89,711.54,0.0,711.54,55.8,655.74,655.74,156.29,0.0,8.39,8.39,0.0,0.0,0.0,0.0,0.0
2022-12-31,9438.22,0.0,9438.22,9239.12,-180.39,61.15,7.39,105.59,205.36,10.18,215.54,25.42,190.12,0.0,190.12,48.74,141.38,141.38,156.31,0.0,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2023-03-31,9711.66,0.0,9711.66,8906.12,394.93,58.72,6.69,141.89,203.31,6.91,210.22,38.23,171.99,0.0,171.99,47.08,124.91,124.91,156.31,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0
2023-06-30,9705.09,0.0,9705.09,9536.44,-260.09,60.85,8.41,127.93,231.55,53.8,285.35,40.05,245.3,0.0,245.3,51.24,194.06,194.06,156.34,0.0,2.48,2.48,0.0,0.0,0.0,0.0,0.0
2023-09-30,9928.25,0.0,9928.25,10317.54,-822.3,67.05,8.51,103.71,253.74,422.55,676.29,44.38,631.91,0.0,631.91,58.88,573.03,573.03,156.34,0.0,7.33,7.33,0.0,0.0,0.0,0.0,0.0
2023-12-31,11104.02,0.0,11104.02,10619.86,53.32,62.59,9.81,118.0,240.44,15.87,256.31,46.94,209.37,0.0,209.37,55.79,153.58,153.58,156.34,0.0,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2024-03-31,10490.24,0.0,10490.24,9035.27,1053.35,64.08,9.59,83.81,244.14,20.74,264.88,48.17,216.71,0.0,216.71,56.14,160.57,160.57,156.35,0.0,2.05,2.05,0.0,0.0,0.0,0.0,0.0
2024-06-30,10301.59,0.0,10301.59,10169.49,-291.71,70.76,10.11,101.03,241.91,7.83,249.74,40.05,209.69,0.0,209.69,54.02,155.67,155.67,156.35,0.0,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2024-09-30,12384.69,0.0,12384.69,12109.62,-184.98,72.71,8.65,110.22,268.47,445.03,713.5,31.72,681.78,0.0,681.78,63.7,618.08,618.08,156.35,0.0,7.91,7.91,0.0,0.0,0.0,0.0,0.0
2024-12-31,13094.86,0.0,13094.86,12501.98,91.9,69.69,9.01,132.87,289.41,272.44,561.85,31.19,530.66,0.0,530.66,70.1,460.56,460.56,156.35,0.0,5.89,5.89,0.0,0.0,0.0,0.0,0.0
2025-03-31,13121.36,0.0,13121.36,12632.84,-2.4,70.98,15.39,115.03,289.52,15.78,305.3,29.22,276.08,0.0,276.08,66.63,209.45,209.45,156.35,0.0,2.68,2.68,0.0,0.0,0.0,0.0,0.0
