Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Long Term Borrowings,Long Term Loans And Advances,Deferred Tax Liabilities [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Capital Goods
2014-03-31,79.9,79.9,1186.85,1186.85,0.0,1266.75,0.0,9.06,9.06,357.02,1123.92,231.12,42.74,1754.81,3030.62,93.0,1.15,3.99,0.0,0.0,98.14,483.7,10.51,0.0,683.25,830.49,1235.08,92.59,189.21,0.0,2347.37,3030.62,448.56,1341.93,20.72,7.17,16.59,103.03,0.0,483.7,0.0,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,79.94,79.94,1280.63,1280.63,0.0,1360.57,0.0,6.93,6.93,283.78,1078.02,204.51,97.51,1663.81,3031.32,95.86,0.63,3.77,0.0,0.0,100.26,546.46,8.14,0.0,710.08,834.97,1267.62,28.99,189.66,0.0,2321.24,3031.32,187.11,1275.8,18.83,16.13,10.59,75.66,0.0,546.46,0.0,55.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,79.96,79.96,1358.77,1358.77,0.0,1438.73,0.0,6.88,6.88,477.52,1663.15,218.91,101.64,2461.22,3906.83,90.8,0.35,14.03,0.0,0.0,105.18,593.84,10.05,0.0,789.88,1486.87,1458.47,49.79,121.82,0.0,3116.95,3906.83,249.95,1328.35,12.73,28.18,35.92,88.27,0.0,593.84,0.0,80.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,79.97,79.97,1529.73,1529.73,0.0,1609.7,0.0,7.88,7.88,707.29,1983.9,222.33,1.89,2915.41,4532.99,97.03,0.24,0.5,0.0,0.0,97.77,602.72,8.22,85.15,793.86,1565.92,1979.83,76.72,43.9,72.76,3739.13,4532.99,83.78,0.0,0.0,0.0,0.0,0.0,0.0,602.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,80.03,80.03,1609.43,1609.43,0.0,1689.46,0.0,13.49,13.49,766.27,1659.66,317.42,2.67,2746.02,4448.97,90.81,0.94,2.78,12.06,0.0,106.59,605.06,15.27,98.68,825.6,1089.48,2248.77,120.09,34.9,130.13,3623.37,4448.97,96.4,0.0,26.68,0.0,0.0,128.97,0.0,605.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,77.82,77.82,1526.12,1526.12,0.0,1603.94,0.0,17.83,18.77,829.61,2386.75,364.87,2.28,3583.51,5206.22,83.84,0.97,2.78,30.27,0.0,117.86,638.45,22.87,187.93,967.11,1532.97,2381.26,121.29,32.0,171.59,4239.11,5206.22,95.78,3863.09,30.5,0.0,0.0,144.15,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,77.82,77.82,1723.97,1723.97,0.0,1801.79,17.14,26.14,43.28,1172.3,2303.15,390.78,2.36,3868.59,5713.66,51.46,36.26,0.0,0.0,51.81,139.53,644.67,18.1,205.92,1008.22,1118.38,2805.58,617.58,0.0,163.9,4705.44,5713.66,113.59,4275.1,12.98,0.0,0.0,464.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,77.84,77.84,1989.89,1989.89,0.0,2067.73,14.23,26.0,40.23,0.99,2745.89,403.32,3.32,3153.52,5261.48,44.58,26.78,0.0,0.0,49.12,120.48,639.98,16.09,177.57,954.12,1060.68,2813.8,303.66,20.0,109.22,4307.36,5261.48,114.85,3016.7,16.6,0.0,0.3,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,156.29,156.29,2392.53,2392.53,0.0,2548.82,20.31,31.29,51.6,0.16,4853.91,409.55,3.11,5266.73,7867.15,45.32,14.56,84.79,0.0,46.44,191.11,667.98,23.28,172.91,1055.28,1851.27,3860.66,876.02,0.0,223.92,6811.87,7867.15,165.59,3533.54,133.61,0.0,9.7,547.81,78.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,156.31,156.31,2946.54,2946.54,3.58,3106.43,9.74,34.72,44.46,1641.92,4466.44,513.13,3.66,6625.15,9776.04,161.21,10.48,8.06,1.78,0.0,181.53,750.48,21.71,142.5,1096.22,2522.04,5589.89,190.32,0.0,377.57,8679.82,9776.04,137.43,4328.89,13.37,0.0,15.5,515.78,78.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,156.35,156.35,3467.91,3467.91,0.0,3624.26,5.02,44.25,49.27,1594.64,5104.02,396.5,4.75,7099.91,10773.44,159.71,18.61,0.55,3.84,0.0,182.71,750.48,26.77,204.95,1164.91,2497.76,6657.21,139.2,0.0,314.36,9608.53,10773.44,184.11,4729.51,11.07,0.0,17.46,504.56,78.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
