Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2019-09-30,1056.08,56.64,1112.72,525.0,15.2,122.03,106.24,39.13,201.53,103.59,15.36,118.95,8.22,110.73,0.0,110.73,20.46,90.27,90.27,18.78,0.0,4.81,4.8
2019-12-31,919.08,57.35,976.43,525.75,18.74,7.24,105.82,39.43,194.01,85.44,16.34,101.78,6.93,94.85,0.0,94.85,16.58,78.27,78.27,18.78,0.0,4.17,4.16
2020-03-31,894.61,39.98,934.59,522.41,9.42,-16.46,109.9,43.89,176.68,88.75,24.23,112.98,5.14,107.84,-21.97,85.87,12.32,73.55,73.55,18.79,0.0,3.92,3.91
2020-06-30,361.48,17.3,378.78,172.24,7.79,52.34,92.9,38.66,83.89,-69.04,5.43,-63.61,5.54,-69.15,-8.34,-77.49,-18.54,-58.95,-58.95,18.79,0.0,-3.14,-3.14
2020-09-30,1032.97,54.42,1087.39,559.85,20.73,27.77,114.68,37.72,200.2,126.44,7.54,133.98,4.49,129.49,0.0,129.49,33.56,95.93,95.93,18.79,0.0,5.11,5.1
2020-12-31,1235.43,73.99,1309.42,773.68,28.04,-42.94,126.43,36.52,242.77,144.92,6.66,151.58,6.16,145.42,0.0,145.42,38.35,107.07,107.07,19.27,0.0,5.69,5.69
2021-03-31,1396.35,83.81,1480.16,940.47,35.1,-68.75,120.55,36.74,265.13,150.92,26.9,177.82,2.87,174.95,-13.33,161.62,32.5,129.12,129.12,19.28,0.0,6.82,6.81
2021-06-30,1256.74,0.0,1256.74,786.74,33.95,-47.9,117.62,35.42,208.69,122.22,10.9,133.12,2.96,130.16,0.0,130.16,33.2,96.96,96.96,19.28,0.0,5.03,5.02
2021-09-30,1571.71,94.94,1666.65,1058.9,27.98,-4.12,129.09,35.95,261.99,156.86,9.7,166.56,2.89,163.67,0.0,163.67,42.25,121.42,121.42,19.28,0.0,6.3,6.28
2021-12-31,1607.51,93.91,1701.42,1084.28,81.45,-32.02,126.27,36.92,254.99,149.53,15.29,164.82,3.75,161.07,0.0,161.07,40.64,120.43,120.43,19.29,0.0,6.24,6.23
2022-03-31,1734.52,0.0,1734.52,1036.25,118.16,-4.68,134.09,36.74,276.34,137.62,37.69,175.31,2.17,173.14,0.0,173.14,36.78,136.36,136.36,19.29,0.0,7.07,7.06
2022-06-30,1838.44,118.6,1957.04,1256.9,110.46,-36.1,136.35,32.48,285.39,171.56,12.0,183.56,3.58,179.98,0.0,179.98,45.66,134.32,134.32,19.3,0.0,6.96,6.94
2022-09-30,1789.44,116.42,1905.86,1050.51,121.57,32.96,145.0,34.64,304.61,216.57,14.46,231.03,5.22,225.81,-23.45,202.36,59.9,142.46,142.46,19.3,0.0,7.38,7.37
2022-12-31,1605.57,104.12,1709.69,1006.28,63.02,10.31,139.37,33.66,276.29,180.76,17.1,197.86,6.0,191.86,0.0,191.86,54.15,137.71,137.71,19.31,0.0,7.14,7.12
2023-03-31,1558.16,105.2,1663.36,983.86,78.96,-16.83,149.58,44.78,257.21,165.8,171.66,337.46,6.82,330.64,-29.27,301.37,50.66,250.71,250.71,19.31,0.0,12.99,12.96
2023-06-30,1671.52,108.62,1780.14,1115.49,61.48,-35.42,147.21,33.05,275.39,182.94,21.91,204.85,6.95,197.9,0.0,197.9,50.21,147.69,147.69,19.33,0.0,7.64,7.63
2023-09-30,1969.62,0.0,1969.62,1141.8,77.38,36.18,157.69,34.6,305.2,216.77,35.76,252.53,7.71,244.82,0.0,244.82,63.38,181.44,181.44,19.33,0.0,9.39,9.38
2023-12-31,1781.31,117.0,1898.31,1135.19,116.76,-38.49,158.23,36.09,287.17,203.36,13.67,217.03,7.39,209.64,0.0,209.64,52.14,157.5,157.5,19.34,0.0,8.15,8.14
2024-03-31,1838.25,124.19,1962.44,1128.53,108.54,13.98,160.96,37.01,333.32,180.1,145.13,325.23,7.48,317.75,0.0,317.75,69.87,247.88,247.88,19.34,0.0,12.82,12.8
2024-06-30,1841.88,118.4,1960.28,1134.3,124.54,-20.37,161.95,38.55,319.89,201.42,13.67,215.09,7.21,207.88,0.0,207.88,53.41,154.47,154.47,19.34,0.0,7.99,7.98
2024-09-30,1946.79,118.05,2064.84,1131.2,140.55,45.24,170.66,40.72,331.15,205.32,26.09,231.41,6.9,224.51,0.0,224.51,56.71,167.8,167.8,19.34,0.0,8.68,8.66
2024-12-31,1800.52,109.64,1910.16,1057.48,143.68,-24.01,172.92,43.23,316.97,199.89,17.49,217.38,5.41,211.97,0.0,211.97,51.23,160.74,160.74,19.35,0.0,8.31,8.3
2025-03-31,1842.21,115.04,1957.25,1089.03,117.34,11.94,173.99,46.31,336.96,181.68,719.22,900.9,5.19,895.71,-15.67,880.04,66.39,813.65,813.65,19.35,0.0,42.06,42.02
