Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%)
2015-12-31,8792.99,74.07,8867.06,2760.36,705.4,-437.69,571.37,261.87,1793.0,3212.75,648.97,3861.72,16.09,3845.63,0.0,3845.63,1341.87,2503.76,0.0,2503.76,803.67,2.08,2.06,0.0,0.0
2016-03-31,10062.38,106.35,10168.73,3033.84,819.82,125.98,465.35,254.89,2036.66,3432.19,411.6,3843.79,12.27,3831.52,0.0,3831.52,1336.32,2495.2,0.0,2495.2,804.72,3.1,3.09,0.0,0.0
2016-06-30,9957.66,96.38,10054.04,2880.04,1004.84,360.7,700.31,261.25,1581.92,3264.98,420.52,3685.5,10.1,3675.4,0.0,3675.4,1290.73,2384.67,0.0,2384.67,805.33,1.97,1.96,0.0,0.0
2016-09-30,9535.47,125.24,9660.71,3000.1,501.11,170.14,600.33,268.44,1759.0,3361.59,475.35,3836.94,10.72,3826.22,0.0,3826.22,1326.19,2500.03,0.0,2500.03,1211.16,2.07,2.04,0.0,0.0
2016-12-31,9248.39,0.0,9248.39,2912.58,864.89,-400.9,572.31,266.54,1753.12,3279.85,687.94,3967.79,13.59,3954.2,0.0,3954.2,1307.47,2646.73,0.0,2646.73,1212.14,2.18,2.17,0.0,0.0
2017-03-31,11125.54,0.0,11125.54,2972.84,1195.73,514.23,571.36,241.81,1995.99,3633.58,402.1,4035.68,-11.46,4047.14,0.0,4047.14,1377.67,2669.47,0.0,2669.47,1214.74,2.2,2.19,0.0,0.0
2017-06-30,9876.45,78.21,9954.66,2894.9,990.89,-49.79,674.63,268.21,1697.63,3478.19,476.77,3954.96,10.38,3944.58,0.0,3944.58,1384.08,2560.5,0.0,2560.5,1215.22,2.11,2.09,0.0,0.0
2017-09-30,9676.2,87.72,9763.92,2858.0,558.82,939.55,606.54,282.42,1589.71,3479.09,494.21,3973.3,29.01,3944.29,0.0,3944.29,1304.45,2639.84,0.0,2639.84,1218.36,2.17,2.15,0.0,0.0
2017-12-31,9672.57,99.45,9772.02,2941.91,498.9,140.22,595.02,290.75,1691.47,3613.75,626.92,4240.67,24.02,4216.65,412.9,4629.55,1539.35,3090.2,0.0,3090.2,1219.05,2.54,2.52,0.0,0.0
2018-03-31,10479.24,107.49,10586.73,3061.4,927.93,11.87,611.27,303.99,1830.25,3840.02,516.5,4356.52,23.24,4333.28,0.0,4333.28,1400.57,2932.71,0.0,2932.71,1220.43,2.41,2.39,0.0,0.0
2018-06-30,10554.66,152.37,10707.03,3052.92,1254.38,-197.92,742.97,298.69,1652.56,3903.43,403.85,4307.28,7.34,4299.94,0.0,4299.94,1481.26,2818.68,0.0,2818.68,1220.74,2.31,2.29,0.0,0.0
2018-09-30,10891.23,177.62,11068.85,3381.9,876.09,21.68,596.31,327.47,1986.9,3878.5,504.12,4382.62,13.5,4369.12,0.0,4369.12,1414.45,2954.67,0.0,2954.67,1224.19,2.42,2.4,0.0,0.0
2018-12-31,11136.55,91.11,11227.66,3414.82,838.57,47.12,629.17,335.36,1972.21,3990.41,836.39,4826.8,5.61,4821.19,0.0,4821.19,1612.12,3209.07,0.0,3209.07,1224.69,2.62,2.6,0.0,0.0
2019-03-31,11850.23,141.88,11992.11,3335.33,1331.28,-51.02,759.99,350.18,2044.88,4221.47,740.18,4961.65,7.74,4953.91,0.0,4953.91,1472.01,3481.9,0.0,3481.9,1225.86,2.84,2.83,0.0,0.0
2019-06-30,11361.35,141.47,11502.82,3098.29,1816.23,-774.66,690.31,358.89,2106.97,4206.79,620.17,4826.96,15.22,4811.74,0.0,4811.74,1637.8,3173.94,0.0,3173.94,1225.86,2.59,2.57,0.0,0.0
2019-09-30,11750.16,121.31,11871.47,3408.42,742.32,330.98,632.26,395.67,2195.12,4166.7,654.33,4821.03,13.33,4807.7,0.0,4807.7,784.6,4023.1,0.0,4023.1,1228.65,3.28,3.27,0.0,0.0
2019-12-31,11704.79,100.85,11805.64,3360.82,743.9,441.77,669.11,416.21,1977.37,4196.46,983.62,5180.08,12.44,5167.64,-132.11,5035.53,893.6,4141.93,0.0,4141.93,1229.11,3.37,3.36,0.0,0.0
2020-03-31,10722.29,119.99,10842.28,3254.23,987.26,-174.43,666.53,392.5,1945.16,3771.03,755.54,4526.57,14.73,4511.84,0.0,4511.84,714.76,3797.08,0.0,3797.08,1229.22,3.09,3.09,0.0,0.0
2020-06-30,8845.18,66.14,8911.32,3048.44,1676.61,-778.13,696.92,398.18,1620.9,2248.4,896.82,3145.22,16.79,3128.43,0.0,3128.43,785.67,2342.76,0.0,2342.76,1229.22,1.91,1.91,0.0,0.0
2020-09-30,11098.24,84.84,11183.08,3467.25,1149.93,119.77,661.03,382.5,1724.47,3678.13,609.95,4288.08,13.76,4274.32,0.0,4274.32,1041.92,3232.4,0.0,3232.4,1230.5,2.62,2.62,0.0,0.0
2020-12-31,11698.6,88.77,11787.37,3312.46,1602.97,97.62,720.08,390.92,1772.89,3890.43,970.99,4861.42,13.78,4847.64,0.0,4847.64,1184.79,3662.85,0.0,3662.85,1230.51,2.98,2.98,0.0,0.0
2021-03-31,13161.11,133.55,13294.66,3580.4,2424.74,71.02,735.56,387.97,2009.9,4085.07,771.97,4857.04,3.14,4853.9,0.0,4853.9,1105.49,3748.41,0.0,3748.41,1230.88,3.04,3.04,0.0,0.0
2021-06-30,12142.43,74.7,12217.13,3824.07,2342.68,-380.65,734.1,395.48,1704.77,3596.68,428.99,4025.67,10.32,4015.35,0.0,4015.35,1001.86,3013.49,0.0,3013.49,1230.88,2.45,2.45,0.0,0.0
2021-09-30,12533.6,197.37,12730.97,3931.76,1927.92,-413.52,753.19,401.46,1916.58,4213.58,676.99,4890.57,10.45,4880.12,0.0,4880.12,1182.94,3697.18,0.0,3697.18,1232.03,3.0,3.0,0.0,0.0
2021-12-31,15689.29,173.03,15862.32,4124.05,3467.82,128.5,765.16,409.29,2274.69,4692.81,809.91,5502.72,10.69,5492.03,0.0,5492.03,1335.83,4156.2,0.0,4156.2,1232.26,3.37,3.37,0.0,0.0
2022-03-31,15331.48,199.37,15530.85,4184.62,2996.06,99.21,809.54,445.92,2217.06,4778.44,674.08,5452.52,10.49,5442.03,0.0,5442.03,1251.07,4190.96,0.0,4190.96,1232.33,3.4,3.4,0.0,0.0
2022-06-30,17133.05,156.6,17289.65,4768.6,4916.63,-1208.42,862.1,411.53,2303.22,5235.99,312.69,5548.68,9.13,5539.55,0.0,5539.55,1370.17,4169.38,0.0,4169.38,1233.79,3.38,3.38,0.0,0.0
2022-09-30,15941.53,188.38,16129.91,5076.57,1020.46,840.97,936.41,422.02,2391.17,5442.31,506.9,5949.21,10.67,5938.54,0.0,5938.54,1472.48,4466.06,0.0,4466.06,1239.92,3.61,3.6,0.0,0.0
2022-12-31,16082.4,143.33,16225.73,4986.28,1386.36,298.59,876.97,407.24,2454.31,5815.98,871.72,6687.7,10.18,6677.52,0.0,6677.52,1646.51,5031.01,0.0,5031.01,1241.23,4.06,4.05,0.0,0.0
2023-03-31,16115.9,282.08,16397.98,4978.38,1786.4,29.36,893.98,421.94,2500.46,5787.46,746.3,6533.76,11.83,6521.93,72.87,6594.8,1507.94,5086.86,0.0,5086.86,1242.8,4.1,4.08,0.0,0.0
2023-06-30,15675.64,152.56,15828.2,4928.8,1835.54,-348.8,903.79,402.49,2258.81,5847.57,708.74,6556.31,10.72,6545.59,0.0,6545.59,1642.85,4902.74,0.0,4902.74,1243.95,3.94,3.93,0.0,0.0
2023-09-30,16393.74,156.33,16550.07,5371.34,1285.08,407.82,909.22,413.22,2534.99,5628.4,895.61,6524.01,10.51,6513.5,0.0,6513.5,1586.54,4926.96,0.0,4926.96,1247.09,3.96,3.95,0.0,0.0
2023-12-31,15695.74,0.0,15695.74,5546.96,1592.18,-359.14,809.32,343.17,2367.05,5396.2,1133.54,6529.74,9.53,6520.21,0.0,6520.21,1101.42,5418.79,153.28,5572.07,1247.56,4.47,4.45,0.0,0.0
2024-03-31,16398.14,181.15,16579.29,5392.67,1329.04,-68.77,969.39,415.36,2794.32,5747.28,798.59,6545.87,12.12,6533.75,-2.05,6531.7,1511.5,5020.2,0.0,5020.2,1248.47,4.02,4.02,0.0,0.0
2024-06-30,16857.59,142.5,17000.09,5413.29,3124.04,-1348.88,997.75,430.86,2518.42,5864.61,701.27,6565.88,11.14,6554.74,-3.04,6551.7,1634.25,4917.45,0.0,4917.45,1248.47,3.94,3.93,0.0,0.0
2024-09-30,18649.12,0.0,18649.12,6030.95,1604.71,1392.17,815.81,368.26,2682.19,5755.03,873.7,6628.73,11.94,6616.79,0.0,6616.79,1640.94,4975.85,102.49,5078.34,1250.76,4.06,4.06,0.0,0.0
2024-12-31,17052.82,0.0,17052.82,5938.51,2390.52,-558.93,867.83,361.82,2586.51,5466.56,1086.62,6553.18,7.57,6545.61,527.96,7073.57,1652.21,5421.36,216.89,5638.25,1251.17,4.51,4.5,0.0,0.0
